matchday,date,time,home_team,away_team,result,status
1,25/02/2023,03:00,Deportivo Cuenca,LDU Quito,2-0,Final
1,25/02/2023,03:00,Independiente del Valle,Mushuc Runa,3-1,Final
1,25/02/2023,03:00,Guayaquil City,Cumbayá,1-1,Final
1,26/02/2023,03:00,Gualaceo SC,Barcelona,2-1,Final
1,26/02/2023,03:00,Técnico Universitario,Universidad Católica,4-1,Final
1,26/02/2023,03:00,Aucas,El Nacional,0-2,Final
1,27/02/2023,03:00,Emelec,Libertad de Loja,2-0,Final
1,28/02/2023,03:00,Delfín SC,Orense SC,1-1,Final
2,04/03/2023,03:00,Libertad de Loja,Deportivo Cuenca,3-1,Final
2,04/03/2023,03:00,El Nacional,Técnico Universitario,3-2,Final
2,04/03/2023,03:00,LDU Quito,Aucas,1-1,Final
2,05/03/2023,03:00,Barcelona,Delfín SC,5-0,Final
2,05/03/2023,03:00,Mushuc Runa,Gualaceo SC,2-1,Final
2,05/03/2023,03:00,Universidad Católica,Guayaquil City,3-0,Final
2,06/03/2023,03:00,Orense SC,Emelec,2-1,Final
2,07/03/2023,03:00,Cumbayá,Independiente del Valle,1-0,Final
3,18/03/2023,03:00,Gualaceo SC,Orense SC,2-1,Final
3,18/03/2023,03:00,Delfín SC,Libertad de Loja,3-2,Final
3,18/03/2023,03:00,Guayaquil City,Mushuc Runa,4-1,Final
3,19/03/2023,03:00,Independiente del Valle,Barcelona,1-0,Final
3,19/03/2023,03:00,Aucas,Universidad Católica,4-1,Final
3,19/03/2023,03:00,El Nacional,LDU Quito,0-2,Final
3,20/03/2023,03:00,Emelec,Técnico Universitario,1-0,Final
3,21/03/2023,03:00,Deportivo Cuenca,Cumbayá,1-0,Final
4,01/04/2023,03:00,Universidad Católica,Independiente del Valle,2-3,Final
4,01/04/2023,03:00,LDU Quito,Gualaceo SC,6-1,Final
4,01/04/2023,03:00,Libertad de Loja,Aucas,2-2,Final
4,01/04/2023,03:00,Barcelona,Mushuc Runa,1-0,Final
4,02/04/2023,03:00,Delfín SC,Emelec,3-2,Final
4,02/04/2023,03:00,Técnico Universitario,Deportivo Cuenca,3-0,Final
4,02/04/2023,03:00,Cumbayá,El Nacional,2-0,Final
4,03/04/2023,03:00,Orense SC,Guayaquil City,3-2,Final
5,08/04/2023,03:00,Orense SC,Deportivo Cuenca,2-0,Final
5,08/04/2023,03:00,Gualaceo SC,Técnico Universitario,1-1,Final
5,08/04/2023,03:00,El Nacional,Universidad Católica,1-2,Final
5,09/04/2023,03:00,Independiente del Valle,Delfín SC,3-0,Final
5,09/04/2023,03:00,Mushuc Runa,Libertad de Loja,2-1,Final
5,09/04/2023,03:00,Guayaquil City,LDU Quito,1-2,Final
5,10/04/2023,03:00,Aucas,Emelec,2-1,Final
5,11/04/2023,03:00,Barcelona,Cumbayá,4-1,Final
6,15/04/2023,03:00,Libertad de Loja,Independiente del Valle,0-0,Final
6,15/04/2023,03:00,Técnico Universitario,Aucas,0-1,Final
6,15/04/2023,03:00,Deportivo Cuenca,Guayaquil City,4-1,Final
6,16/04/2023,03:00,LDU Quito,Barcelona,0-1,Final
6,16/04/2023,03:00,Cumbayá,Gualaceo SC,1-0,Final
6,16/04/2023,03:00,Delfín SC,Mushuc Runa,3-0,Final
6,17/04/2023,03:00,Emelec,El Nacional,1-2,Final
6,18/04/2023,03:00,Universidad Católica,Orense SC,1-1,Final
7,22/04/2023,03:00,Guayaquil City,Delfín SC,2-1,Final
7,22/04/2023,03:00,Gualaceo SC,Universidad Católica,1-0,Final
7,22/04/2023,03:00,Independiente del Valle,Técnico Universitario,1-0,Final
7,23/04/2023,03:00,Orense SC,LDU Quito,2-1,Final
7,23/04/2023,03:00,El Nacional,Libertad de Loja,4-2,Final
7,23/04/2023,03:00,Barcelona,Deportivo Cuenca,2-1,Final
7,24/04/2023,03:00,Mushuc Runa,Emelec,0-0,Final
7,25/04/2023,03:00,Aucas,Cumbayá,2-1,Final
8,29/04/2023,03:00,Aucas,Guayaquil City,1-0,Final
8,29/04/2023,03:00,Emelec,Independiente del Valle,2-3,Final
8,29/04/2023,03:00,Deportivo Cuenca,Gualaceo SC,1-2,Final
8,29/04/2023,03:00,Universidad Católica,LDU Quito,0-4,Final
8,30/04/2023,03:00,Técnico Universitario,Barcelona,2-2,Final
8,30/04/2023,03:00,Cumbayá,Mushuc Runa,1-1,Final
