matchday,date,time,home_team,away_team,result,status
1,15/04/2023,03:00,Guarani - SP,Avaí - SC,4-1,Final
1,15/04/2023,03:00,Ituano - SP,Ceará - CE,2-0,Final
1,15/04/2023,03:00,Vila Nova - GO,Grêmio Novorizontino - SP,2-1,Final
1,15/04/2023,03:00,Mirassol - SP,Chapecoense,1-0,Final
1,15/04/2023,03:00,Sampaio Corrêa - MA,Atlético Goianiense,3-3,Final
1,15/04/2023,03:00,Juventude - RS,Botafogo - SP,1-2,Final
1,16/04/2023,03:00,Criciúma - SC,Tombense - MG,2-0,Final
1,16/04/2023,03:00,Londrina - PR,ABC - RN,1-0,Final
1,16/04/2023,03:00,Vitória - BA,Ponte Preta,3-0,Final
1,06/07/2023,03:00,CR Brasil - AL,Sport Recife - PE,2-0,Final
2,21/04/2023,03:00,Atlético Goianiense,CR Brasil - AL,2-1,Final
2,22/04/2023,03:00,Botafogo - SP,Sampaio Corrêa - MA,1-0,Final
2,22/04/2023,03:00,Ponte Preta,Criciúma - SC,1-2,Final
2,22/04/2023,03:00,Tombense - MG,Ituano - SP,3-0,Final
2,22/04/2023,03:00,Avaí - SC,Mirassol - SP,1-0,Final
2,22/04/2023,03:00,Grêmio Novorizontino - SP,Juventude - RS,1-0,Final
2,22/04/2023,03:00,Ceará - CE,Guarani - SP,0-3,Final
2,23/04/2023,03:00,Chapecoense,Londrina - PR,3-0,Final
2,23/04/2023,03:00,ABC - RN,Vitória - BA,0-3,Final
2,18/06/2023,03:00,Sport Recife - PE,Vila Nova - GO,1-0,Final
3,29/04/2023,03:00,Criciúma - SC,Avaí - SC,1-0,Final
3,29/04/2023,03:00,Vitória - BA,Londrina - PR,2-0,Final
3,29/04/2023,03:00,Guarani - SP,Ituano - SP,1-0,Final
3,29/04/2023,03:00,Sampaio Corrêa - MA,Mirassol - SP,1-3,Final
3,29/04/2023,03:00,Botafogo - SP,CR Brasil - AL,2-0,Final
3,29/04/2023,03:00,Chapecoense,Ponte Preta,1-1,Final
3,29/04/2023,03:00,Tombense - MG,Atlético Goianiense,1-1,Final
3,30/04/2023,03:00,Grêmio Novorizontino - SP,Sport Recife - PE,0-0,Final
3,30/04/2023,03:00,ABC - RN,Ceará - CE,1-2,Final
3,30/04/2023,03:00,Vila Nova - GO,Juventude - RS,1-0,Final
4,01/05/2023,03:00,Londrina - PR,Criciúma - SC,1-1,Final
4,03/05/2023,03:00,CR Brasil - AL,Sampaio Corrêa - MA,0-0,Final
4,03/05/2023,03:00,Ponte Preta,Botafogo - SP,2-0,Final
4,03/05/2023,03:00,Atlético Goianiense,Chapecoense,2-1,Final
4,04/05/2023,03:00,Ituano - SP,ABC - RN,3-0,Final
4,04/05/2023,03:00,Juventude - RS,Guarani - SP,1-0,Final
4,04/05/2023,03:00,Mirassol - SP,Grêmio Novorizontino - SP,0-2,Final
4,04/05/2023,03:00,Avaí - SC,Vila Nova - GO,0-3,Final
4,11/05/2023,03:00,Ceará - CE,Vitória - BA,0-2,Final
4,11/05/2023,03:00,Sport Recife - PE,Tombense - MG,3-2,Final
5,06/05/2023,03:00,Botafogo - SP,Vitória - BA,0-3,Final
5,06/05/2023,03:00,Criciúma - SC,Ituano - SP,2-1,Final
5,06/05/2023,03:00,Mirassol - SP,Vila Nova - GO,1-1,Final
5,06/05/2023,03:00,Sampaio Corrêa - MA,Juventude - RS,2-1,Final
5,06/05/2023,03:00,Tombense - MG,Avaí - SC,0-1,Final
5,07/05/2023,03:00,Chapecoense,Grêmio Novorizontino - SP,1-1,Final
5,07/05/2023,03:00,CR Brasil - AL,ABC - RN,1-1,Final
5,07/05/2023,03:00,Ponte Preta,Ceará - CE,0-0,Final
5,08/05/2023,03:00,Sport Recife - PE,Guarani - SP,2-0,Final
5,09/05/2023,03:00,Atlético Goianiense,Londrina - PR,2-1,Final
6,13/05/2023,03:00,Vila Nova - GO,Criciúma - SC,0-0,Final
6,13/05/2023,03:00,Avaí - SC,Chapecoense,1-4,Final
6,13/05/2023,03:00,Juventude - RS,Mirassol - SP,0-1,Final
6,13/05/2023,03:00,Guarani - SP,Sampaio Corrêa - MA,2-0,Final
6,13/05/2023,03:00,Grêmio Novorizontino - SP,CR Brasil - AL,0-1,Final
6,13/05/2023,03:00,Ceará - CE,Tombense - MG,2-0,Final
6,14/05/2023,03:00,Londrina - PR,Ponte Preta,3-0,Final
6,14/05/2023,03:00,ABC - RN,Botafogo - SP,1-2,Final
6,14/05/2023,03:00,Vitória - BA,Atlético Goianiense,2-3,Final
6,15/05/2023,03:00,Ituano - SP,Sport Recife - PE,1-1,Final
7,20/05/2023,03:00,Mirassol - SP,Vitória - BA,2-0,Final
7,20/05/2023,03:00,Tombense - MG,Londrina - PR,0-2,Final
7,20/05/2023,03:00,Atlético Goianiense,Avaí - SC,0-0,Final
7,20/05/2023,03:00,Sport Recife - PE,Botafogo - SP,3-0,Final
7,20/05/2023,03:00,Ituano - SP,Grêmio Novorizontino - SP,0-2,Final
7,20/05/2023,03:00,Sampaio Corrêa - MA,ABC - RN,1-0,Final
7,21/05/2023,03:00,Chapecoense,Juventude - RS,0-2,Final
7,21/05/2023,03:00,Criciúma - SC,Ceará - CE,1-2,Final
7,21/05/2023,03:00,Ponte Preta,Guarani - SP,1-1,Final
7,21/05/2023,03:00,CR Brasil - AL,Vila Nova - GO,0-3,Final
8,24/05/2023,03:00,Botafogo - SP,Mirassol - SP,1-0,Final
8,24/05/2023,03:00,ABC - RN,Tombense - MG,1-0,Final
8,24/05/2023,03:00,Grêmio Novorizontino - SP,Avaí - SC,2-0,Final
8,25/05/2023,03:00,Juventude - RS,Atlético Goianiense,3-0,Final
8,25/05/2023,03:00,Londrina - PR,Ceará - CE,1-3,Final
8,25/05/2023,03:00,Vila Nova - GO,Ituano - SP,1-0,Final
8,25/05/2023,03:00,Vitória - BA,CR Brasil - AL,1-0,Final
8,25/05/2023,03:00,Guarani - SP,Chapecoense,3-3,Final
8,25/05/2023,03:00,Criciúma - SC,Sport Recife - PE,1-0,Final
8,25/05/2023,03:00,Sampaio Corrêa - MA,Ponte Preta,0-0,Final
9,27/05/2023,03:00,CR Brasil - AL,Juventude - RS,1-2,Final
9,27/05/2023,03:00,Ituano - SP,Londrina - PR,3-1,Final
9,27/05/2023,03:00,Avaí - SC,Vitória - BA,1-1,Final
9,27/05/2023,03:00,Atlético Goianiense,Botafogo - SP,1-1,Final
9,28/05/2023,03:00,Ponte Preta,Vila Nova - GO,1-0,Final
9,28/05/2023,03:00,Ceará - CE,Grêmio Novorizontino - SP,0-3,Final
9,28/05/2023,03:00,Mirassol - SP,Criciúma - SC,1-0,Final
9,28/05/2023,03:00,Sport Recife - PE,ABC - RN,4-1,Final
9,28/05/2023,03:00,Tombense - MG,Guarani - SP,1-1,Final
9,30/05/2023,03:00,Chapecoense,Sampaio Corrêa - MA,0-1,Final
10,03/06/2023,03:00,Botafogo - SP,Tombense - MG,0-0,Final
10,03/06/2023,03:00,Ceará - CE,Chapecoense,2-0,Final
10,03/06/2023,03:00,Criciúma - SC,Atlético Goianiense,3-0,Final
10,03/06/2023,03:00,Vitória - BA,Ituano - SP,3-0,Final
10,03/06/2023,03:00,Juventude - RS,Avaí - SC,3-2,Final
10,03/06/2023,03:00,ABC - RN,Grêmio Novorizontino - SP,0-1,Final
10,03/06/2023,03:00,Mirassol - SP,Ponte Preta,1-0,Final
10,04/06/2023,03:00,Vila Nova - GO,Sampaio Corrêa - MA,3-0,Final
10,04/06/2023,03:00,Guarani - SP,CR Brasil - AL,0-1,Final
10,04/06/2023,03:00,Londrina - PR,Sport Recife - PE,1-2,Final
11,07/06/2023,03:00,Chapecoense,Vila Nova - GO,0-1,Final
11,07/06/2023,03:00,Ponte Preta,ABC - RN,0-0,Final
11,07/06/2023,03:00,Tombense - MG,Vitória - BA,1-2,Final
11,07/06/2023,03:00,Atlético Goianiense,Ceará - CE,0-3,Final
11,07/06/2023,03:00,Botafogo - SP,Ituano - SP,0-2,Final
11,08/06/2023,03:00,Grêmio Novorizontino - SP,Guarani - SP,1-0,Final
11,08/06/2023,03:00,Sampaio Corrêa - MA,Londrina - PR,2-0,Final
11,08/06/2023,03:00,Sport Recife - PE,Avaí - SC,2-1,Final
11,08/06/2023,03:00,CR Brasil - AL,Mirassol - SP,2-0,Final
11,08/06/2023,03:00,Criciúma - SC,Juventude - RS,0-1,Final
12,10/06/2023,03:00,ABC - RN,Chapecoense,1-1,Final
12,10/06/2023,03:00,Vila Nova - GO,Guarani - SP,0-0,Final
12,10/06/2023,03:00,Ituano - SP,Atlético Goianiense,1-1,Final
12,10/06/2023,03:00,Grêmio Novorizontino - SP,Sampaio Corrêa - MA,1-0,Final
12,11/06/2023,03:00,Ceará - CE,CR Brasil - AL,1-3,Final
12,11/06/2023,03:00,Londrina - PR,Mirassol - SP,1-2,Final
12,11/06/2023,03:00,Ponte Preta,Sport Recife - PE,1-1,Final
12,11/06/2023,03:00,Avaí - SC,Botafogo - SP,1-1,Final
12,11/06/2023,03:00,Vitória - BA,Criciúma - SC,0-1,Final
12,11/06/2023,03:00,Juventude - RS,Tombense - MG,1-2,Final
13,22/06/2023,03:00,CR Brasil - AL,Ituano - SP,2-2,Final
13,23/06/2023,03:00,Sport Recife - PE,Juventude - RS,3-0,Final
13,24/06/2023,03:00,Atlético Goianiense,Ponte Preta,1-0,Final
13,24/06/2023,03:00,Botafogo - SP,Vila Nova - GO,0-3,Final
13,24/06/2023,03:00,Avaí - SC,Londrina - PR,0-0,Final
13,24/06/2023,03:00,Chapecoense,Criciúma - SC,1-1,Final
13,24/06/2023,03:00,Tombense - MG,Grêmio Novorizontino - SP,1-2,Final
13,25/06/2023,03:00,Mirassol - SP,ABC - RN,3-2,Final
13,25/06/2023,03:00,Sampaio Corrêa - MA,Ceará - CE,1-1,Final
13,25/06/2023,03:00,Guarani - SP,Vitória - BA,2-0,Final
14,28/06/2023,03:00,Chapecoense,Sport Recife - PE,1-1,Final
14,28/06/2023,03:00,Criciúma - SC,CR Brasil - AL,2-1,Final
14,28/06/2023,03:00,Grêmio Novorizontino - SP,Botafogo - SP,0-1,Final
14,28/06/2023,03:00,Vila Nova - GO,Tombense - MG,1-0,Final
14,29/06/2023,03:00,ABC - RN,Atlético Goianiense,1-1,Final
14,29/06/2023,03:00,Ceará - CE,Avaí - SC,0-0,Final
14,29/06/2023,03:00,Guarani - SP,Mirassol - SP,2-1,Final
14,29/06/2023,03:00,Ituano - SP,Ponte Preta,0-1,Final
14,29/06/2023,03:00,Londrina - PR,Juventude - RS,1-2,Final
14,29/06/2023,03:00,Vitória - BA,Sampaio Corrêa - MA,2-1,Final
15,01/07/2023,03:00,Tombense - MG,Chapecoense,4-2,Final
15,01/07/2023,03:00,Atlético Goianiense,Vila Nova - GO,1-1,Final
15,01/07/2023,03:00,Avaí - SC,ABC - RN,0-2,Final
15,01/07/2023,03:00,Sampaio Corrêa - MA,Criciúma - SC,0-2,Final
15,01/07/2023,03:00,CR Brasil - AL,Londrina - PR,2-1,Final
15,02/07/2023,03:00,Juventude - RS,Vitória - BA,1-0,Final
15,02/07/2023,03:00,Sport Recife - PE,Ceará - CE,2-0,Final
15,03/07/2023,03:00,Ponte Preta,Grêmio Novorizontino - SP,1-0,Final
15,03/07/2023,03:00,Mirassol - SP,Ituano - SP,0-1,Final
15,04/07/2023,03:00,Botafogo - SP,Guarani - SP,1-0,Final
16,08/07/2023,03:00,Grêmio Novorizontino - SP,Atlético Goianiense,2-2,Final
16,08/07/2023,03:00,Ceará - CE,Botafogo - SP,3-0,Final
16,08/07/2023,03:00,Guarani - SP,Londrina - PR,2-1,Final
16,08/07/2023,03:00,ABC - RN,Criciúma - SC,0-1,Final
16,08/07/2023,03:00,Avaí - SC,Ponte Preta,0-1,Final
16,08/07/2023,03:00,Ituano - SP,Juventude - RS,1-1,Final
16,08/07/2023,03:00,Tombense - MG,Sampaio Corrêa - MA,0-1,Final
16,09/07/2023,03:00,Chapecoense,CR Brasil - AL,2-1,Final
16,09/07/2023,03:00,Sport Recife - PE,Mirassol - SP,0-0,Final
16,11/07/2023,03:00,Vila Nova - GO,Vitória - BA,1-0,Final
17,14/07/2023,03:00,Criciúma - SC,Guarani - SP,1-1,Final
17,15/07/2023,03:00,Atlético Goianiense,Sport Recife - PE,3-1,Final
17,15/07/2023,03:00,Sampaio Corrêa - MA,Ituano - SP,0-0,Final
17,15/07/2023,03:00,Juventude - RS,ABC - RN,1-1,Final
17,15/07/2023,03:00,Londrina - PR,Vila Nova - GO,1-0,Final
17,15/07/2023,03:00,Ponte Preta,Tombense - MG,0-1,Final
17,16/07/2023,03:00,Mirassol - SP,Ceará - CE,1-1,Final
17,16/07/2023,03:00,Vitória - BA,Grêmio Novorizontino - SP,2-1,Final
17,24/08/2023,03:00,CR Brasil - AL,Avaí - SC,1-1,Final
17,24/08/2023,03:00,Botafogo - SP,Chapecoense,1-2,Final
18,18/07/2023,03:00,Botafogo - SP,Criciúma - SC,1-0,Final
18,18/07/2023,03:00,Tombense - MG,CR Brasil - AL,2-1,Final
18,19/07/2023,03:00,Chapecoense,Ituano - SP,1-0,Final
18,19/07/2023,03:00,Ponte Preta,Juventude - RS,0-0,Final
18,20/07/2023,03:00,Atlético Goianiense,Mirassol - SP,2-2,Final
18,20/07/2023,03:00,Grêmio Novorizontino - SP,Londrina - PR,3-0,Final
18,20/07/2023,03:00,ABC - RN,Guarani - SP,0-1,Final
18,20/07/2023,03:00,Avaí - SC,Sampaio Corrêa - MA,2-0,Final
18,20/07/2023,03:00,Ceará - CE,Vila Nova - GO,1-0,Final
18,20/07/2023,03:00,Sport Recife - PE,Vitória - BA,1-2,Final
19,22/07/2023,03:00,CR Brasil - AL,Ponte Preta,1-0,Final
19,22/07/2023,03:00,Mirassol - SP,Tombense - MG,2-0,Final
19,22/07/2023,03:00,Criciúma - SC,Grêmio Novorizontino - SP,0-1,Final
19,22/07/2023,03:00,Vila Nova - GO,ABC - RN,1-1,Final
19,22/07/2023,03:00,Ituano - SP,Avaí - SC,0-1,Final
19,23/07/2023,03:00,Guarani - SP,Atlético Goianiense,1-0,Final
19,23/07/2023,03:00,Juventude - RS,Ceará - CE,1-0,Final
19,23/07/2023,03:00,Sampaio Corrêa - MA,Sport Recife - PE,1-2,Final
19,25/07/2023,03:00,Londrina - PR,Botafogo - SP,1-2,Final
19,25/07/2023,03:00,Vitória - BA,Chapecoense,1-0,Final
20,29/07/2023,03:00,Ceará - CE,Ituano - SP,1-1,Final
20,29/07/2023,03:00,Sport Recife - PE,CR Brasil - AL,2-0,Final
20,29/07/2023,03:00,Chapecoense,Mirassol - SP,0-1,Final
20,29/07/2023,03:00,Botafogo - SP,Juventude - RS,0-2,Final
20,29/07/2023,03:00,ABC - RN,Londrina - PR,0-0,Final
20,29/07/2023,03:00,Avaí - SC,Guarani - SP,1-2,Final
20,29/07/2023,03:00,Atlético Goianiense,Sampaio Corrêa - MA,2-2,Final
20,30/07/2023,03:00,Tombense - MG,Criciúma - SC,2-2,Final
20,30/07/2023,03:00,Grêmio Novorizontino - SP,Vila Nova - GO,3-1,Final
20,30/07/2023,03:00,Ponte Preta,Vitória - BA,2-2,Final
21,02/08/2023,03:00,Mirassol - SP,Avaí - SC,2-2,Final
21,02/08/2023,03:00,Sampaio Corrêa - MA,Botafogo - SP,0-0,Final
21,02/08/2023,03:00,CR Brasil - AL,Atlético Goianiense,2-1,Final
21,03/08/2023,03:00,Criciúma - SC,Ponte Preta,2-1,Final
21,03/08/2023,03:00,Ituano - SP,Tombense - MG,1-0,Final
21,03/08/2023,03:00,Guarani - SP,Ceará - CE,0-0,Final
21,03/08/2023,03:00,Juventude - RS,Grêmio Novorizontino - SP,1-0,Final
21,03/08/2023,03:00,Londrina - PR,Chapecoense,1-1,Final
21,03/08/2023,03:00,Vila Nova - GO,Sport Recife - PE,0-1,Final
21,03/08/2023,03:00,Vitória - BA,ABC - RN,2-0,Final
22,05/08/2023,03:00,Mirassol - SP,Sampaio Corrêa - MA,0-0,Final
22,05/08/2023,03:00,Avaí - SC,Criciúma - SC,1-0,Final
22,05/08/2023,03:00,CR Brasil - AL,Botafogo - SP,0-0,Final
22,05/08/2023,03:00,Ituano - SP,Guarani - SP,1-1,Final
22,05/08/2023,03:00,Sport Recife - PE,Grêmio Novorizontino - SP,1-0,Final
22,06/08/2023,03:00,Ponte Preta,Chapecoense,1-0,Final
22,06/08/2023,03:00,Ceará - CE,ABC - RN,1-0,Final
22,07/08/2023,03:00,Juventude - RS,Vila Nova - GO,0-2,Final
22,08/08/2023,03:00,Atlético Goianiense,Tombense - MG,3-2,Final
