Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
12/08/2022,1,Parma Calcio 1913,SSC Bari,2-2
13/08/2022,1,AS Cittadella,Pisa SC,4-3
13/08/2022,1,Como 1907,Cagliari Calcio,1-1
13/08/2022,1,Palermo FC,AC Perugia Calcio,2-0
14/08/2022,1,Ascoli Calcio,Ternana Calcio,2-1
14/08/2022,1,Benevento Calcio,Cosenza Calcio,0-1
14/08/2022,1,Brescia Calcio,FC Südtirol,2-0
14/08/2022,1,Modena FC,Frosinone Calcio,0-1
14/08/2022,1,Venezia FC,Genoa CFC,1-2
14/08/2022,1,SPAL 2013 Ferrara,Reggina 1914,1-3
19/08/2022,2,SSC Bari,Palermo FC,1-1
20/08/2022,2,AC Perugia Calcio,Parma Calcio 1913,0-0
20/08/2022,2,Ascoli Calcio,SPAL 2013 Ferrara,1-1
20/08/2022,2,Genoa CFC,Benevento Calcio,0-0
21/08/2022,2,Pisa SC,Como 1907,2-2
21/08/2022,2,Cagliari Calcio,AS Cittadella,2-1
21/08/2022,2,Cosenza Calcio,Modena FC,2-1
21/08/2022,2,FC Südtirol,Venezia FC,1-2
21/08/2022,2,Frosinone Calcio,Brescia Calcio,3-0
21/08/2022,2,Ternana Calcio,Reggina 1914,1-0
27/08/2022,3,Modena FC,Ternana Calcio,4-1
27/08/2022,3,Palermo FC,Ascoli Calcio,2-3
27/08/2022,3,SPAL 2013 Ferrara,Cagliari Calcio,1-0
28/08/2022,3,AC Perugia Calcio,SSC Bari,1-3
28/08/2022,3,Pisa SC,Genoa CFC,0-1
28/08/2022,3,AS Cittadella,Venezia FC,1-1
28/08/2022,3,Benevento Calcio,Frosinone Calcio,2-1
28/08/2022,3,Parma Calcio 1913,Cosenza Calcio,1-0
28/08/2022,3,Reggina 1914,FC Südtirol,4-0
29/08/2022,3,Como 1907,Brescia Calcio,0-1
02/09/2022,4,Cagliari Calcio,Modena FC,1-0
03/09/2022,4,Ascoli Calcio,AS Cittadella,0-0
03/09/2022,4,Brescia Calcio,AC Perugia Calcio,2-1
03/09/2022,4,Venezia FC,Benevento Calcio,0-2
03/09/2022,4,Frosinone Calcio,Como 1907,2-0
03/09/2022,4,Reggina 1914,Palermo FC,3-0
03/09/2022,4,SSC Bari,SPAL 2013 Ferrara,2-2
03/09/2022,4,Ternana Calcio,Cosenza Calcio,1-1
03/09/2022,4,Genoa CFC,Parma Calcio 1913,3-3
04/09/2022,4,FC Südtirol,Pisa SC,2-1
09/09/2022,5,Palermo FC,Genoa CFC,1-0
10/09/2022,5,Pisa SC,Reggina 1914,0-1
10/09/2022,5,AS Cittadella,Frosinone Calcio,1-0
10/09/2022,5,Benevento Calcio,Cagliari Calcio,0-2
10/09/2022,5,Como 1907,FC Südtirol,0-2
10/09/2022,5,Cosenza Calcio,SSC Bari,0-1
10/09/2022,5,Parma Calcio 1913,Ternana Calcio,2-3
10/09/2022,5,Modena FC,Brescia Calcio,1-3
10/09/2022,5,AC Perugia Calcio,Ascoli Calcio,1-0
11/09/2022,5,SPAL 2013 Ferrara,Venezia FC,2-0
16/09/2022,6,Brescia Calcio,Benevento Calcio,1-0
17/09/2022,6,Ascoli Calcio,Parma Calcio 1913,1-3
17/09/2022,6,Cagliari Calcio,SSC Bari,0-1
17/09/2022,6,Como 1907,SPAL 2013 Ferrara,3-3
17/09/2022,6,FC Südtirol,Cosenza Calcio,1-1
17/09/2022,6,Venezia FC,Pisa SC,1-1
17/09/2022,6,Frosinone Calcio,Palermo FC,1-0
17/09/2022,6,Reggina 1914,AS Cittadella,3-0
17/09/2022,6,Genoa CFC,Modena FC,1-0
18/09/2022,6,Ternana Calcio,AC Perugia Calcio,1-0
30/09/2022,7,Cosenza Calcio,Como 1907,3-1
01/10/2022,7,AS Cittadella,Ternana Calcio,0-2
01/10/2022,7,Cagliari Calcio,Venezia FC,1-4
01/10/2022,7,Modena FC,Reggina 1914,1-0
01/10/2022,7,Palermo FC,FC Südtirol,0-1
01/10/2022,7,Parma Calcio 1913,Frosinone Calcio,2-1
01/10/2022,7,SPAL 2013 Ferrara,Genoa CFC,0-2
