matchday,date,time,home_team,away_team,result,status
1,16/07/2022,03:00,BSC Young Boys,FC Zürich,4-0,Final
1,16/07/2022,03:00,FC Winterthur,FC Basel 1893,1-1,Final
1,17/07/2022,03:00,FC Lugano,FC Sion,2-3,Final
1,17/07/2022,03:00,Servette FC,FC St. Gallen,1-0,Final
1,10/08/2022,03:00,FC Luzern,Grasshopper Club Zürich,1-1,Final
2,23/07/2022,03:00,FC Zürich,FC Luzern,0-0,Final
2,23/07/2022,03:00,FC St. Gallen,FC Winterthur,2-0,Final
2,24/07/2022,03:00,FC Basel 1893,Servette FC,1-1,Final
2,24/07/2022,03:00,FC Sion,BSC Young Boys,0-3,Final
2,24/07/2022,03:00,Grasshopper Club Zürich,FC Lugano,2-1,Final
3,30/07/2022,03:00,FC St. Gallen,FC Zürich,2-0,Final
3,30/07/2022,03:00,FC Sion,Servette FC,0-0,Final
3,31/07/2022,03:00,FC Winterthur,FC Lugano,1-4,Final
3,31/07/2022,03:00,BSC Young Boys,Grasshopper Club Zürich,1-1,Final
3,09/11/2022,03:00,FC Luzern,FC Basel 1893,0-2,Final
4,06/08/2022,03:00,Servette FC,FC Winterthur,1-0,Final
4,06/08/2022,03:00,Grasshopper Club Zürich,FC St. Gallen,3-2,Final
4,07/08/2022,03:00,FC Zürich,FC Sion,0-3,Final
4,07/08/2022,03:00,FC Basel 1893,BSC Young Boys,0-0,Final
4,07/08/2022,03:00,FC Lugano,FC Luzern,1-2,Final
5,13/08/2022,03:00,FC Sion,Grasshopper Club Zürich,2-2,Final
5,13/08/2022,03:00,FC St. Gallen,FC Luzern,4-1,Final
5,14/08/2022,03:00,FC Winterthur,FC Zürich,1-1,Final
5,14/08/2022,03:00,FC Basel 1893,FC Lugano,0-2,Final
5,14/08/2022,03:00,BSC Young Boys,Servette FC,3-0,Final
6,27/08/2022,03:00,FC Luzern,FC Sion,2-0,Final
6,27/08/2022,03:00,Servette FC,Grasshopper Club Zürich,3-1,Final
6,28/08/2022,03:00,FC Lugano,FC St. Gallen,2-3,Final
6,28/08/2022,03:00,FC Winterthur,BSC Young Boys,1-5,Final
6,28/08/2022,03:00,FC Zürich,FC Basel 1893,2-4,Final
7,03/09/2022,03:00,FC Sion,FC Basel 1893,2-1,Final
7,03/09/2022,03:00,FC Zürich,FC Lugano,1-2,Final
7,04/09/2022,03:00,FC Luzern,Servette FC,0-2,Final
7,04/09/2022,03:00,FC St. Gallen,BSC Young Boys,2-1,Final
7,04/09/2022,03:00,Grasshopper Club Zürich,FC Winterthur,3-0,Final
8,10/09/2022,03:00,FC St. Gallen,FC Sion,1-2,Final
8,10/09/2022,03:00,FC Winterthur,FC Luzern,0-6,Final
8,11/09/2022,03:00,Servette FC,FC Zürich,3-2,Final
8,11/09/2022,03:00,FC Basel 1893,Grasshopper Club Zürich,5-1,Final
8,11/09/2022,03:00,BSC Young Boys,FC Lugano,3-0,Final
9,01/10/2022,03:00,FC Basel 1893,FC St. Gallen,3-2,Final
9,01/10/2022,03:00,Grasshopper Club Zürich,FC Zürich,1-1,Final
9,02/10/2022,03:00,FC Sion,FC Winterthur,1-3,Final
