matchday,date,time,home_team,away_team,result,status
1,21/07/2023,03:00,Dinamo Zagreb,Hajduk Split,1-2,Final
1,22/07/2023,03:00,HNK Rijeka,NK Rudeš,4-0,Final
1,22/07/2023,03:00,NK Osijek,Slaven Belupo,6-1,Final
1,23/07/2023,03:00,HNK Gorica,NK Varaždin,1-1,Final
1,23/07/2023,03:00,Lokomotiva Zagreb,NK Istra 1961,1-1,Final
2,28/07/2023,03:00,NK Varaždin,Slaven Belupo,2-2,Final
2,29/07/2023,03:00,HNK Gorica,Lokomotiva Zagreb,1-0,Final
2,29/07/2023,03:00,NK Istra 1961,Dinamo Zagreb,0-3,Final
2,30/07/2023,03:00,NK Rudeš,NK Osijek,3-4,Final
2,30/07/2023,03:00,Hajduk Split,HNK Rijeka,1-0,Final
3,04/08/2023,03:00,Lokomotiva Zagreb,NK Varaždin,3-3,Final
3,05/08/2023,03:00,Slaven Belupo,NK Rudeš,3-2,Final
3,05/08/2023,03:00,Dinamo Zagreb,HNK Gorica,0-0,Final
3,06/08/2023,03:00,HNK Rijeka,NK Istra 1961,6-0,Final
3,08/11/2023,03:00,NK Osijek,Hajduk Split,0-1,Final
4,12/08/2023,03:00,NK Varaždin,NK Rudeš,2-0,Final
4,13/08/2023,03:00,NK Istra 1961,NK Osijek,4-4,Final
4,13/08/2023,03:00,Hajduk Split,Slaven Belupo,3-0,Final
4,23/01/2024,03:00,Dinamo Zagreb,Lokomotiva Zagreb,0-3,Final
4,24/01/2024,03:00,HNK Gorica,HNK Rijeka,2-3,Final
5,19/08/2023,03:00,Slaven Belupo,NK Istra 1961,2-2,Final
5,20/08/2023,03:00,NK Rudeš,Hajduk Split,0-2,Final
5,20/08/2023,03:00,NK Osijek,HNK Gorica,1-0,Final
5,20/08/2023,03:00,HNK Rijeka,Lokomotiva Zagreb,2-1,Final
5,17/04/2024,03:00,Dinamo Zagreb,NK Varaždin,2-1,Final
6,25/08/2023,03:00,HNK Gorica,Slaven Belupo,2-2,Final
6,26/08/2023,03:00,NK Varaždin,Hajduk Split,1-2,Final
6,26/08/2023,03:00,Lokomotiva Zagreb,NK Osijek,2-2,Final
6,27/08/2023,03:00,NK Istra 1961,NK Rudeš,0-0,Final
6,27/08/2023,03:00,Dinamo Zagreb,HNK Rijeka,2-1,Final
7,01/09/2023,03:00,Slaven Belupo,Lokomotiva Zagreb,0-1,Final
7,02/09/2023,03:00,NK Rudeš,HNK Gorica,0-2,Final
7,02/09/2023,03:00,Hajduk Split,NK Istra 1961,0-1,Final
7,03/09/2023,03:00,HNK Rijeka,NK Varaždin,2-2,Final
7,03/09/2023,03:00,NK Osijek,Dinamo Zagreb,2-3,Final
8,15/09/2023,03:00,Lokomotiva Zagreb,NK Rudeš,1-0,Final
8,16/09/2023,03:00,Dinamo Zagreb,Slaven Belupo,3-0,Final
8,16/09/2023,03:00,HNK Rijeka,NK Osijek,2-1,Final
8,17/09/2023,03:00,HNK Gorica,Hajduk Split,2-1,Final
8,17/09/2023,03:00,NK Varaždin,NK Istra 1961,1-0,Final
9,22/09/2023,03:00,NK Osijek,NK Varaždin,1-1,Final
9,23/09/2023,03:00,NK Istra 1961,HNK Gorica,0-1,Final
9,23/09/2023,03:00,Hajduk Split,Lokomotiva Zagreb,1-0,Final
9,24/09/2023,03:00,Slaven Belupo,HNK Rijeka,0-1,Final
9,24/09/2023,03:00,NK Rudeš,Dinamo Zagreb,1-5,Final
10,30/09/2023,03:00,NK Varaždin,HNK Gorica,1-0,Final
10,30/09/2023,03:00,Slaven Belupo,NK Osijek,1-0,Final
10,01/10/2023,03:00,NK Rudeš,HNK Rijeka,1-2,Final
10,01/10/2023,03:00,Hajduk Split,Dinamo Zagreb,1-0,Final
10,02/10/2023,03:00,NK Istra 1961,Lokomotiva Zagreb,0-4,Final
11,06/10/2023,03:00,Slaven Belupo,NK Varaždin,3-2,Final
11,07/10/2023,03:00,NK Osijek,NK Rudeš,3-0,Final
11,07/10/2023,03:00,HNK Rijeka,Hajduk Split,1-0,Final
11,08/10/2023,03:00,Lokomotiva Zagreb,HNK Gorica,1-1,Final
11,08/10/2023,03:00,Dinamo Zagreb,NK Istra 1961,3-0,Final
12,20/10/2023,03:00,NK Rudeš,Slaven Belupo,0-0,Final
12,21/10/2023,03:00,NK Varaždin,Lokomotiva Zagreb,0-0,Final
12,21/10/2023,03:00,HNK Gorica,Dinamo Zagreb,2-1,Final
12,22/10/2023,03:00,NK Istra 1961,HNK Rijeka,1-1,Final
12,22/10/2023,03:00,Hajduk Split,NK Osijek,0-2,Final
13,27/10/2023,03:00,Slaven Belupo,Hajduk Split,0-1,Final
13,28/10/2023,03:00,NK Rudeš,NK Varaždin,0-0,Final
13,28/10/2023,03:00,NK Osijek,NK Istra 1961,3-1,Final
13,29/10/2023,03:00,HNK Rijeka,HNK Gorica,1-0,Final
13,29/10/2023,03:00,Dinamo Zagreb,Lokomotiva Zagreb,2-1,Final
14,03/11/2023,03:00,Lokomotiva Zagreb,HNK Rijeka,1-1,Final
14,04/11/2023,03:00,HNK Gorica,NK Osijek,3-0,Final
14,04/11/2023,03:00,Hajduk Split,NK Rudeš,1-0,Final
14,05/11/2023,03:00,NK Varaždin,Dinamo Zagreb,1-1,Final
14,05/11/2023,03:00,NK Istra 1961,Slaven Belupo,2-0,Final
15,10/11/2023,03:00,Slaven Belupo,HNK Gorica,0-0,Final
15,11/11/2023,03:00,NK Rudeš,NK Istra 1961,0-4,Final
15,11/11/2023,03:00,NK Osijek,Lokomotiva Zagreb,1-1,Final
15,12/11/2023,03:00,Hajduk Split,NK Varaždin,3-1,Final
15,12/11/2023,03:00,HNK Rijeka,Dinamo Zagreb,2-2,Final
16,24/11/2023,03:00,Lokomotiva Zagreb,Slaven Belupo,1-3,Final
16,25/11/2023,03:00,NK Varaždin,HNK Rijeka,0-2,Final
16,25/11/2023,03:00,Dinamo Zagreb,NK Osijek,2-1,Final
16,26/11/2023,03:00,NK Istra 1961,Hajduk Split,0-2,Final
16,26/11/2023,03:00,HNK Gorica,NK Rudeš,3-0,Final
17,01/12/2023,03:00,NK Istra 1961,NK Varaždin,2-0,Final
17,02/12/2023,03:00,NK Osijek,HNK Rijeka,0-0,Final
17,02/12/2023,03:00,Hajduk Split,HNK Gorica,3-0,Final
17,03/12/2023,03:00,NK Rudeš,Lokomotiva Zagreb,0-0,Final
17,04/12/2023,03:00,Slaven Belupo,Dinamo Zagreb,0-2,Final
18,08/12/2023,03:00,Lokomotiva Zagreb,Hajduk Split,1-1,Final
18,09/12/2023,03:00,HNK Gorica,NK Istra 1961,0-0,Final
18,09/12/2023,03:00,Dinamo Zagreb,NK Rudeš,1-0,Final
18,10/12/2023,03:00,NK Varaždin,NK Osijek,2-2,Final
18,10/12/2023,03:00,HNK Rijeka,Slaven Belupo,2-4,Final
19,15/12/2023,03:00,HNK Gorica,NK Varaždin,1-3,Final
19,16/12/2023,03:00,Lokomotiva Zagreb,NK Istra 1961,3-0,Final
19,16/12/2023,03:00,HNK Rijeka,NK Rudeš,3-0,Final
19,17/12/2023,03:00,NK Osijek,Slaven Belupo,4-1,Final
19,17/12/2023,03:00,Dinamo Zagreb,Hajduk Split,0-0,Final
20,26/01/2024,03:00,NK Varaždin,Slaven Belupo,1-2,Final
20,27/01/2024,03:00,NK Osijek,NK Rudeš,2-0,Final
20,27/01/2024,03:00,NK Istra 1961,Dinamo Zagreb,0-1,Final
20,28/01/2024,03:00,HNK Gorica,Lokomotiva Zagreb,1-2,Final
20,28/01/2024,03:00,Hajduk Split,HNK Rijeka,1-2,Final
21,02/02/2024,03:00,Lokomotiva Zagreb,NK Varaždin,0-0,Final
21,03/02/2024,03:00,Slaven Belupo,NK Rudeš,4-0,Final
21,03/02/2024,03:00,NK Osijek,Hajduk Split,1-1,Final
21,04/02/2024,03:00,HNK Rijeka,NK Istra 1961,3-0,Final
21,04/02/2024,03:00,Dinamo Zagreb,HNK Gorica,2-0,Final
22,09/02/2024,03:00,NK Varaždin,NK Rudeš,1-0,Final
22,10/02/2024,03:00,NK Istra 1961,NK Osijek,1-0,Final
