Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
20/09/2023,1,Lille OSC,Olimpija Ljubljana,2-0
21/09/2023,1,Slovan Bratislava,KÍ Klaksvík,2-1
05/10/2023,2,KÍ Klaksvík,Lille OSC,0-0
05/10/2023,2,Olimpija Ljubljana,Slovan Bratislava,0-1
26/10/2023,3,KÍ Klaksvík,Olimpija Ljubljana,3-0
26/10/2023,3,Lille OSC,Slovan Bratislava,2-1
09/11/2023,4,Olimpija Ljubljana,KÍ Klaksvík,2-0
09/11/2023,4,Slovan Bratislava,Lille OSC,1-1
30/11/2023,5,KÍ Klaksvík,Slovan Bratislava,1-2
30/11/2023,5,Olimpija Ljubljana,Lille OSC,0-2
14/12/2023,6,Lille OSC,KÍ Klaksvík,3-0
14/12/2023,6,Slovan Bratislava,Olimpija Ljubljana,1-2
21/09/2023,1,Maccabi Tel Aviv,Breiðablik,3-2
21/09/2023,1,Zorya Lugansk,KAA Gent,1-1
05/10/2023,2,Breiðablik,Zorya Lugansk,0-1
05/10/2023,2,KAA Gent,Maccabi Tel Aviv,2-0
26/10/2023,3,KAA Gent,Breiðablik,5-0
09/11/2023,4,Breiðablik,KAA Gent,2-3
09/11/2023,4,Zorya Lugansk,Maccabi Tel Aviv,1-3
25/11/2023,3,Maccabi Tel Aviv,Zorya Lugansk,3-2
30/11/2023,5,Breiðablik,Maccabi Tel Aviv,1-2
30/11/2023,5,KAA Gent,Zorya Lugansk,4-1
14/12/2023,6,Maccabi Tel Aviv,KAA Gent,3-1
14/12/2023,6,Zorya Lugansk,Breiðablik,4-0
21/09/2023,1,Dinamo Zagreb,FK Astana,5-1
21/09/2023,1,Viktoria Plzeň,KF Ballkani,1-0
05/10/2023,2,FK Astana,Viktoria Plzeň,1-2
05/10/2023,2,KF Ballkani,Dinamo Zagreb,2-0
26/10/2023,3,KF Ballkani,FK Astana,1-2
26/10/2023,3,Dinamo Zagreb,Viktoria Plzeň,0-1
09/11/2023,4,FK Astana,KF Ballkani,0-0
09/11/2023,4,Viktoria Plzeň,Dinamo Zagreb,1-0
30/11/2023,5,FK Astana,Dinamo Zagreb,0-2
30/11/2023,5,KF Ballkani,Viktoria Plzeň,0-1
14/12/2023,6,Dinamo Zagreb,KF Ballkani,3-0
14/12/2023,6,Viktoria Plzeň,FK Astana,3-0
21/09/2023,1,Club Brugge KV,Beşiktaş,1-1
21/09/2023,1,FC Lugano,FK Bodø/Glimt,0-0
05/10/2023,2,Beşiktaş,FC Lugano,2-3
05/10/2023,2,FK Bodø/Glimt,Club Brugge KV,0-1
26/10/2023,3,FC Lugano,Club Brugge KV,1-3
26/10/2023,3,FK Bodø/Glimt,Beşiktaş,3-1
09/11/2023,4,Beşiktaş,FK Bodø/Glimt,1-2
09/11/2023,4,Club Brugge KV,FC Lugano,2-0
30/11/2023,5,Beşiktaş,Club Brugge KV,0-5
30/11/2023,5,FK Bodø/Glimt,FC Lugano,5-2
14/12/2023,6,Club Brugge KV,FK Bodø/Glimt,3-1
14/12/2023,6,FC Lugano,Beşiktaş,0-2
21/09/2023,1,Legia Warszawa,Aston Villa,3-2
21/09/2023,1,Zrinjski Mostar,AZ Alkmaar,4-3
05/10/2023,2,Aston Villa,Zrinjski Mostar,1-0
05/10/2023,2,AZ Alkmaar,Legia Warszawa,1-0
26/10/2023,3,AZ Alkmaar,Aston Villa,1-4
26/10/2023,3,Zrinjski Mostar,Legia Warszawa,1-2
09/11/2023,4,Legia Warszawa,Zrinjski Mostar,2-0
09/11/2023,4,Aston Villa,AZ Alkmaar,2-1
30/11/2023,5,AZ Alkmaar,Zrinjski Mostar,1-0
30/11/2023,5,Aston Villa,Legia Warszawa,2-1
14/12/2023,6,Legia Warszawa,AZ Alkmaar,2-0
14/12/2023,6,Zrinjski Mostar,Aston Villa,1-1
21/09/2023,1,Ferencvárosi TC,FK Čukarički,3-1
21/09/2023,1,KRC Genk,ACF Fiorentina,2-2
05/10/2023,2,ACF Fiorentina,Ferencvárosi TC,2-2
05/10/2023,2,FK Čukarički,KRC Genk,0-2
26/10/2023,3,ACF Fiorentina,FK Čukarički,6-0
26/10/2023,3,KRC Genk,Ferencvárosi TC,0-0
09/11/2023,4,Ferencvárosi TC,KRC Genk,1-1
09/11/2023,4,FK Čukarički,ACF Fiorentina,0-1
30/11/2023,5,ACF Fiorentina,KRC Genk,2-1
30/11/2023,5,FK Čukarički,Ferencvárosi TC,1-2
14/12/2023,6,Ferencvárosi TC,ACF Fiorentina,1-1
14/12/2023,6,KRC Genk,FK Čukarički,2-0
21/09/2023,1,Eintracht Francfort,Aberdeen FC,2-1
21/09/2023,1,HJK Helsinki,PAOK Saloniki,2-3
05/10/2023,2,Aberdeen FC,HJK Helsinki,1-1
05/10/2023,2,PAOK Saloniki,Eintracht Francfort,2-1
26/10/2023,3,Aberdeen FC,PAOK Saloniki,2-3
26/10/2023,3,Eintracht Francfort,HJK Helsinki,6-0
09/11/2023,4,HJK Helsinki,Eintracht Francfort,0-1
09/11/2023,4,PAOK Saloniki,Aberdeen FC,2-2
30/11/2023,5,HJK Helsinki,Aberdeen FC,2-2
30/11/2023,5,Eintracht Francfort,PAOK Saloniki,1-2
14/12/2023,6,Aberdeen FC,Eintracht Francfort,2-0
14/12/2023,6,PAOK Saloniki,HJK Helsinki,4-2
21/09/2023,1,Fenerbahçe,FC Nordsjælland,3-1
21/09/2023,1,PFC Ludogorets Razgrad,Spartak Trnava,4-0
05/10/2023,2,FC Nordsjælland,PFC Ludogorets Razgrad,7-1
05/10/2023,2,Spartak Trnava,Fenerbahçe,1-2
26/10/2023,3,Fenerbahçe,PFC Ludogorets Razgrad,3-1
26/10/2023,3,Spartak Trnava,FC Nordsjælland,0-2
09/11/2023,4,FC Nordsjælland,Spartak Trnava,1-1
09/11/2023,4,PFC Ludogorets Razgrad,Fenerbahçe,2-0
30/11/2023,5,FC Nordsjælland,Fenerbahçe,6-1
30/11/2023,5,Spartak Trnava,PFC Ludogorets Razgrad,1-2
14/12/2023,6,Fenerbahçe,Spartak Trnava,4-0
14/12/2023,6,PFC Ludogorets Razgrad,FC Nordsjælland,1-0
15/02/2024,6,Sturm Graz,Slovan Bratislava,4-1
15/02/2024,6,Union Saint-Gilloise,Eintracht Francfort,2-2
15/02/2024,6,Olympiakos Piraeus,Ferencvárosi TC,1-0
15/02/2024,6,Molde FK,Legia Warszawa,3-2
15/02/2024,6,Servette FC,PFC Ludogorets Razgrad,0-0
15/02/2024,6,Real Betis,Dinamo Zagreb,0-1
15/02/2024,6,AFC Ajax,FK Bodø/Glimt,2-2
15/02/2024,6,Maccabi Haifa,KAA Gent,1-0
21/02/2024,6,KAA Gent,Maccabi Haifa,1-1
22/02/2024,6,PFC Ludogorets Razgrad,Servette FC,0-1
22/02/2024,6,Dinamo Zagreb,Real Betis,1-1
22/02/2024,6,FK Bodø/Glimt,AFC Ajax,1-2
22/02/2024,6,Slovan Bratislava,Sturm Graz,0-1
22/02/2024,6,Eintracht Francfort,Union Saint-Gilloise,1-2
22/02/2024,6,Ferencvárosi TC,Olympiakos Piraeus,0-1
22/02/2024,6,Legia Warszawa,Molde FK,0-3
07/03/2024,6,AFC Ajax,Aston Villa,0-0
07/03/2024,6,Molde FK,Club Brugge KV,2-1
07/03/2024,6,Sturm Graz,Lille OSC,0-3
07/03/2024,6,Olympiakos Piraeus,Maccabi Tel Aviv,1-4
07/03/2024,6,Servette FC,Viktoria Plzeň,0-0
07/03/2024,6,Union Saint-Gilloise,Fenerbahçe,0-3
07/03/2024,6,Dinamo Zagreb,PAOK Saloniki,2-0
07/03/2024,6,Maccabi Haifa,ACF Fiorentina,3-4
14/03/2024,6,Viktoria Plzeň,Servette FC,3-1
14/03/2024,6,Fenerbahçe,Union Saint-Gilloise,0-1
14/03/2024,6,PAOK Saloniki,Dinamo Zagreb,5-1
14/03/2024,6,ACF Fiorentina,Maccabi Haifa,1-1
14/03/2024,6,Aston Villa,AFC Ajax,4-0
14/03/2024,6,Club Brugge KV,Molde FK,3-0
14/03/2024,6,Lille OSC,Sturm Graz,1-1
14/03/2024,6,Maccabi Tel Aviv,Olympiakos Piraeus,1-6
11/04/2024,6,Olympiakos Piraeus,Fenerbahçe,3-2
11/04/2024,6,Viktoria Plzeň,ACF Fiorentina,0-0
11/04/2024,6,Club Brugge KV,PAOK Saloniki,1-0
11/04/2024,6,Aston Villa,Lille OSC,2-1
18/04/2024,6,Lille OSC,Aston Villa,3-4
