Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
31/03/2024,1,Odds BK,FK Haugesund,1-2
01/04/2024,1,Fredrikstad FK,FK Bodø/Glimt,0-2
01/04/2024,1,Lillestrøm SK,Kristiansund BK,2-3
01/04/2024,1,Molde FK,Strømsgodset IF,4-0
01/04/2024,1,Rosenborg BK,Sandefjord Fotball,2-0
01/04/2024,1,Tromsø IL,SK Brann,2-4
01/04/2024,1,Viking FK,Sarpsborg 08,1-0
02/04/2024,1,KFUM Oslo,Hamarkameratene,1-1
06/04/2024,2,FK Bodø/Glimt,Viking FK,1-0
07/04/2024,2,Kristiansund BK,KFUM Oslo,1-1
07/04/2024,2,FK Haugesund,Lillestrøm SK,0-2
07/04/2024,2,Hamarkameratene,Molde FK,0-1
07/04/2024,2,Sarpsborg 08,Odds BK,0-1
07/04/2024,2,Strømsgodset IF,Rosenborg BK,1-0
07/04/2024,2,SK Brann,Fredrikstad FK,0-2
03/07/2024,2,Sandefjord Fotball,Tromsø IL,1-2
13/04/2024,3,Fredrikstad FK,Sarpsborg 08,2-2
14/04/2024,3,Viking FK,SK Brann,1-1
14/04/2024,3,Molde FK,Kristiansund BK,2-0
14/04/2024,3,Odds BK,Sandefjord Fotball,2-2
14/04/2024,3,Rosenborg BK,Hamarkameratene,1-0
14/04/2024,3,Tromsø IL,FK Haugesund,0-1
14/04/2024,3,Lillestrøm SK,FK Bodø/Glimt,0-5
16/04/2024,3,KFUM Oslo,Strømsgodset IF,1-3
21/04/2024,4,Hamarkameratene,Strømsgodset IF,0-1
21/04/2024,4,SK Brann,Odds BK,2-0
21/04/2024,4,FK Haugesund,Rosenborg BK,1-3
21/04/2024,4,Kristiansund BK,Tromsø IL,1-0
21/04/2024,4,Sandefjord Fotball,Lillestrøm SK,0-1
21/04/2024,4,Sarpsborg 08,KFUM Oslo,0-2
21/04/2024,4,Viking FK,Fredrikstad FK,1-1
21/04/2024,4,FK Bodø/Glimt,Molde FK,1-1
27/04/2024,5,Rosenborg BK,FK Bodø/Glimt,1-3
28/04/2024,5,Fredrikstad FK,Sandefjord Fotball,1-0
28/04/2024,5,KFUM Oslo,SK Brann,0-0
28/04/2024,5,Lillestrøm SK,Hamarkameratene,1-1
28/04/2024,5,Molde FK,FK Haugesund,2-1
28/04/2024,5,Strømsgodset IF,Kristiansund BK,2-2
28/04/2024,5,Tromsø IL,Sarpsborg 08,0-3
28/04/2024,5,Odds BK,Viking FK,3-3
04/05/2024,6,SK Brann,Rosenborg BK,3-0
05/05/2024,6,FK Bodø/Glimt,Strømsgodset IF,1-0
05/05/2024,6,FK Haugesund,KFUM Oslo,0-1
05/05/2024,6,Kristiansund BK,Hamarkameratene,1-1
05/05/2024,6,Odds BK,Fredrikstad FK,0-2
05/05/2024,6,Sandefjord Fotball,Molde FK,3-1
05/05/2024,6,Sarpsborg 08,Lillestrøm SK,1-0
05/05/2024,6,Viking FK,Tromsø IL,2-1
11/05/2024,7,Molde FK,Rosenborg BK,2-2
12/05/2024,7,Kristiansund BK,FK Bodø/Glimt,2-4
12/05/2024,7,Hamarkameratene,FK Haugesund,2-2
12/05/2024,7,KFUM Oslo,Fredrikstad FK,1-4
12/05/2024,7,Sandefjord Fotball,Sarpsborg 08,4-1
12/05/2024,7,Strømsgodset IF,Viking FK,0-1
12/05/2024,7,Tromsø IL,Odds BK,4-0
12/05/2024,7,Lillestrøm SK,SK Brann,0-2
16/05/2024,8,SK Brann,Sandefjord Fotball,2-1
16/05/2024,8,FK Bodø/Glimt,Tromsø IL,4-0
16/05/2024,8,FK Haugesund,Kristiansund BK,1-0
16/05/2024,8,Fredrikstad FK,Strømsgodset IF,4-1
16/05/2024,8,Odds BK,Molde FK,0-4
16/05/2024,8,Rosenborg BK,KFUM Oslo,1-3
16/05/2024,8,Sarpsborg 08,Hamarkameratene,1-7
16/05/2024,8,Viking FK,Lillestrøm SK,1-4
20/05/2024,9,Hamarkameratene,FK Bodø/Glimt,1-0
20/05/2024,9,KFUM Oslo,Odds BK,0-0
20/05/2024,9,Kristiansund BK,SK Brann,2-2
20/05/2024,9,Lillestrøm SK,Fredrikstad FK,0-3
20/05/2024,9,Molde FK,Sarpsborg 08,2-4
20/05/2024,9,Sandefjord Fotball,Viking FK,0-3
20/05/2024,9,Strømsgodset IF,FK Haugesund,2-0
20/05/2024,9,Tromsø IL,Rosenborg BK,3-2
24/05/2024,10,FK Bodø/Glimt,KFUM Oslo,2-2
25/05/2024,10,Fredrikstad FK,Tromsø IL,0-0
26/05/2024,10,FK Haugesund,Sandefjord Fotball,2-1
26/05/2024,10,Odds BK,Lillestrøm SK,2-1
26/05/2024,10,Rosenborg BK,Kristiansund BK,2-1
26/05/2024,10,Sarpsborg 08,Strømsgodset IF,1-3
26/05/2024,10,Viking FK,Hamarkameratene,3-0
26/05/2024,10,SK Brann,Molde FK,1-3
01/06/2024,11,Hamarkameratene,SK Brann,1-2
02/06/2024,11,Molde FK,Viking FK,2-2
02/06/2024,11,FK Haugesund,FK Bodø/Glimt,0-1
02/06/2024,11,KFUM Oslo,Sandefjord Fotball,3-3
02/06/2024,11,Kristiansund BK,Sarpsborg 08,3-1
02/06/2024,11,Strømsgodset IF,Odds BK,1-1
02/06/2024,11,Tromsø IL,Lillestrøm SK,1-2
02/06/2024,11,Rosenborg BK,Fredrikstad FK,1-1
27/06/2024,12,Sandefjord Fotball,Hamarkameratene,1-2
27/06/2024,12,Lillestrøm SK,KFUM Oslo,2-1
28/06/2024,12,SK Brann,Strømsgodset IF,0-0
28/06/2024,12,Odds BK,Kristiansund BK,1-1
28/06/2024,12,Sarpsborg 08,FK Bodø/Glimt,1-2
28/06/2024,12,Tromsø IL,Molde FK,0-2
30/06/2024,12,Viking FK,Rosenborg BK,4-2
14/08/2024,12,Fredrikstad FK,FK Haugesund,1-0
07/07/2024,13,FK Bodø/Glimt,SK Brann,5-1
07/07/2024,13,FK Haugesund,Sarpsborg 08,1-2
07/07/2024,13,Hamarkameratene,Tromsø IL,0-0
07/07/2024,13,KFUM Oslo,Viking FK,1-2
07/07/2024,13,Molde FK,Lillestrøm SK,3-0
07/07/2024,13,Rosenborg BK,Odds BK,2-1
08/07/2024,13,Kristiansund BK,Fredrikstad FK,3-1
