Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
11/08/2023,1,SD Amorebieta,Levante UD,1-1
11/08/2023,1,Real Valladolid,Sporting Gijón,2-0
12/08/2023,1,Racing Santander,SD Eibar,4-0
12/08/2023,1,Real Zaragoza,Villarreal CF B,2-0
12/08/2023,1,Elche CF,Racing Ferrol,0-1
13/08/2023,1,Burgos CF,SD Huesca,1-1
13/08/2023,1,Albacete,Espanyol Barcelona,1-1
13/08/2023,1,FC Cartagena,CD Eldense,0-1
13/08/2023,1,CD Leganés,FC Andorra,0-1
14/08/2023,1,CD Mirandés,AD Alcorcón,4-0
14/08/2023,1,CD Tenerife,Real Oviedo,1-0
18/08/2023,2,FC Andorra,FC Cartagena,3-2
18/08/2023,2,Real Zaragoza,Real Valladolid,1-0
19/08/2023,2,SD Eibar,Elche CF,2-1
19/08/2023,2,Espanyol Barcelona,Racing Santander,2-0
19/08/2023,2,Levante UD,Burgos CF,3-2
19/08/2023,2,AD Alcorcón,CD Leganés,0-2
20/08/2023,2,Real Oviedo,Racing Ferrol,1-1
20/08/2023,2,Sporting Gijón,CD Mirandés,3-0
20/08/2023,2,Albacete,SD Amorebieta,2-2
21/08/2023,2,Villarreal CF B,CD Eldense,3-1
21/08/2023,2,SD Huesca,CD Tenerife,0-2
25/08/2023,3,FC Cartagena,Levante UD,0-1
26/08/2023,3,Burgos CF,Real Oviedo,1-0
26/08/2023,3,CD Tenerife,Real Zaragoza,0-1
26/08/2023,3,Elche CF,Villarreal CF B,1-0
26/08/2023,3,Real Valladolid,AD Alcorcón,0-2
27/08/2023,3,Racing Ferrol,Sporting Gijón,2-0
27/08/2023,3,SD Amorebieta,FC Andorra,3-0
27/08/2023,3,CD Mirandés,Espanyol Barcelona,0-1
27/08/2023,3,CD Leganés,Albacete,2-0
28/08/2023,3,CD Eldense,SD Eibar,2-1
28/08/2023,3,Racing Santander,SD Huesca,0-0
01/09/2023,4,AD Alcorcón,Racing Ferrol,1-1
01/09/2023,4,Albacete,Real Valladolid,2-0
02/09/2023,4,Sporting Gijón,Burgos CF,2-1
02/09/2023,4,Levante UD,Real Oviedo,1-1
02/09/2023,4,Elche CF,Racing Santander,1-1
02/09/2023,4,Villarreal CF B,FC Cartagena,1-2
03/09/2023,4,FC Andorra,CD Tenerife,0-1
03/09/2023,4,SD Eibar,CD Leganés,0-1
03/09/2023,4,Espanyol Barcelona,SD Amorebieta,3-2
03/09/2023,4,Real Zaragoza,CD Eldense,2-0
03/09/2023,4,SD Huesca,CD Mirandés,1-1
08/09/2023,5,Levante UD,Espanyol Barcelona,1-4
09/09/2023,5,Burgos CF,SD Eibar,1-0
09/09/2023,5,Real Oviedo,Sporting Gijón,0-0
09/09/2023,5,CD Leganés,SD Huesca,2-0
09/09/2023,5,CD Tenerife,Albacete,2-0
10/09/2023,5,Racing Ferrol,Villarreal CF B,2-2
10/09/2023,5,Racing Santander,SD Amorebieta,1-0
10/09/2023,5,CD Mirandés,FC Andorra,4-3
10/09/2023,5,FC Cartagena,Real Zaragoza,1-3
10/09/2023,5,Real Valladolid,Elche CF,1-1
11/09/2023,5,CD Eldense,AD Alcorcón,2-2
15/09/2023,6,Real Zaragoza,Racing Santander,1-1
16/09/2023,6,SD Huesca,Villarreal CF B,2-2
16/09/2023,6,AD Alcorcón,Levante UD,0-2
16/09/2023,6,Real Valladolid,FC Cartagena,1-0
16/09/2023,6,Albacete,Burgos CF,2-1
17/09/2023,6,SD Amorebieta,CD Mirandés,2-0
17/09/2023,6,SD Eibar,Racing Ferrol,2-0
17/09/2023,6,Espanyol Barcelona,CD Eldense,3-3
17/09/2023,6,Elche CF,CD Leganés,1-0
17/09/2023,6,Sporting Gijón,CD Tenerife,2-1
18/09/2023,6,FC Andorra,Real Oviedo,1-0
22/09/2023,7,FC Cartagena,SD Eibar,1-2
23/09/2023,7,FC Andorra,Sporting Gijón,0-0
23/09/2023,7,Levante UD,CD Eldense,2-0
23/09/2023,7,Burgos CF,Elche CF,4-0
23/09/2023,7,AD Alcorcón,SD Huesca,0-2
23/09/2023,7,Racing Santander,Albacete,2-1
24/09/2023,7,Villarreal CF B,SD Amorebieta,3-1
