matchday,date,time,home_team,away_team,result,status
1,20/01/2024,03:00,Patriotas FC,Jaguares de Córdoba,0-1,Final
1,20/01/2024,03:00,Deportivo Pereira,Deportivo Cali,2-2,Final
1,20/01/2024,03:00,Once Caldas,Boyacá Chicó,2-1,Final
1,21/01/2024,03:00,Deportes Tolima,Fortaleza FC,1-2,Final
1,21/01/2024,03:00,América de Cali,Águilas Doradas,0-1,Final
1,21/01/2024,03:00,Millonarios,Independiente Medellín,5-0,Final
1,22/01/2024,03:00,Atlético Junior,Atlético Bucaramanga,2-0,Final
1,22/01/2024,03:00,Atlético Nacional,Alianza FC,3-1,Final
1,23/01/2024,03:00,Internacional de Bogotá,Envigado FC,0-0,Final
1,23/01/2024,03:00,Deportivo Pasto,Santa Fe,0-1,Final
2,26/01/2024,03:00,Fortaleza FC,Patriotas FC,2-0,Final
2,26/01/2024,03:00,Águilas Doradas,Once Caldas,1-0,Final
2,27/01/2024,03:00,Deportivo Pasto,Deportes Tolima,1-4,Final
2,27/01/2024,03:00,Alianza FC,Deportivo Cali,3-3,Final
2,27/01/2024,03:00,Santa Fe,Envigado FC,3-1,Final
2,28/01/2024,03:00,Jaguares de Córdoba,Internacional de Bogotá,0-0,Final
2,28/01/2024,03:00,Independiente Medellín,Deportivo Pereira,1-0,Final
2,28/01/2024,03:00,Boyacá Chicó,Atlético Junior,2-2,Final
2,29/01/2024,03:00,América de Cali,Atlético Nacional,4-1,Final
2,29/01/2024,03:00,Atlético Bucaramanga,Millonarios,0-0,Final
3,30/01/2024,03:00,Patriotas FC,Águilas Doradas,0-0,Final
3,31/01/2024,03:00,Deportivo Cali,Fortaleza FC,2-0,Final
3,31/01/2024,03:00,Internacional de Bogotá,Santa Fe,1-0,Final
3,31/01/2024,03:00,Deportivo Pereira,Deportivo Pasto,0-1,Final
3,01/02/2024,03:00,Millonarios,Alianza FC,1-1,Final
3,01/02/2024,03:00,Deportes Tolima,América de Cali,2-1,Final
3,01/02/2024,03:00,Envigado FC,Boyacá Chicó,2-0,Final
3,02/02/2024,03:00,Atlético Nacional,Once Caldas,1-1,Final
3,02/02/2024,03:00,Atlético Junior,Independiente Medellín,3-0,Final
3,03/02/2024,03:00,Jaguares de Córdoba,Atlético Bucaramanga,0-1,Final
4,04/02/2024,03:00,Deportes Tolima,Millonarios,2-0,Final
4,04/02/2024,03:00,América de Cali,Patriotas FC,1-0,Final
4,04/02/2024,03:00,Fortaleza FC,Envigado FC,1-1,Final
4,05/02/2024,03:00,Águilas Doradas,Atlético Nacional,0-3,Final
4,05/02/2024,03:00,Alianza FC,Atlético Junior,0-1,Final
4,05/02/2024,03:00,Boyacá Chicó,Deportivo Pereira,1-2,Final
4,06/02/2024,03:00,Deportivo Pasto,Jaguares de Córdoba,1-1,Final
4,06/02/2024,03:00,Independiente Medellín,Deportivo Cali,1-0,Final
4,07/02/2024,03:00,Once Caldas,Internacional de Bogotá,0-0,Final
4,07/02/2024,03:00,Santa Fe,Atlético Bucaramanga,0-1,Final
5,07/02/2024,03:00,Envigado FC,Alianza FC,1-2,Final
5,08/02/2024,03:00,Millonarios,América de Cali,1-0,Final
5,08/02/2024,03:00,Deportivo Pereira,Fortaleza FC,2-0,Final
5,09/02/2024,03:00,Atlético Junior,Deportivo Pasto,2-0,Final
5,09/02/2024,03:00,Patriotas FC,Atlético Nacional,0-0,Final
5,10/02/2024,03:00,Jaguares de Córdoba,Águilas Doradas,1-0,Final
5,10/02/2024,03:00,Deportivo Cali,Boyacá Chicó,4-0,Final
5,10/02/2024,03:00,Internacional de Bogotá,Deportes Tolima,1-1,Final
5,11/02/2024,03:00,Atlético Bucaramanga,Once Caldas,1-1,Final
5,11/02/2024,03:00,Independiente Medellín,Santa Fe,1-1,Final
6,11/02/2024,03:00,Fortaleza FC,Atlético Junior,2-0,Final
6,12/02/2024,03:00,Atlético Nacional,Millonarios,0-1,Final
6,12/02/2024,03:00,Alianza FC,Deportivo Pereira,1-2,Final
6,13/02/2024,03:00,Deportivo Pasto,Envigado FC,0-1,Final
6,14/02/2024,03:00,Águilas Doradas,Internacional de Bogotá,1-1,Final
6,14/02/2024,03:00,Santa Fe,Deportivo Cali,1-0,Final
6,15/02/2024,03:00,Once Caldas,Patriotas FC,1-0,Final
6,15/02/2024,03:00,Boyacá Chicó,Independiente Medellín,3-0,Final
6,16/02/2024,03:00,Deportes Tolima,Jaguares de Córdoba,2-0,Final
6,16/02/2024,03:00,América de Cali,Atlético Bucaramanga,0-0,Final
7,17/02/2024,03:00,Millonarios,Águilas Doradas,0-1,Final
7,17/02/2024,03:00,Deportivo Cali,Atlético Nacional,3-2,Final
7,18/02/2024,03:00,Independiente Medellín,Fortaleza FC,2-2,Final
7,18/02/2024,03:00,Deportivo Pereira,Santa Fe,1-0,Final
7,18/02/2024,03:00,Internacional de Bogotá,Patriotas FC,1-0,Final
7,18/02/2024,03:00,Envigado FC,América de Cali,1-1,Final
7,19/02/2024,03:00,Jaguares de Córdoba,Once Caldas,3-0,Final
7,19/02/2024,03:00,Atlético Junior,Deportes Tolima,0-1,Final
7,19/02/2024,03:00,Boyacá Chicó,Alianza FC,1-0,Final
7,20/02/2024,03:00,Atlético Bucaramanga,Deportivo Pasto,1-0,Final
8,22/02/2024,03:00,Santa Fe,Atlético Junior,3-0,Final
8,22/02/2024,03:00,Deportes Tolima,Atlético Bucaramanga,0-0,Final
8,23/02/2024,03:00,América de Cali,Internacional de Bogotá,0-1,Final
8,23/02/2024,03:00,Once Caldas,Deportivo Pereira,1-2,Final
8,23/02/2024,03:00,Fortaleza FC,Boyacá Chicó,1-1,Final
8,24/02/2024,03:00,Águilas Doradas,Envigado FC,2-0,Final
8,24/02/2024,03:00,Deportivo Pasto,Deportivo Cali,0-1,Final
8,25/02/2024,03:00,Alianza FC,Independiente Medellín,2-0,Final
8,25/02/2024,03:00,Patriotas FC,Millonarios,1-0,Final
8,28/03/2024,03:00,Atlético Nacional,Jaguares de Córdoba,2-0,Final
9,25/02/2024,03:00,Jaguares de Córdoba,América de Cali,1-1,Final
9,26/02/2024,03:00,Internacional de Bogotá,Atlético Nacional,2-0,Final
9,26/02/2024,03:00,Deportivo Pereira,Atlético Junior,3-3,Final
9,27/02/2024,03:00,Boyacá Chicó,Santa Fe,1-2,Final
9,27/02/2024,03:00,Deportivo Cali,Deportes Tolima,1-2,Final
9,27/02/2024,03:00,Envigado FC,Patriotas FC,1-0,Final
9,28/02/2024,03:00,Millonarios,Once Caldas,0-2,Final
9,28/02/2024,03:00,Fortaleza FC,Alianza FC,1-2,Final
9,01/03/2024,03:00,Independiente Medellín,Deportivo Pasto,1-0,Final
9,27/03/2024,03:00,Atlético Bucaramanga,Águilas Doradas,1-0,Final
10,01/03/2024,03:00,Envigado FC,Jaguares de Córdoba,2-2,Final
10,02/03/2024,03:00,Boyacá Chicó,Deportes Tolima,1-1,Final
10,02/03/2024,03:00,Deportivo Cali,Once Caldas,0-1,Final
10,02/03/2024,03:00,Millonarios,Internacional de Bogotá,1-2,Final
10,03/03/2024,03:00,Deportivo Pereira,América de Cali,2-0,Final
10,03/03/2024,03:00,Atlético Junior,Atlético Nacional,0-0,Final
10,03/03/2024,03:00,Atlético Bucaramanga,Patriotas FC,3-0,Final
10,04/03/2024,03:00,Independiente Medellín,Águilas Doradas,1-0,Final
10,04/03/2024,03:00,Alianza FC,Santa Fe,0-1,Final
10,05/03/2024,03:00,Deportivo Pasto,Fortaleza FC,1-0,Final
11,09/03/2024,03:00,Águilas Doradas,Atlético Junior,0-2,Final
11,09/03/2024,03:00,Internacional de Bogotá,Deportivo Cali,2-0,Final
11,09/03/2024,03:00,Deportivo Pasto,Boyacá Chicó,2-1,Final
11,09/03/2024,03:00,Santa Fe,Fortaleza FC,2-0,Final
11,10/03/2024,03:00,América de Cali,Alianza FC,2-0,Final
11,10/03/2024,03:00,Deportes Tolima,Independiente Medellín,2-2,Final
11,10/03/2024,03:00,Once Caldas,Envigado FC,2-1,Final
11,10/03/2024,03:00,Atlético Nacional,Atlético Bucaramanga,0-0,Final
11,11/03/2024,03:00,Jaguares de Córdoba,Millonarios,2-1,Final
11,11/03/2024,03:00,Patriotas FC,Deportivo Pereira,3-0,Final
12,16/03/2024,03:00,Alianza FC,Deportivo Pasto,1-1,Final
12,16/03/2024,03:00,Atlético Junior,Jaguares de Córdoba,3-1,Final
12,16/03/2024,03:00,Santa Fe,Deportes Tolima,1-1,Final
12,16/03/2024,03:00,Atlético Bucaramanga,Internacional de Bogotá,4-0,Final
12,17/03/2024,03:00,Boyacá Chicó,Atlético Nacional,2-1,Final
12,17/03/2024,03:00,Independiente Medellín,Once Caldas,1-2,Final
12,17/03/2024,03:00,Envigado FC,Millonarios,1-1,Final
12,17/03/2024,03:00,Deportivo Cali,Patriotas FC,0-1,Final
12,18/03/2024,03:00,Fortaleza FC,América de Cali,0-0,Final
12,18/03/2024,03:00,Deportivo Pereira,Águilas Doradas,2-1,Final
13,23/03/2024,03:00,Patriotas FC,Atlético Junior,1-0,Final
13,23/03/2024,03:00,Internacional de Bogotá,Independiente Medellín,1-2,Final
13,23/03/2024,03:00,Millonarios,Deportivo Cali,1-1,Final
13,23/03/2024,03:00,Deportes Tolima,Deportivo Pereira,2-1,Final
13,24/03/2024,03:00,Jaguares de Córdoba,Fortaleza FC,0-1,Final
13,24/03/2024,03:00,América de Cali,Boyacá Chicó,3-2,Final
13,24/03/2024,03:00,Atlético Bucaramanga,Envigado FC,3-1,Final
13,25/03/2024,03:00,Atlético Nacional,Deportivo Pasto,1-0,Final
13,25/03/2024,03:00,Águilas Doradas,Santa Fe,1-1,Final
13,25/03/2024,03:00,Once Caldas,Alianza FC,1-0,Final
14,29/03/2024,03:00,Alianza FC,Deportes Tolima,0-2,Final
14,30/03/2024,03:00,Atlético Junior,Internacional de Bogotá,1-0,Final
14,30/03/2024,03:00,Envigado FC,Atlético Nacional,0-1,Final
14,30/03/2024,03:00,Deportivo Pasto,Once Caldas,0-0,Final
14,31/03/2024,03:00,Boyacá Chicó,Jaguares de Córdoba,1-0,Final
14,31/03/2024,03:00,Fortaleza FC,Millonarios,1-2,Final
14,31/03/2024,03:00,Santa Fe,Patriotas FC,3-0,Final
14,31/03/2024,03:00,Deportivo Pereira,Atlético Bucaramanga,1-2,Final
14,01/04/2024,03:00,Independiente Medellín,América de Cali,1-4,Final
14,01/04/2024,03:00,Deportivo Cali,Águilas Doradas,2-4,Final
15,28/03/2024,03:00,Millonarios,Santa Fe,3-1,Final
15,05/04/2024,03:00,Envigado FC,Deportivo Pereira,1-1,Final
15,06/04/2024,03:00,Atlético Nacional,Fortaleza FC,1-2,Final
15,06/04/2024,03:00,Once Caldas,Deportes Tolima,2-1,Final
15,06/04/2024,03:00,Águilas Doradas,Deportivo Pasto,0-1,Final
15,07/04/2024,03:00,Atlético Bucaramanga,Deportivo Cali,2-1,Final
15,07/04/2024,03:00,América de Cali,Atlético Junior,4-1,Final
15,07/04/2024,03:00,Patriotas FC,Alianza FC,0-0,Final
15,08/04/2024,03:00,Jaguares de Córdoba,Independiente Medellín,2-2,Final
15,08/04/2024,03:00,Internacional de Bogotá,Boyacá Chicó,4-0,Final
16,13/04/2024,03:00,Deportes Tolima,Águilas Doradas,2-1,Final
16,13/04/2024,03:00,Deportivo Cali,América de Cali,1-1,Final
16,13/04/2024,03:00,Fortaleza FC,Once Caldas,2-0,Final
16,13/04/2024,03:00,Santa Fe,Atlético Nacional,0-0,Final
16,14/04/2024,03:00,Atlético Junior,Envigado FC,1-1,Final
16,14/04/2024,03:00,Deportivo Pereira,Jaguares de Córdoba,0-0,Final
16,14/04/2024,03:00,Boyacá Chicó,Patriotas FC,1-2,Final
