Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
13/01/2024,1,Gallos Blancos,Deportivo Toluca,2-2
13/01/2024,1,Mazatlán FC,Atlético San Luis,0-1
14/01/2024,1,Cruz Azul,CF Pachuca,0-1
14/01/2024,1,Deportivo Guadalajara,Santos Laguna,1-1
14/01/2024,1,CF Monterrey,Puebla FC,2-0
14/01/2024,1,Club Tijuana,CF América,0-2
14/01/2024,1,Pumas UNAM,FC Juárez,1-0
15/01/2024,1,Club Necaxa,Atlas Guadalajara,2-1
18/01/2024,1,Club León,UANL Tigres,1-2
20/01/2024,2,Puebla FC,Club Necaxa,1-2
20/01/2024,2,Atlético San Luis,Pumas UNAM,3-1
20/01/2024,2,FC Juárez,Cruz Azul,0-0
21/01/2024,2,Deportivo Toluca,Mazatlán FC,4-1
21/01/2024,2,CF América,Gallos Blancos,2-0
21/01/2024,2,Atlas Guadalajara,Club Tijuana,0-0
22/01/2024,2,UANL Tigres,Deportivo Guadalajara,1-0
22/01/2024,2,Santos Laguna,CF Monterrey,0-2
08/02/2024,2,CF Pachuca,Club León,3-2
27/01/2024,3,Puebla FC,Deportivo Toluca,1-1
27/01/2024,3,Club Tijuana,Deportivo Guadalajara,1-1
28/01/2024,3,Cruz Azul,Mazatlán FC,2-1
28/01/2024,3,Club León,Santos Laguna,3-2
28/01/2024,3,CF Monterrey,Atlético San Luis,3-1
28/01/2024,3,Club Necaxa,CF América,0-0
29/01/2024,3,Pumas UNAM,CF Pachuca,3-1
29/01/2024,3,Atlas Guadalajara,FC Juárez,2-1
29/01/2024,3,Gallos Blancos,UANL Tigres,1-1
25/01/2024,4,Atlético San Luis,UANL Tigres,1-2
25/01/2024,4,CF Monterrey,Gallos Blancos,1-1
25/01/2024,4,FC Juárez,CF América,0-2
31/01/2024,4,Cruz Azul,Club Tijuana,1-0
31/01/2024,4,Mazatlán FC,Club León,2-2
31/01/2024,4,Santos Laguna,Puebla FC,3-0
31/01/2024,4,Deportivo Guadalajara,Deportivo Toluca,3-2
01/02/2024,4,CF Pachuca,Atlas Guadalajara,4-3
01/02/2024,4,Pumas UNAM,Club Necaxa,2-2
03/02/2024,5,Gallos Blancos,Cruz Azul,1-3
03/02/2024,5,Puebla FC,Mazatlán FC,3-2
04/02/2024,5,Deportivo Toluca,Club León,4-1
04/02/2024,5,FC Juárez,Club Necaxa,2-2
