Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
20/01/2024,1,Patriotas FC,Jaguares de Córdoba,0-1
20/01/2024,1,Deportivo Pereira,Deportivo Cali,2-2
20/01/2024,1,Once Caldas,Boyacá Chicó,2-1
21/01/2024,1,Deportes Tolima,Fortaleza FC,1-2
21/01/2024,1,América de Cali,Águilas Doradas,0-1
21/01/2024,1,Millonarios,Independiente Medellín,5-0
22/01/2024,1,Atlético Junior,Atlético Bucaramanga,2-0
22/01/2024,1,Atlético Nacional,Alianza FC,3-1
23/01/2024,1,Internacional de Bogotá,Envigado FC,0-0
23/01/2024,1,Deportivo Pasto,Santa Fe,0-1
26/01/2024,2,Fortaleza FC,Patriotas FC,2-0
26/01/2024,2,Águilas Doradas,Once Caldas,1-0
27/01/2024,2,Deportivo Pasto,Deportes Tolima,1-4
27/01/2024,2,Alianza FC,Deportivo Cali,3-3
27/01/2024,2,Santa Fe,Envigado FC,3-1
28/01/2024,2,Jaguares de Córdoba,Internacional de Bogotá,0-0
28/01/2024,2,Independiente Medellín,Deportivo Pereira,1-0
28/01/2024,2,Boyacá Chicó,Atlético Junior,2-2
29/01/2024,2,América de Cali,Atlético Nacional,4-1
29/01/2024,2,Atlético Bucaramanga,Millonarios,0-0
30/01/2024,3,Patriotas FC,Águilas Doradas,0-0
31/01/2024,3,Deportivo Cali,Fortaleza FC,2-0
31/01/2024,3,Internacional de Bogotá,Santa Fe,1-0
31/01/2024,3,Deportivo Pereira,Deportivo Pasto,0-1
01/02/2024,3,Millonarios,Alianza FC,1-1
01/02/2024,3,Deportes Tolima,América de Cali,2-1
01/02/2024,3,Envigado FC,Boyacá Chicó,2-0
02/02/2024,3,Atlético Nacional,Once Caldas,1-1
02/02/2024,3,Atlético Junior,Independiente Medellín,3-0
03/02/2024,3,Jaguares de Córdoba,Atlético Bucaramanga,0-1
04/02/2024,4,Deportes Tolima,Millonarios,2-0
04/02/2024,4,América de Cali,Patriotas FC,1-0
04/02/2024,4,Fortaleza FC,Envigado FC,1-1
05/02/2024,4,Águilas Doradas,Atlético Nacional,0-3
05/02/2024,4,Alianza FC,Atlético Junior,0-1
05/02/2024,4,Boyacá Chicó,Deportivo Pereira,1-2
06/02/2024,4,Deportivo Pasto,Jaguares de Córdoba,1-1
06/02/2024,4,Independiente Medellín,Deportivo Cali,1-0
07/02/2024,4,Once Caldas,Internacional de Bogotá,0-0
07/02/2024,4,Santa Fe,Atlético Bucaramanga,0-1
07/02/2024,5,Envigado FC,Alianza FC,1-2
08/02/2024,5,Millonarios,América de Cali,1-0
08/02/2024,5,Deportivo Pereira,Fortaleza FC,2-0
09/02/2024,5,Atlético Junior,Deportivo Pasto,2-0
09/02/2024,5,Patriotas FC,Atlético Nacional,0-0
10/02/2024,5,Jaguares de Córdoba,Águilas Doradas,1-0
10/02/2024,5,Deportivo Cali,Boyacá Chicó,4-0
10/02/2024,5,Internacional de Bogotá,Deportes Tolima,1-1
11/02/2024,5,Atlético Bucaramanga,Once Caldas,1-1
11/02/2024,5,Independiente Medellín,Santa Fe,1-1
11/02/2024,6,Fortaleza FC,Atlético Junior,2-0
12/02/2024,6,Atlético Nacional,Millonarios,0-1
12/02/2024,6,Alianza FC,Deportivo Pereira,1-2
13/02/2024,6,Deportivo Pasto,Envigado FC,0-1
14/02/2024,6,Águilas Doradas,Internacional de Bogotá,1-1
14/02/2024,6,Santa Fe,Deportivo Cali,1-0
15/02/2024,6,Once Caldas,Patriotas FC,1-0
15/02/2024,6,Boyacá Chicó,Independiente Medellín,3-0
16/02/2024,6,Deportes Tolima,Jaguares de Córdoba,2-0
16/02/2024,6,América de Cali,Atlético Bucaramanga,0-0
17/02/2024,7,Millonarios,Águilas Doradas,0-1
17/02/2024,7,Deportivo Cali,Atlético Nacional,3-2
18/02/2024,7,Independiente Medellín,Fortaleza FC,2-2
18/02/2024,7,Deportivo Pereira,Santa Fe,1-0
18/02/2024,7,Internacional de Bogotá,Patriotas FC,1-0
18/02/2024,7,Envigado FC,América de Cali,1-1
19/02/2024,7,Jaguares de Córdoba,Once Caldas,3-0
19/02/2024,7,Atlético Junior,Deportes Tolima,0-1
19/02/2024,7,Boyacá Chicó,Alianza FC,1-0
20/02/2024,7,Atlético Bucaramanga,Deportivo Pasto,1-0
22/02/2024,8,Santa Fe,Atlético Junior,3-0
22/02/2024,8,Deportes Tolima,Atlético Bucaramanga,0-0
23/02/2024,8,América de Cali,Internacional de Bogotá,0-1
23/02/2024,8,Once Caldas,Deportivo Pereira,1-2
23/02/2024,8,Fortaleza FC,Boyacá Chicó,1-1
24/02/2024,8,Águilas Doradas,Envigado FC,2-0
24/02/2024,8,Deportivo Pasto,Deportivo Cali,0-1
25/02/2024,8,Alianza FC,Independiente Medellín,2-0
25/02/2024,8,Patriotas FC,Millonarios,1-0
28/03/2024,8,Atlético Nacional,Jaguares de Córdoba,2-0
25/02/2024,9,Jaguares de Córdoba,América de Cali,1-1
26/02/2024,9,Internacional de Bogotá,Atlético Nacional,2-0
26/02/2024,9,Deportivo Pereira,Atlético Junior,3-3
27/02/2024,9,Boyacá Chicó,Santa Fe,1-2
27/02/2024,9,Deportivo Cali,Deportes Tolima,1-2
27/02/2024,9,Envigado FC,Patriotas FC,1-0
28/02/2024,9,Millonarios,Once Caldas,0-2
28/02/2024,9,Fortaleza FC,Alianza FC,1-2
01/03/2024,9,Independiente Medellín,Deportivo Pasto,1-0
27/03/2024,9,Atlético Bucaramanga,Águilas Doradas,1-0
01/03/2024,10,Envigado FC,Jaguares de Córdoba,2-2
02/03/2024,10,Boyacá Chicó,Deportes Tolima,1-1
02/03/2024,10,Deportivo Cali,Once Caldas,0-1
02/03/2024,10,Millonarios,Internacional de Bogotá,1-2
03/03/2024,10,Deportivo Pereira,América de Cali,2-0
03/03/2024,10,Atlético Junior,Atlético Nacional,0-0
03/03/2024,10,Atlético Bucaramanga,Patriotas FC,3-0
04/03/2024,10,Independiente Medellín,Águilas Doradas,1-0
04/03/2024,10,Alianza FC,Santa Fe,0-1
05/03/2024,10,Deportivo Pasto,Fortaleza FC,1-0
09/03/2024,11,Águilas Doradas,Atlético Junior,0-2
09/03/2024,11,Internacional de Bogotá,Deportivo Cali,2-0
09/03/2024,11,Deportivo Pasto,Boyacá Chicó,2-1
09/03/2024,11,Santa Fe,Fortaleza FC,2-0
10/03/2024,11,América de Cali,Alianza FC,2-0
10/03/2024,11,Deportes Tolima,Independiente Medellín,2-2
10/03/2024,11,Once Caldas,Envigado FC,2-1
10/03/2024,11,Atlético Nacional,Atlético Bucaramanga,0-0
11/03/2024,11,Jaguares de Córdoba,Millonarios,2-1
11/03/2024,11,Patriotas FC,Deportivo Pereira,3-0
16/03/2024,12,Alianza FC,Deportivo Pasto,1-1
16/03/2024,12,Atlético Junior,Jaguares de Córdoba,3-1
16/03/2024,12,Santa Fe,Deportes Tolima,1-1
16/03/2024,12,Atlético Bucaramanga,Internacional de Bogotá,4-0
17/03/2024,12,Boyacá Chicó,Atlético Nacional,2-1
17/03/2024,12,Independiente Medellín,Once Caldas,1-2
17/03/2024,12,Envigado FC,Millonarios,1-1
17/03/2024,12,Deportivo Cali,Patriotas FC,0-1
18/03/2024,12,Fortaleza FC,América de Cali,0-0
18/03/2024,12,Deportivo Pereira,Águilas Doradas,2-1
23/03/2024,13,Patriotas FC,Atlético Junior,1-0
23/03/2024,13,Internacional de Bogotá,Independiente Medellín,1-2
23/03/2024,13,Millonarios,Deportivo Cali,1-1
23/03/2024,13,Deportes Tolima,Deportivo Pereira,2-1
24/03/2024,13,Jaguares de Córdoba,Fortaleza FC,0-1
24/03/2024,13,América de Cali,Boyacá Chicó,3-2
24/03/2024,13,Atlético Bucaramanga,Envigado FC,3-1
25/03/2024,13,Atlético Nacional,Deportivo Pasto,1-0
25/03/2024,13,Águilas Doradas,Santa Fe,1-1
25/03/2024,13,Once Caldas,Alianza FC,1-0
29/03/2024,14,Alianza FC,Deportes Tolima,0-2
30/03/2024,14,Atlético Junior,Internacional de Bogotá,1-0
30/03/2024,14,Envigado FC,Atlético Nacional,0-1
30/03/2024,14,Deportivo Pasto,Once Caldas,0-0
31/03/2024,14,Boyacá Chicó,Jaguares de Córdoba,1-0
31/03/2024,14,Fortaleza FC,Millonarios,1-2
31/03/2024,14,Santa Fe,Patriotas FC,3-0
31/03/2024,14,Deportivo Pereira,Atlético Bucaramanga,1-2
01/04/2024,14,Independiente Medellín,América de Cali,1-4
01/04/2024,14,Deportivo Cali,Águilas Doradas,2-4
28/03/2024,15,Millonarios,Santa Fe,3-1
05/04/2024,15,Envigado FC,Deportivo Pereira,1-1
06/04/2024,15,Atlético Nacional,Fortaleza FC,1-2
06/04/2024,15,Once Caldas,Deportes Tolima,2-1
06/04/2024,15,Águilas Doradas,Deportivo Pasto,0-1
07/04/2024,15,Atlético Bucaramanga,Deportivo Cali,2-1
07/04/2024,15,América de Cali,Atlético Junior,4-1
07/04/2024,15,Patriotas FC,Alianza FC,0-0
08/04/2024,15,Jaguares de Córdoba,Independiente Medellín,2-2
08/04/2024,15,Internacional de Bogotá,Boyacá Chicó,4-0
13/04/2024,16,Deportes Tolima,Águilas Doradas,2-1
13/04/2024,16,Deportivo Cali,América de Cali,1-1
13/04/2024,16,Fortaleza FC,Once Caldas,2-0
13/04/2024,16,Santa Fe,Atlético Nacional,0-0
14/04/2024,16,Atlético Junior,Envigado FC,1-1
14/04/2024,16,Deportivo Pereira,Jaguares de Córdoba,0-0
14/04/2024,16,Boyacá Chicó,Patriotas FC,1-2
14/04/2024,16,Independiente Medellín,Atlético Bucaramanga,1-0
15/04/2024,16,Deportivo Pasto,Millonarios,2-3
15/04/2024,16,Alianza FC,Internacional de Bogotá,0-3
16/04/2024,17,Envigado FC,Deportes Tolima,0-2
17/04/2024,17,Jaguares de Córdoba,Deportivo Cali,1-1
17/04/2024,17,Once Caldas,Santa Fe,0-1
17/04/2024,17,Águilas Doradas,Alianza FC,4-0
18/04/2024,17,Millonarios,Atlético Junior,3-2
18/04/2024,17,Atlético Nacional,Deportivo Pereira,0-1
18/04/2024,17,Internacional de Bogotá,Fortaleza FC,0-0
19/04/2024,17,Patriotas FC,Independiente Medellín,2-3
19/04/2024,17,América de Cali,Deportivo Pasto,0-0
20/04/2024,17,Atlético Bucaramanga,Boyacá Chicó,2-3
20/04/2024,18,Deportivo Pereira,Millonarios,1-2
21/04/2024,18,Atlético Junior,Once Caldas,1-0
21/04/2024,18,Alianza FC,Jaguares de Córdoba,2-1
21/04/2024,18,Santa Fe,América de Cali,1-0
21/04/2024,18,Deportivo Cali,Envigado FC,2-0
22/04/2024,18,Independiente Medellín,Atlético Nacional,2-2
22/04/2024,18,Deportes Tolima,Patriotas FC,2-1
22/04/2024,18,Fortaleza FC,Atlético Bucaramanga,0-2
23/04/2024,18,Boyacá Chicó,Águilas Doradas,1-2
23/04/2024,18,Deportivo Pasto,Internacional de Bogotá,2-3
28/04/2024,19,Atlético Nacional,Deportes Tolima,3-1
28/04/2024,19,Patriotas FC,Deportivo Pasto,0-3
29/04/2024,19,Deportivo Cali,Atlético Junior,0-0
29/04/2024,19,Once Caldas,América de Cali,0-0
29/04/2024,19,Atlético Bucaramanga,Alianza FC,1-0
29/04/2024,19,Jaguares de Córdoba,Santa Fe,1-0
29/04/2024,19,Águilas Doradas,Fortaleza FC,1-1
29/04/2024,19,Millonarios,Boyacá Chicó,3-0
29/04/2024,19,Internacional de Bogotá,Deportivo Pereira,0-2
29/04/2024,19,Envigado FC,Independiente Medellín,0-1
