Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
05/08/2023,1,Chelmsford City,Farnborough FC,1-0
05/08/2023,1,Chippenham Town,Aveley FC,1-0
05/08/2023,1,Dartford FC,Bath City FC,3-3
05/08/2023,1,Dover Athletic,Torquay United,2-2
05/08/2023,1,Eastbourne Borough,Hampton & Richmond Borough,1-0
05/08/2023,1,Hemel Hempstead Town,Yeovil Town,1-0
05/08/2023,1,Maidstone United,Slough Town,2-1
05/08/2023,1,St. Albans City,Weymouth FC,2-1
05/08/2023,1,Taunton Town,Braintree Town,2-1
05/08/2023,1,Truro City,Welling United FC,5-2
05/08/2023,1,Weston-super-Mare AFC,Havant & Waterlooville,1-0
05/08/2023,1,Worthing FC,Tonbridge Angels,1-0
12/08/2023,2,Aveley FC,Taunton Town,4-1
12/08/2023,2,Bath City FC,Maidstone United,3-0
12/08/2023,2,Braintree Town,Truro City,3-2
12/08/2023,2,Farnborough FC,Eastbourne Borough,1-1
12/08/2023,2,Weymouth FC,Dartford FC,1-0
12/08/2023,2,Chelmsford City,Hampton & Richmond Borough,1-1
12/08/2023,2,Havant & Waterlooville,Chippenham Town,2-4
12/08/2023,2,Slough Town,Dover Athletic,1-2
12/08/2023,2,Tonbridge Angels,Weston-super-Mare AFC,0-1
12/08/2023,2,Torquay United,Worthing FC,0-3
12/08/2023,2,Welling United FC,Hemel Hempstead Town,0-1
12/08/2023,2,Yeovil Town,St. Albans City,2-1
14/08/2023,3,Aveley FC,Eastbourne Borough,2-0
15/08/2023,3,Bath City FC,Weston-super-Mare AFC,2-6
15/08/2023,3,Braintree Town,Maidstone United,1-2
15/08/2023,3,Farnborough FC,Hemel Hempstead Town,2-1
15/08/2023,3,Weymouth FC,Taunton Town,1-1
15/08/2023,3,Dartford FC,Hampton & Richmond Borough,1-1
15/08/2023,3,Slough Town,Worthing FC,1-4
15/08/2023,3,Tonbridge Angels,Dover Athletic,1-0
15/08/2023,3,Torquay United,Chippenham Town,2-1
15/08/2023,3,Welling United FC,Chelmsford City,1-2
15/08/2023,3,Yeovil Town,Truro City,2-1
16/08/2023,3,Havant & Waterlooville,St. Albans City,1-2
19/08/2023,4,Chelmsford City,Havant & Waterlooville,1-1
19/08/2023,4,Chippenham Town,Tonbridge Angels,1-2
19/08/2023,4,Dartford FC,Farnborough FC,1-1
19/08/2023,4,Dover Athletic,Braintree Town,1-1
19/08/2023,4,Eastbourne Borough,Bath City FC,1-2
19/08/2023,4,Hemel Hempstead Town,Weymouth FC,1-2
19/08/2023,4,Yeovil Town,Maidstone United,1-1
19/08/2023,4,St. Albans City,Torquay United,0-1
19/08/2023,4,Taunton Town,Welling United FC,1-0
19/08/2023,4,Truro City,Hampton & Richmond Borough,1-2
19/08/2023,4,Weston-super-Mare AFC,Slough Town,0-3
19/08/2023,4,Worthing FC,Aveley FC,1-2
26/08/2023,5,Aveley FC,Dartford FC,0-1
26/08/2023,5,Bath City FC,Hampton & Richmond Borough,3-1
26/08/2023,5,Braintree Town,Chippenham Town,0-0
26/08/2023,5,Dover Athletic,Worthing FC,0-2
26/08/2023,5,Eastbourne Borough,Truro City,0-1
26/08/2023,5,Farnborough FC,Weston-super-Mare AFC,3-0
26/08/2023,5,Weymouth FC,Chelmsford City,0-3
26/08/2023,5,Hemel Hempstead Town,Maidstone United,1-1
26/08/2023,5,Slough Town,Torquay United,1-2
26/08/2023,5,Taunton Town,St. Albans City,3-2
26/08/2023,5,Welling United FC,Havant & Waterlooville,3-2
26/08/2023,5,Yeovil Town,Tonbridge Angels,2-0
28/08/2023,6,Chelmsford City,Eastbourne Borough,1-0
28/08/2023,6,Chippenham Town,Slough Town,2-1
28/08/2023,6,Dartford FC,Dover Athletic,2-0
28/08/2023,6,Aveley FC,Hampton & Richmond Borough,3-0
28/08/2023,6,Havant & Waterlooville,Yeovil Town,4-3
28/08/2023,6,Maidstone United,Taunton Town,1-1
28/08/2023,6,St. Albans City,Bath City FC,0-2
28/08/2023,6,Tonbridge Angels,Welling United FC,0-1
28/08/2023,6,Torquay United,Braintree Town,2-1
28/08/2023,6,Truro City,Farnborough FC,3-1
28/08/2023,6,Weston-super-Mare AFC,Hemel Hempstead Town,1-1
28/08/2023,6,Worthing FC,Weymouth FC,2-0
02/09/2023,7,Aveley FC,Torquay United,2-1
02/09/2023,7,Bath City FC,Havant & Waterlooville,2-0
02/09/2023,7,Braintree Town,Worthing FC,4-0
02/09/2023,7,Dover Athletic,Chippenham Town,1-1
02/09/2023,7,Eastbourne Borough,Weston-super-Mare AFC,2-1
02/09/2023,7,Farnborough FC,Hampton & Richmond Borough,3-1
02/09/2023,7,Weymouth FC,Maidstone United,2-3
02/09/2023,7,Hemel Hempstead Town,Truro City,0-0
02/09/2023,7,Slough Town,Tonbridge Angels,2-5
02/09/2023,7,Taunton Town,Dartford FC,1-0
02/09/2023,7,Welling United FC,St. Albans City,0-0
02/09/2023,7,Yeovil Town,Chelmsford City,1-1
04/09/2023,8,Chelmsford City,Hemel Hempstead Town,1-2
05/09/2023,8,Chippenham Town,Taunton Town,3-3
05/09/2023,8,Dartford FC,Slough Town,1-2
05/09/2023,8,Hampton & Richmond Borough,Weymouth FC,1-0
05/09/2023,8,Maidstone United,Aveley FC,0-1
05/09/2023,8,St. Albans City,Dover Athletic,2-0
05/09/2023,8,Tonbridge Angels,Braintree Town,0-0
05/09/2023,8,Torquay United,Farnborough FC,3-0
05/09/2023,8,Truro City,Bath City FC,1-1
05/09/2023,8,Weston-super-Mare AFC,Yeovil Town,2-3
05/09/2023,8,Worthing FC,Welling United FC,2-0
06/09/2023,8,Havant & Waterlooville,Eastbourne Borough,1-2
09/09/2023,9,Braintree Town,Farnborough FC,1-1
09/09/2023,9,Chippenham Town,Maidstone United,0-2
09/09/2023,9,Dover Athletic,Weymouth FC,1-3
09/09/2023,9,Havant & Waterlooville,Truro City,1-3
09/09/2023,9,Slough Town,Aveley FC,2-0
09/09/2023,9,St. Albans City,Dartford FC,1-0
09/09/2023,9,Tonbridge Angels,Taunton Town,0-3
09/09/2023,9,Torquay United,Chelmsford City,2-1
09/09/2023,9,Welling United FC,Bath City FC,0-1
09/09/2023,9,Weston-super-Mare AFC,Hampton & Richmond Borough,1-1
09/09/2023,9,Worthing FC,Hemel Hempstead Town,1-1
09/09/2023,9,Yeovil Town,Eastbourne Borough,3-2
23/09/2023,10,Aveley FC,Braintree Town,1-1
23/09/2023,10,Bath City FC,Dover Athletic,2-2
23/09/2023,10,Chelmsford City,St. Albans City,0-2
23/09/2023,10,Dartford FC,Tonbridge Angels,1-0
23/09/2023,10,Eastbourne Borough,Welling United FC,2-2
23/09/2023,10,Farnborough FC,Slough Town,2-2
23/09/2023,10,Weymouth FC,Chippenham Town,1-1
23/09/2023,10,Hampton & Richmond Borough,Yeovil Town,1-2
23/09/2023,10,Hemel Hempstead Town,Torquay United,3-2
23/09/2023,10,Maidstone United,Worthing FC,4-0
23/09/2023,10,Taunton Town,Havant & Waterlooville,0-0
23/09/2023,10,Truro City,Weston-super-Mare AFC,0-1
07/10/2023,11,Braintree Town,Bath City FC,1-1
07/10/2023,11,Chippenham Town,Dartford FC,1-4
07/10/2023,11,Dover Athletic,Taunton Town,2-2
07/10/2023,11,Havant & Waterlooville,Hampton & Richmond Borough,1-2
07/10/2023,11,Slough Town,Weymouth FC,0-0
07/10/2023,11,St. Albans City,Eastbourne Borough,2-3
07/10/2023,11,Tonbridge Angels,Hemel Hempstead Town,3-3
07/10/2023,11,Torquay United,Maidstone United,0-1
07/10/2023,11,Welling United FC,Farnborough FC,2-2
07/10/2023,11,Weston-super-Mare AFC,Chelmsford City,0-3
07/10/2023,11,Worthing FC,Truro City,2-2
07/10/2023,11,Yeovil Town,Aveley FC,3-1
14/10/2023,12,Farnborough FC,St. Albans City,2-1
14/10/2023,12,Weymouth FC,Tonbridge Angels,1-1
31/10/2023,12,Dartford FC,Weston-super-Mare AFC,4-2
28/11/2023,12,Eastbourne Borough,Torquay United,1-4
28/11/2023,12,Maidstone United,Havant & Waterlooville,3-1
04/12/2023,12,Aveley FC,Welling United FC,2-2
05/12/2023,12,Hampton & Richmond Borough,Braintree Town,1-1
05/12/2023,12,Hemel Hempstead Town,Chippenham Town,0-2
06/12/2023,12,Bath City FC,Yeovil Town,0-1
04/03/2024,12,Chelmsford City,Worthing FC,0-1
11/04/2024,12,Taunton Town,Slough Town,0-4
16/04/2024,12,Truro City,Dover Athletic,1-0
21/10/2023,13,Aveley FC,Truro City,1-1
21/10/2023,13,Braintree Town,Weston-super-Mare AFC,2-0
21/10/2023,13,Chippenham Town,St. Albans City,1-2
21/10/2023,13,Dartford FC,Havant & Waterlooville,2-0
21/10/2023,13,Dover Athletic,Hemel Hempstead Town,2-2
21/10/2023,13,Weymouth FC,Eastbourne Borough,3-1
21/10/2023,13,Maidstone United,Farnborough FC,1-1
21/10/2023,13,Slough Town,Chelmsford City,0-0
21/10/2023,13,Taunton Town,Hampton & Richmond Borough,0-1
21/10/2023,13,Tonbridge Angels,Bath City FC,3-2
21/10/2023,13,Torquay United,Welling United FC,5-1
21/10/2023,13,Worthing FC,Yeovil Town,1-2
30/09/2023,14,Truro City,Chippenham Town,0-2
23/10/2023,14,Chelmsford City,Dover Athletic,3-3
24/10/2023,14,Bath City FC,Taunton Town,3-0
24/10/2023,14,Eastbourne Borough,Dartford FC,1-1
24/10/2023,14,Farnborough FC,Tonbridge Angels,4-1
24/10/2023,14,Hampton & Richmond Borough,Worthing FC,4-1
24/10/2023,14,Hemel Hempstead Town,Braintree Town,0-2
24/10/2023,14,St. Albans City,Slough Town,3-2
24/10/2023,14,Welling United FC,Maidstone United,0-0
24/10/2023,14,Weston-super-Mare AFC,Torquay United,3-2
24/10/2023,14,Yeovil Town,Weymouth FC,2-0
25/10/2023,14,Havant & Waterlooville,Aveley FC,1-4
