matchday,date,time,home_team,away_team,result,status
1,11/08/2023,03:00,Sporting Braga,FC Famalicão,1-2,Final
1,12/08/2023,03:00,Gil Vicente,Portimonense SC,5-0,Final
1,12/08/2023,03:00,SC Farense,Casa Pia AC,0-3,Final
1,12/08/2023,03:00,Sporting CP,FC Vizela,3-2,Final
1,13/08/2023,03:00,Rio Ave FC,GD Chaves,2-0,Final
1,13/08/2023,03:00,Estrela Amadora,Vitória Guimarães,0-1,Final
1,13/08/2023,03:00,FC Arouca,GD Estoril,4-3,Final
1,14/08/2023,03:00,Moreirense FC,FC Porto,1-2,Final
1,14/08/2023,03:00,Boavista,SL Benfica,3-2,Final
2,18/08/2023,03:00,Casa Pia AC,Sporting CP,1-2,Final
2,19/08/2023,03:00,Vitória Guimarães,Gil Vicente,2-1,Final
2,19/08/2023,03:00,GD Chaves,Sporting Braga,2-4,Final
2,19/08/2023,03:00,SL Benfica,Estrela Amadora,2-0,Final
2,19/08/2023,03:00,Portimonense SC,Boavista,1-4,Final
2,20/08/2023,03:00,GD Estoril,Rio Ave FC,2-0,Final
2,20/08/2023,03:00,FC Porto,SC Farense,2-1,Final
2,20/08/2023,03:00,FC Vizela,FC Arouca,2-2,Final
2,21/08/2023,03:00,FC Famalicão,Moreirense FC,0-0,Final
3,25/08/2023,03:00,Estrela Amadora,GD Estoril,2-1,Final
3,26/08/2023,03:00,FC Arouca,Portimonense SC,1-1,Final
3,26/08/2023,03:00,SC Farense,GD Chaves,5-0,Final
3,26/08/2023,03:00,Gil Vicente,SL Benfica,2-3,Final
3,27/08/2023,03:00,Boavista,Casa Pia AC,1-1,Final
3,27/08/2023,03:00,Vitória Guimarães,FC Vizela,2-0,Final
3,27/08/2023,03:00,Sporting CP,FC Famalicão,1-0,Final
3,28/08/2023,03:00,Rio Ave FC,FC Porto,1-2,Final
3,09/09/2023,03:00,Moreirense FC,Sporting Braga,2-3,Final
4,01/09/2023,03:00,FC Vizela,Gil Vicente,1-0,Final
4,02/09/2023,03:00,Casa Pia AC,Rio Ave FC,1-1,Final
