matchday,date,time,home_team,away_team,result,status
1,02/02/2024,03:00,Agropecuario Argentino,Patronato de Paraná,1-0,Final
1,03/02/2024,03:00,Mitre de SdE,San Telmo,1-0,Final
1,03/02/2024,03:00,Chacarita Juniors,Deportivo Maipú,2-0,Final
1,03/02/2024,03:00,All Boys,Tristan Suárez,1-0,Final
1,03/02/2024,03:00,Deportivo Morón,Brown de Adrogué,3-0,Final
1,03/02/2024,03:00,Talleres (RdE),Atlético San Miguel,0-0,Final
1,03/02/2024,03:00,Estudiantes de Caseros,Ferro Carril Oeste,1-0,Final
1,03/02/2024,03:00,Quilmes,Temperley,2-0,Final
1,03/02/2024,03:00,Nueva Chicago,Almagro,1-0,Final
1,04/02/2024,03:00,San Martín de Tucumán,Gimnasia de Jujuy,1-0,Final
1,04/02/2024,03:00,Aldosivi,Atlético Rafaela,0-1,Final
1,04/02/2024,03:00,Colón de Santa Fe,Defensores Unidos de Zárate,2-1,Final
1,04/02/2024,03:00,Arsenal de Sarandí,Güemes de SdE,1-1,Final
1,04/02/2024,03:00,Guillermo Brown,Racing de Córdoba,1-1,Final
1,04/02/2024,03:00,Gimnasia y Tiro de Salta,Chaco For Ever,2-0,Final
1,04/02/2024,03:00,Almirante Brown,Atlanta,0-1,Final
1,04/02/2024,03:00,San Martín de San Juan,Alvarado,1-0,Final
1,04/02/2024,03:00,Gimnasia de Mendoza,Defensores de Belgrano,0-1,Final
1,05/02/2024,03:00,Estudiantes de Río Cuarto,Deportivo Madryn,1-0,Final
2,09/02/2024,03:00,Ferro Carril Oeste,Chacarita Juniors,0-2,Final
2,10/02/2024,03:00,Atlético San Miguel,Estudiantes de Caseros,0-0,Final
2,10/02/2024,03:00,Quilmes,Talleres (RdE),0-0,Final
2,10/02/2024,03:00,Deportivo Madryn,Aldosivi,0-2,Final
2,10/02/2024,03:00,San Telmo,Gimnasia y Tiro de Salta,1-1,Final
2,10/02/2024,03:00,Almagro,Deportivo Morón,2-1,Final
2,11/02/2024,03:00,Almirante Brown,Tristan Suárez,1-2,Final
2,11/02/2024,03:00,Brown de Adrogué,Temperley,2-2,Final
2,11/02/2024,03:00,Güemes de SdE,San Martín de San Juan,1-0,Final
2,11/02/2024,03:00,Gimnasia de Jujuy,Arsenal de Sarandí,1-0,Final
2,11/02/2024,03:00,Atlanta,Colón de Santa Fe,0-0,Final
2,11/02/2024,03:00,Defensores Unidos de Zárate,Estudiantes de Río Cuarto,1-0,Final
2,11/02/2024,03:00,Defensores de Belgrano,Nueva Chicago,1-0,Final
2,11/02/2024,03:00,Deportivo Maipú,San Martín de Tucumán,0-2,Final
2,11/02/2024,03:00,Racing de Córdoba,Agropecuario Argentino,1-3,Final
2,11/02/2024,03:00,Chaco For Ever,Gimnasia de Mendoza,1-1,Final
2,12/02/2024,03:00,Patronato de Paraná,All Boys,0-0,Final
2,12/02/2024,03:00,Alvarado,Guillermo Brown,2-1,Final
2,13/02/2024,03:00,Atlético Rafaela,Mitre de SdE,0-0,Final
3,16/02/2024,03:00,Chacarita Juniors,Atlético San Miguel,1-1,Final
3,17/02/2024,03:00,Tristan Suárez,Patronato de Paraná,0-1,Final
