matchday,date,time,home_team,away_team,result,status
1,11/08/2023,03:00,Al Ahli SFC,Al Hazem,3-1,Final
1,12/08/2023,03:00,Al Tai,Damac FC,1-0,Final
1,12/08/2023,03:00,Al Fayha,Al Khaleej,3-1,Final
1,13/08/2023,03:00,Al Riyadh,Al Wehda,1-0,Final
1,13/08/2023,03:00,Al Fateh,Al Taawoun,1-1,Final
1,14/08/2023,03:00,Abha Club,Al Hilal,1-3,Final
1,14/08/2023,03:00,Al Ra’ed,Al Ittihad,0-3,Final
1,14/08/2023,03:00,Al Shabab,Al Okhdood,1-1,Final
1,14/08/2023,03:00,Al Ettifaq,Al Nassr,2-1,Final
2,17/08/2023,03:00,Damac FC,Al Riyadh,2-2,Final
2,17/08/2023,03:00,Al Khaleej,Al Ahli SFC,1-3,Final
2,18/08/2023,03:00,Al Okhdood,Al Fateh,1-3,Final
2,18/08/2023,03:00,Al Nassr,Al Taawoun,0-2,Final
2,18/08/2023,03:00,Al Wehda,Al Shabab,3-1,Final
2,18/08/2023,03:00,Al Hazem,Al Ettifaq,0-2,Final
2,19/08/2023,03:00,Abha Club,Al Ra’ed,1-0,Final
2,19/08/2023,03:00,Al Hilal,Al Fayha,1-1,Final
2,19/08/2023,03:00,Al Ittihad,Al Tai,2-0,Final
3,24/08/2023,03:00,Al Tai,Al Wehda,0-3,Final
3,24/08/2023,03:00,Al Ahli SFC,Al Okhdood,1-0,Final
3,24/08/2023,03:00,Al Riyadh,Al Ittihad,0-4,Final
3,24/08/2023,03:00,Al Ettifaq,Al Khaleej,1-1,Final
3,24/08/2023,03:00,Al Ra’ed,Al Hilal,0-4,Final
3,25/08/2023,03:00,Al Fayha,Al Hazem,0-0,Final
3,25/08/2023,03:00,Al Shabab,Damac FC,1-1,Final
3,25/08/2023,03:00,Al Fateh,Al Nassr,0-5,Final
3,25/08/2023,03:00,Al Taawoun,Abha Club,1-0,Final
4,28/08/2023,03:00,Abha Club,Al Fayha,2-1,Final
4,28/08/2023,03:00,Al Wehda,Al Ittihad,0-3,Final
4,28/08/2023,03:00,Al Hilal,Al Ettifaq,2-0,Final
4,28/08/2023,03:00,Al Ra’ed,Al Riyadh,3-0,Final
4,29/08/2023,03:00,Al Okhdood,Al Taawoun,0-1,Final
4,29/08/2023,03:00,Damac FC,Al Fateh,2-2,Final
4,29/08/2023,03:00,Al Ahli SFC,Al Tai,2-0,Final
4,29/08/2023,03:00,Al Khaleej,Al Hazem,1-1,Final
4,29/08/2023,03:00,Al Nassr,Al Shabab,4-0,Final
5,01/09/2023,03:00,Al Fayha,Al Ra’ed,0-0,Final
5,01/09/2023,03:00,Al Tai,Abha Club,1-0,Final
5,01/09/2023,03:00,Al Riyadh,Al Okhdood,0-1,Final
5,01/09/2023,03:00,Al Ittihad,Al Hilal,3-4,Final
5,02/09/2023,03:00,Al Shabab,Al Khaleej,1-3,Final
5,02/09/2023,03:00,Al Ettifaq,Damac FC,3-1,Final
5,02/09/2023,03:00,Al Fateh,Al Ahli SFC,5-1,Final
5,02/09/2023,03:00,Al Hazem,Al Nassr,1-5,Final
5,02/09/2023,03:00,Al Taawoun,Al Wehda,4-1,Final
6,14/09/2023,03:00,Al Okhdood,Al Ittihad,0-1,Final
6,14/09/2023,03:00,Al Wehda,Damac FC,4-2,Final
6,15/09/2023,03:00,Al Fayha,Al Shabab,0-1,Final
6,15/09/2023,03:00,Al Khaleej,Al Fateh,1-3,Final
6,15/09/2023,03:00,Al Hilal,Al Riyadh,6-1,Final
6,16/09/2023,03:00,Abha Club,Al Ettifaq,1-3,Final
6,16/09/2023,03:00,Al Hazem,Al Tai,1-1,Final
6,16/09/2023,03:00,Al Ra’ed,Al Nassr,1-3,Final
6,16/09/2023,03:00,Al Ahli SFC,Al Taawoun,3-2,Final
7,21/09/2023,03:00,Al Ettifaq,Al Tai,4-3,Final
7,21/09/2023,03:00,Al Taawoun,Al Ra’ed,2-1,Final
7,21/09/2023,03:00,Damac FC,Al Hilal,1-1,Final
7,21/09/2023,03:00,Al Shabab,Al Hazem,4-1,Final
7,21/09/2023,03:00,Al Ittihad,Al Fateh,2-1,Final
7,22/09/2023,03:00,Al Okhdood,Al Khaleej,0-1,Final
7,22/09/2023,03:00,Al Riyadh,Al Fayha,1-3,Final
7,22/09/2023,03:00,Al Nassr,Al Ahli SFC,4-3,Final
7,22/09/2023,03:00,Al Wehda,Abha Club,4-0,Final
8,29/09/2023,03:00,Al Fayha,Al Ittihad,0-0,Final
8,29/09/2023,03:00,Al Tai,Al Nassr,1-2,Final
8,29/09/2023,03:00,Al Hazem,Al Taawoun,1-3,Final
8,29/09/2023,03:00,Al Hilal,Al Shabab,2-0,Final
8,30/09/2023,03:00,Abha Club,Al Riyadh,0-1,Final
8,30/09/2023,03:00,Al Fateh,Al Wehda,5-1,Final
8,30/09/2023,03:00,Al Ra’ed,Al Okhdood,1-2,Final
8,30/09/2023,03:00,Al Ahli SFC,Al Ettifaq,0-0,Final
8,30/09/2023,03:00,Al Khaleej,Damac FC,0-2,Final
9,05/10/2023,03:00,Damac FC,Al Hazem,4-1,Final
9,05/10/2023,03:00,Al Riyadh,Al Shabab,2-2,Final
9,05/10/2023,03:00,Al Taawoun,Al Tai,3-0,Final
9,05/10/2023,03:00,Al Ettifaq,Al Fateh,1-2,Final
9,06/10/2023,03:00,Al Nassr,Abha Club,2-2,Final
9,06/10/2023,03:00,Al Ittihad,Al Ahli SFC,0-1,Final
9,07/10/2023,03:00,Al Okhdood,Al Hilal,0-3,Final
9,07/10/2023,03:00,Al Khaleej,Al Ra’ed,0-0,Final
9,07/10/2023,03:00,Al Wehda,Al Fayha,1-1,Final
10,20/10/2023,03:00,Al Okhdood,Al Fayha,1-2,Final
10,20/10/2023,03:00,Al Taawoun,Al Ittihad,1-1,Final
10,20/10/2023,03:00,Al Fateh,Abha Club,4-1,Final
10,20/10/2023,03:00,Al Hilal,Al Khaleej,1-0,Final
10,21/10/2023,03:00,Al Nassr,Damac FC,2-1,Final
10,21/10/2023,03:00,Al Hazem,Al Ra’ed,4-3,Final
10,21/10/2023,03:00,Al Ahli SFC,Al Wehda,3-1,Final
10,21/10/2023,03:00,Al Shabab,Al Tai,2-0,Final
10,22/10/2023,03:00,Al Riyadh,Al Ettifaq,1-0,Final
11,26/10/2023,03:00,Al Khaleej,Al Taawoun,1-1,Final
11,26/10/2023,03:00,Damac FC,Al Okhdood,2-0,Final
11,26/10/2023,03:00,Al Ittihad,Al Hazem,2-2,Final
11,27/10/2023,03:00,Al Tai,Al Riyadh,3-2,Final
11,27/10/2023,03:00,Al Ra’ed,Al Fateh,1-2,Final
11,27/10/2023,03:00,Al Hilal,Al Ahli SFC,3-1,Final
11,28/10/2023,03:00,Abha Club,Al Shabab,2-1,Final
11,28/10/2023,03:00,Al Fayha,Al Nassr,1-3,Final
11,28/10/2023,03:00,Al Wehda,Al Ettifaq,2-3,Final
12,03/11/2023,03:00,Al Tai,Al Fayha,3-3,Final
12,03/11/2023,03:00,Al Fateh,Al Hilal,0-2,Final
12,03/11/2023,03:00,Al Shabab,Al Ittihad,1-0,Final
12,04/11/2023,03:00,Abha Club,Al Okhdood,3-2,Final
12,04/11/2023,03:00,Al Nassr,Al Khaleej,2-0,Final
12,04/11/2023,03:00,Al Ettifaq,Al Ra’ed,0-0,Final
12,05/11/2023,03:00,Al Hazem,Al Wehda,1-2,Final
12,05/11/2023,03:00,Al Taawoun,Damac FC,0-0,Final
12,05/11/2023,03:00,Al Ahli SFC,Al Riyadh,3-0,Final
13,09/11/2023,03:00,Al Khaleej,Al Tai,3-1,Final
13,09/11/2023,03:00,Al Ra’ed,Al Shabab,2-1,Final
13,09/11/2023,03:00,Al Riyadh,Al Fateh,1-1,Final
13,09/11/2023,03:00,Damac FC,Al Ahli SFC,2-2,Final
13,10/11/2023,03:00,Al Hilal,Al Taawoun,2-0,Final
13,10/11/2023,03:00,Al Ittihad,Abha Club,4-2,Final
13,11/11/2023,03:00,Al Okhdood,Al Hazem,2-1,Final
13,11/11/2023,03:00,Al Fayha,Al Ettifaq,0-0,Final
13,11/11/2023,03:00,Al Wehda,Al Nassr,1-3,Final
14,24/11/2023,03:00,Al Ettifaq,Al Ittihad,1-1,Final
14,24/11/2023,03:00,Al Taawoun,Al Riyadh,1-2,Final
14,24/11/2023,03:00,Al Nassr,Al Okhdood,3-0,Final
14,24/11/2023,03:00,Al Tai,Al Ra’ed,4-3,Final
14,25/11/2023,03:00,Al Hazem,Al Hilal,0-9,Final
14,25/11/2023,03:00,Al Ahli SFC,Al Shabab,0-0,Final
14,25/11/2023,03:00,Al Wehda,Al Khaleej,3-1,Final
14,25/11/2023,03:00,Al Fateh,Al Fayha,0-1,Final
14,25/11/2023,03:00,Damac FC,Abha Club,4-2,Final
15,30/11/2023,03:00,Abha Club,Al Ahli SFC,0-6,Final
15,30/11/2023,03:00,Al Riyadh,Al Hazem,0-0,Final
15,30/11/2023,03:00,Al Ittihad,Al Khaleej,4-2,Final
15,01/12/2023,03:00,Al Fayha,Damac FC,2-4,Final
15,01/12/2023,03:00,Al Hilal,Al Nassr,3-0,Final
15,02/12/2023,03:00,Al Okhdood,Al Ettifaq,1-0,Final
15,02/12/2023,03:00,Al Fateh,Al Tai,0-1,Final
15,02/12/2023,03:00,Al Shabab,Al Taawoun,1-2,Final
15,02/12/2023,03:00,Al Ra’ed,Al Wehda,2-0,Final
16,07/12/2023,03:00,Al Hazem,Al Fateh,2-0,Final
16,07/12/2023,03:00,Damac FC,Al Ittihad,3-1,Final
16,07/12/2023,03:00,Al Shabab,Al Ettifaq,0-0,Final
16,08/12/2023,03:00,Al Khaleej,Abha Club,3-1,Final
16,08/12/2023,03:00,Al Tai,Al Hilal,1-2,Final
16,08/12/2023,03:00,Al Taawoun,Al Fayha,4-1,Final
16,08/12/2023,03:00,Al Nassr,Al Riyadh,4-1,Final
16,09/12/2023,03:00,Al Ahli SFC,Al Ra’ed,0-0,Final
16,09/12/2023,03:00,Al Wehda,Al Okhdood,2-0,Final
17,14/12/2023,03:00,Abha Club,Al Hazem,1-1,Final
17,14/12/2023,03:00,Al Okhdood,Al Tai,1-0,Final
17,14/12/2023,03:00,Al Fayha,Al Ahli SFC,0-4,Final
17,15/12/2023,03:00,Al Fateh,Al Shabab,1-1,Final
17,15/12/2023,03:00,Al Hilal,Al Wehda,2-0,Final
17,15/12/2023,03:00,Al Ra’ed,Damac FC,0-1,Final
17,16/12/2023,03:00,Al Riyadh,Al Khaleej,0-1,Final
17,16/12/2023,03:00,Al Ettifaq,Al Taawoun,0-2,Final
17,26/12/2023,03:00,Al Ittihad,Al Nassr,2-5,Final
18,21/12/2023,03:00,Al Khaleej,Al Fayha,3-0,Final
18,21/12/2023,03:00,Damac FC,Al Tai,3-0,Final
18,21/12/2023,03:00,Al Hilal,Abha Club,7-0,Final
18,22/12/2023,03:00,Al Okhdood,Al Shabab,1-0,Final
18,22/12/2023,03:00,Al Nassr,Al Ettifaq,3-1,Final
18,22/12/2023,03:00,Al Hazem,Al Ahli SFC,0-4,Final
18,23/12/2023,03:00,Al Taawoun,Al Fateh,1-3,Final
18,23/12/2023,03:00,Al Ittihad,Al Ra’ed,1-3,Final
18,24/12/2023,03:00,Al Wehda,Al Riyadh,3-1,Final
19,28/12/2023,03:00,Al Riyadh,Damac FC,1-0,Final
19,28/12/2023,03:00,Al Ettifaq,Al Hazem,1-1,Final
19,29/12/2023,03:00,Al Fayha,Al Hilal,0-2,Final
19,29/12/2023,03:00,Al Ra’ed,Abha Club,4-3,Final
19,29/12/2023,03:00,Al Ahli SFC,Al Khaleej,1-0,Final
19,30/12/2023,03:00,Al Fateh,Al Okhdood,0-0,Final
19,30/12/2023,03:00,Al Shabab,Al Wehda,1-0,Final
19,30/12/2023,03:00,Al Taawoun,Al Nassr,1-4,Final
19,07/02/2024,03:00,Al Tai,Al Ittihad,0-3,Final
20,15/02/2024,03:00,Abha Club,Al Taawoun,1-1,Final
20,15/02/2024,03:00,Al Khaleej,Al Ettifaq,0-2,Final
20,16/02/2024,03:00,Damac FC,Al Shabab,0-1,Final
20,16/02/2024,03:00,Al Okhdood,Al Ahli SFC,3-2,Final
20,16/02/2024,03:00,Al Wehda,Al Tai,1-1,Final
20,17/02/2024,03:00,Al Hazem,Al Fayha,1-3,Final
20,17/02/2024,03:00,Al Nassr,Al Fateh,2-1,Final
20,18/02/2024,03:00,Al Hilal,Al Ra’ed,3-1,Final
20,18/02/2024,03:00,Al Ittihad,Al Riyadh,2-0,Final
21,23/02/2024,03:00,Al Riyadh,Al Ra’ed,1-1,Final
21,23/02/2024,03:00,Al Taawoun,Al Okhdood,3-1,Final
21,23/02/2024,03:00,Al Fateh,Damac FC,1-1,Final
21,24/02/2024,03:00,Al Tai,Al Ahli SFC,1-4,Final
21,24/02/2024,03:00,Al Hazem,Al Khaleej,1-1,Final
21,25/02/2024,03:00,Al Fayha,Abha Club,3-2,Final
21,25/02/2024,03:00,Al Shabab,Al Nassr,2-3,Final
21,26/02/2024,03:00,Al Ettifaq,Al Hilal,0-2,Final
21,26/02/2024,03:00,Al Ittihad,Al Wehda,2-1,Final
22,29/02/2024,03:00,Al Wehda,Al Taawoun,3-3,Final
22,29/02/2024,03:00,Al Ra’ed,Al Fayha,1-2,Final
22,29/02/2024,03:00,Al Nassr,Al Hazem,4-4,Final
22,01/03/2024,03:00,Abha Club,Al Tai,2-0,Final
22,01/03/2024,03:00,Al Okhdood,Al Riyadh,1-2,Final
22,01/03/2024,03:00,Al Hilal,Al Ittihad,3-1,Final
