Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
03/08/2024,1,Orense SC,Aucas,4-0
03/08/2024,1,Libertad de Loja,Mushuc Runa,2-2
03/08/2024,1,Independiente del Valle,Delfín SC,1-2
04/08/2024,1,Imbabura,Barcelona,1-3
04/08/2024,1,El Nacional,Universidad Católica,0-2
04/08/2024,1,Macará,LDU Quito,0-4
05/08/2024,1,Emelec,Deportivo Cuenca,0-1
06/08/2024,1,Cumbayá,Técnico Universitario,1-2
10/08/2024,2,Deportivo Cuenca,Orense SC,1-2
10/08/2024,2,Universidad Católica,Libertad de Loja,1-2
10/08/2024,2,LDU Quito,Cumbayá,2-1
11/08/2024,2,Barcelona,Independiente del Valle,3-2
11/08/2024,2,El Nacional,Macará,1-3
11/08/2024,2,Delfín SC,Imbabura,1-1
12/08/2024,2,Mushuc Runa,Emelec,3-0
13/08/2024,2,Técnico Universitario,Aucas,2-0
17/08/2024,3,Libertad de Loja,Macará,0-1
17/08/2024,3,Cumbayá,Independiente del Valle,1-3
17/08/2024,3,Aucas,LDU Quito,0-1
18/08/2024,3,Orense SC,Barcelona,3-2
18/08/2024,3,Imbabura,Mushuc Runa,2-3
18/08/2024,3,Deportivo Cuenca,Universidad Católica,1-2
19/08/2024,3,Emelec,El Nacional,0-1
20/08/2024,3,Técnico Universitario,Delfín SC,0-1
24/08/2024,4,Macará,Deportivo Cuenca,3-1
24/08/2024,4,Mushuc Runa,Cumbayá,0-0
24/08/2024,4,El Nacional,Aucas,0-0
25/08/2024,4,Delfín SC,Emelec,0-1
25/08/2024,4,Independiente del Valle,Técnico Universitario,1-0
25/08/2024,4,LDU Quito,Libertad de Loja,3-0
26/08/2024,4,Barcelona,Universidad Católica,1-0
27/08/2024,4,Imbabura,Orense SC,0-1
31/08/2024,5,Universidad Católica,Mushuc Runa,5-1
31/08/2024,5,Deportivo Cuenca,El Nacional,1-2
31/08/2024,5,Libertad de Loja,Delfín SC,2-0
01/09/2024,5,LDU Quito,Barcelona,3-0
01/09/2024,5,Macará,Técnico Universitario,0-0
01/09/2024,5,Aucas,Independiente del Valle,0-2
02/09/2024,5,Emelec,Orense SC,2-1
03/09/2024,5,Cumbayá,Imbabura,1-2
14/09/2024,6,Orense SC,Universidad Católica,2-2
14/09/2024,6,Delfín SC,Deportivo Cuenca,0-0
14/09/2024,6,Imbabura,LDU Quito,4-0
15/09/2024,6,Independiente del Valle,Emelec,2-1
15/09/2024,6,El Nacional,Cumbayá,2-1
15/09/2024,6,Aucas,Mushuc Runa,1-2
16/09/2024,6,Barcelona,Macará,2-1
17/09/2024,6,Técnico Universitario,Libertad de Loja,3-0
21/09/2024,7,Libertad de Loja,Independiente del Valle,1-1
21/09/2024,7,Cumbayá,Aucas,0-3
21/09/2024,7,LDU Quito,El Nacional,1-1
22/09/2024,7,Deportivo Cuenca,Barcelona,1-0
22/09/2024,7,Macará,Imbabura,2-0
22/09/2024,7,Mushuc Runa,Orense SC,3-0
23/09/2024,7,Emelec,Técnico Universitario,3-1
24/09/2024,7,Universidad Católica,Delfín SC,2-1
28/09/2024,8,Orense SC,Macará,1-0
28/09/2024,8,Imbabura,El Nacional,1-0
28/09/2024,8,Independiente del Valle,Universidad Católica,5-2
28/09/2024,8,Cumbayá,Emelec,1-0
29/09/2024,8,Aucas,Deportivo Cuenca,1-4
29/09/2024,8,Delfín SC,LDU Quito,3-2
30/09/2024,8,Barcelona,Libertad de Loja,0-0
30/09/2024,8,Técnico Universitario,Mushuc Runa,2-2
05/10/2024,9,Libertad de Loja,Cumbayá,2-1
05/10/2024,9,Mushuc Runa,Independiente del Valle,1-1
05/10/2024,9,Deportivo Cuenca,Técnico Universitario,1-1
05/10/2024,9,El Nacional,Barcelona,3-0
06/10/2024,9,Universidad Católica,Imbabura,2-1
06/10/2024,9,LDU Quito,Orense SC,2-0
07/10/2024,9,Emelec,Aucas,0-0
07/10/2024,9,Macará,Delfín SC,0-2
18/10/2024,10,Cumbayá,Universidad Católica,1-1
19/10/2024,10,Orense SC,Libertad de Loja,1-0
19/10/2024,10,Mushuc Runa,Deportivo Cuenca,1-1
19/10/2024,10,Técnico Universitario,LDU Quito,1-2
20/10/2024,10,Independiente del Valle,Imbabura,3-1
20/10/2024,10,Aucas,Macará,3-1
20/10/2024,10,Delfín SC,El Nacional,1-1
21/10/2024,10,Barcelona,Emelec,2-1
25/10/2024,11,Deportivo Cuenca,Independiente del Valle,0-2
26/10/2024,11,Libertad de Loja,Aucas,1-1
26/10/2024,11,Universidad Católica,Emelec,2-0
26/10/2024,11,LDU Quito,Mushuc Runa,1-1
27/10/2024,11,Macará,Cumbayá,1-1
27/10/2024,11,El Nacional,Orense SC,0-1
27/10/2024,11,Barcelona,Delfín SC,4-0
28/10/2024,11,Imbabura,Técnico Universitario,0-6
01/11/2024,12,Orense SC,Delfín SC,0-0
02/11/2024,12,Cumbayá,Deportivo Cuenca,1-0
02/11/2024,12,Libertad de Loja,Imbabura,3-1
02/11/2024,12,Aucas,Barcelona,1-1
03/11/2024,12,Mushuc Runa,Macará,2-1
03/11/2024,12,Independiente del Valle,El Nacional,2-0
03/11/2024,12,Emelec,LDU Quito,0-1
04/11/2024,12,Técnico Universitario,Universidad Católica,2-0
08/11/2024,13,Delfín SC,Mushuc Runa,4-2
09/11/2024,13,Universidad Católica,Aucas,3-2
09/11/2024,13,Macará,Emelec,1-1
09/11/2024,13,LDU Quito,Independiente del Valle,2-1
10/11/2024,13,El Nacional,Libertad de Loja,1-4
10/11/2024,13,Orense SC,Técnico Universitario,0-2
10/11/2024,13,Barcelona,Cumbayá,8-1
11/11/2024,13,Imbabura,Deportivo Cuenca,0-2
23/11/2024,14,Técnico Universitario,Barcelona,2-2
23/11/2024,14,Cumbayá,Orense SC,2-2
23/11/2024,14,Deportivo Cuenca,Libertad de Loja,1-1
23/11/2024,14,Emelec,Imbabura,2-2
24/11/2024,14,Mushuc Runa,El Nacional,2-2
24/11/2024,14,Aucas,Delfín SC,2-0
24/11/2024,14,Universidad Católica,LDU Quito,2-4
24/11/2024,14,Independiente del Valle,Macará,7-0
30/11/2024,15,Macará,Universidad Católica,1-2
30/11/2024,15,Libertad de Loja,Emelec,2-1
30/11/2024,15,Imbabura,Aucas,1-2
30/11/2024,15,Delfín SC,Cumbayá,6-4
01/12/2024,15,Orense SC,Independiente del Valle,0-0
01/12/2024,15,El Nacional,Técnico Universitario,2-1
01/12/2024,15,Barcelona,Mushuc Runa,2-2
01/12/2024,15,LDU Quito,Deportivo Cuenca,5-0
