matchday,date,time,home_team,away_team,result,status
1,20/09/2023,03:00,Lille OSC,Olimpija Ljubljana,2-0,Final
1,21/09/2023,03:00,Slovan Bratislava,KÍ Klaksvík,2-1,Final
2,05/10/2023,03:00,KÍ Klaksvík,Lille OSC,0-0,Final
2,05/10/2023,03:00,Olimpija Ljubljana,Slovan Bratislava,0-1,Final
3,26/10/2023,03:00,KÍ Klaksvík,Olimpija Ljubljana,3-0,Final
3,26/10/2023,03:00,Lille OSC,Slovan Bratislava,2-1,Final
4,09/11/2023,03:00,Olimpija Ljubljana,KÍ Klaksvík,2-0,Final
4,09/11/2023,03:00,Slovan Bratislava,Lille OSC,1-1,Final
5,30/11/2023,03:00,KÍ Klaksvík,Slovan Bratislava,1-2,Final
5,30/11/2023,03:00,Olimpija Ljubljana,Lille OSC,0-2,Final
6,14/12/2023,03:00,Lille OSC,KÍ Klaksvík,3-0,Final
6,14/12/2023,03:00,Slovan Bratislava,Olimpija Ljubljana,1-2,Final
1,21/09/2023,03:00,Maccabi Tel Aviv,Breiðablik,3-2,Final
1,21/09/2023,03:00,Zorya Lugansk,KAA Gent,1-1,Final
2,05/10/2023,03:00,Breiðablik,Zorya Lugansk,0-1,Final
2,05/10/2023,03:00,KAA Gent,Maccabi Tel Aviv,2-0,Final
3,26/10/2023,03:00,KAA Gent,Breiðablik,5-0,Final
4,09/11/2023,03:00,Breiðablik,KAA Gent,2-3,Final
4,09/11/2023,03:00,Zorya Lugansk,Maccabi Tel Aviv,1-3,Final
3,25/11/2023,03:00,Maccabi Tel Aviv,Zorya Lugansk,3-2,Final
5,30/11/2023,03:00,Breiðablik,Maccabi Tel Aviv,1-2,Final
5,30/11/2023,03:00,KAA Gent,Zorya Lugansk,4-1,Final
6,14/12/2023,03:00,Maccabi Tel Aviv,KAA Gent,3-1,Final
6,14/12/2023,03:00,Zorya Lugansk,Breiðablik,4-0,Final
1,21/09/2023,03:00,Dinamo Zagreb,FK Astana,5-1,Final
1,21/09/2023,03:00,Viktoria Plzeň,KF Ballkani,1-0,Final
2,05/10/2023,03:00,FK Astana,Viktoria Plzeň,1-2,Final
2,05/10/2023,03:00,KF Ballkani,Dinamo Zagreb,2-0,Final
3,26/10/2023,03:00,KF Ballkani,FK Astana,1-2,Final
3,26/10/2023,03:00,Dinamo Zagreb,Viktoria Plzeň,0-1,Final
4,09/11/2023,03:00,FK Astana,KF Ballkani,0-0,Final
4,09/11/2023,03:00,Viktoria Plzeň,Dinamo Zagreb,1-0,Final
5,30/11/2023,03:00,FK Astana,Dinamo Zagreb,0-2,Final
5,30/11/2023,03:00,KF Ballkani,Viktoria Plzeň,0-1,Final
6,14/12/2023,03:00,Dinamo Zagreb,KF Ballkani,3-0,Final
6,14/12/2023,03:00,Viktoria Plzeň,FK Astana,3-0,Final
1,21/09/2023,03:00,Club Brugge KV,Beşiktaş,1-1,Final
1,21/09/2023,03:00,FC Lugano,FK Bodø/Glimt,0-0,Final
2,05/10/2023,03:00,Beşiktaş,FC Lugano,2-3,Final
2,05/10/2023,03:00,FK Bodø/Glimt,Club Brugge KV,0-1,Final
3,26/10/2023,03:00,FC Lugano,Club Brugge KV,1-3,Final
3,26/10/2023,03:00,FK Bodø/Glimt,Beşiktaş,3-1,Final
