matchday,date,time,home_team,away_team,result,status
1,21/09/2023,03:00,Olympiakos Piraeus,SC Friburgo,2-3,Final
1,21/09/2023,03:00,West Ham United,TSC Bačka Topola,3-1,Final
2,05/10/2023,03:00,SC Friburgo,West Ham United,1-2,Final
2,05/10/2023,03:00,TSC Bačka Topola,Olympiakos Piraeus,2-2,Final
3,26/10/2023,03:00,Olympiakos Piraeus,West Ham United,2-1,Final
3,26/10/2023,03:00,TSC Bačka Topola,SC Friburgo,1-3,Final
4,09/11/2023,03:00,SC Friburgo,TSC Bačka Topola,5-0,Final
4,09/11/2023,03:00,West Ham United,Olympiakos Piraeus,1-0,Final
5,30/11/2023,03:00,SC Friburgo,Olympiakos Piraeus,5-0,Final
5,30/11/2023,03:00,TSC Bačka Topola,West Ham United,0-1,Final
6,14/12/2023,03:00,Olympiakos Piraeus,TSC Bačka Topola,5-2,Final
6,14/12/2023,03:00,West Ham United,SC Friburgo,2-0,Final
1,21/09/2023,03:00,AFC Ajax,Olympique Marseille,3-3,Final
1,21/09/2023,03:00,Brighton & Hove Albion,AEK Athen,2-3,Final
2,05/10/2023,03:00,AEK Athen,AFC Ajax,1-1,Final
2,05/10/2023,03:00,Olympique Marseille,Brighton & Hove Albion,2-2,Final
3,26/10/2023,03:00,Olympique Marseille,AEK Athen,3-1,Final
3,26/10/2023,03:00,Brighton & Hove Albion,AFC Ajax,2-0,Final
4,09/11/2023,03:00,AFC Ajax,Brighton & Hove Albion,0-2,Final
4,09/11/2023,03:00,AEK Athen,Olympique Marseille,0-2,Final
5,30/11/2023,03:00,AEK Athen,Brighton & Hove Albion,0-1,Final
5,30/11/2023,03:00,Olympique Marseille,AFC Ajax,4-3,Final
6,14/12/2023,03:00,AFC Ajax,AEK Athen,3-1,Final
6,14/12/2023,03:00,Brighton & Hove Albion,Olympique Marseille,1-0,Final
1,21/09/2023,03:00,AC Sparta Praha,Aris Limassol,3-2,Final
1,21/09/2023,03:00,Rangers FC,Real Betis,1-0,Final
2,05/10/2023,03:00,Aris Limassol,Rangers FC,2-1,Final
2,05/10/2023,03:00,Real Betis,AC Sparta Praha,2-1,Final
3,26/10/2023,03:00,AC Sparta Praha,Rangers FC,0-0,Final
3,26/10/2023,03:00,Aris Limassol,Real Betis,0-1,Final
4,09/11/2023,03:00,Rangers FC,AC Sparta Praha,2-1,Final
4,09/11/2023,03:00,Real Betis,Aris Limassol,4-1,Final
5,30/11/2023,03:00,AC Sparta Praha,Real Betis,1-0,Final
5,30/11/2023,03:00,Rangers FC,Aris Limassol,1-1,Final
6,14/12/2023,03:00,Aris Limassol,AC Sparta Praha,1-3,Final
6,14/12/2023,03:00,Real Betis,Rangers FC,2-3,Final
1,21/09/2023,03:00,Atalanta,Raków Częstochowa,2-0,Final
1,21/09/2023,03:00,Sturm Graz,Sporting CP,1-2,Final
2,05/10/2023,03:00,Raków Częstochowa,Sturm Graz,0-1,Final
2,05/10/2023,03:00,Sporting CP,Atalanta,1-2,Final
3,26/10/2023,03:00,Raków Częstochowa,Sporting CP,1-1,Final
3,26/10/2023,03:00,Sturm Graz,Atalanta,2-2,Final
4,09/11/2023,03:00,Atalanta,Sturm Graz,1-0,Final
4,09/11/2023,03:00,Sporting CP,Raków Częstochowa,2-1,Final
5,30/11/2023,03:00,Atalanta,Sporting CP,1-1,Final
5,30/11/2023,03:00,Sturm Graz,Raków Częstochowa,0-1,Final
6,14/12/2023,03:00,Raków Częstochowa,Atalanta,0-4,Final
6,14/12/2023,03:00,Sporting CP,Sturm Graz,3-0,Final
1,21/09/2023,03:00,Union Saint-Gilloise,Toulouse FC,1-1,Final
1,21/09/2023,03:00,LASK,Liverpool FC,1-3,Final
2,05/10/2023,03:00,Liverpool FC,Union Saint-Gilloise,2-0,Final
2,05/10/2023,03:00,Toulouse FC,LASK,1-0,Final
3,26/10/2023,03:00,Liverpool FC,Toulouse FC,5-1,Final
3,26/10/2023,03:00,Union Saint-Gilloise,LASK,2-1,Final
4,09/11/2023,03:00,Toulouse FC,Liverpool FC,3-2,Final
4,09/11/2023,03:00,LASK,Union Saint-Gilloise,3-0,Final
5,30/11/2023,03:00,Liverpool FC,LASK,4-0,Final
5,30/11/2023,03:00,Toulouse FC,Union Saint-Gilloise,0-0,Final
6,14/12/2023,03:00,Union Saint-Gilloise,Liverpool FC,2-1,Final
6,14/12/2023,03:00,LASK,Toulouse FC,1-2,Final
1,21/09/2023,03:00,Stade Rennais,Maccabi Haifa,3-0,Final
1,21/09/2023,03:00,Panathinaikos,Villarreal CF,2-0,Final
2,05/10/2023,03:00,Villarreal CF,Stade Rennais,1-0,Final
2,05/10/2023,03:00,Maccabi Haifa,Panathinaikos,0-0,Final
3,26/10/2023,03:00,Panathinaikos,Stade Rennais,1-2,Final
4,09/11/2023,03:00,Stade Rennais,Panathinaikos,3-1,Final
4,09/11/2023,03:00,Maccabi Haifa,Villarreal CF,1-2,Final
5,30/11/2023,03:00,Maccabi Haifa,Stade Rennais,0-3,Final
5,30/11/2023,03:00,Villarreal CF,Panathinaikos,3-2,Final
3,06/12/2023,03:00,Villarreal CF,Maccabi Haifa,0-0,Final
6,14/12/2023,03:00,Stade Rennais,Villarreal CF,2-3,Final
6,14/12/2023,03:00,Panathinaikos,Maccabi Haifa,1-2,Final
1,21/09/2023,03:00,FC Sheriff,AS Roma,1-2,Final
1,21/09/2023,03:00,Servette FC,Slavia Praha,0-2,Final
2,05/10/2023,03:00,AS Roma,Servette FC,4-0,Final
2,05/10/2023,03:00,Slavia Praha,FC Sheriff,6-0,Final
3,26/10/2023,03:00,AS Roma,Slavia Praha,2-0,Final
3,26/10/2023,03:00,FC Sheriff,Servette FC,1-1,Final
4,09/11/2023,03:00,Slavia Praha,AS Roma,2-0,Final
4,09/11/2023,03:00,Servette FC,FC Sheriff,2-1,Final
5,30/11/2023,03:00,Servette FC,AS Roma,1-1,Final
5,30/11/2023,03:00,FC Sheriff,Slavia Praha,2-3,Final
6,14/12/2023,03:00,AS Roma,FC Sheriff,3-0,Final
6,14/12/2023,03:00,Slavia Praha,Servette FC,4-0,Final
1,21/09/2023,03:00,Bayer Leverkusen,BK Häcken,4-0,Final
1,21/09/2023,03:00,Qarabağ FK,Molde FK,1-0,Final
2,05/10/2023,03:00,Molde FK,Bayer Leverkusen,1-2,Final
2,05/10/2023,03:00,BK Häcken,Qarabağ FK,0-1,Final
3,26/10/2023,03:00,Molde FK,BK Häcken,5-1,Final
3,26/10/2023,03:00,Bayer Leverkusen,Qarabağ FK,5-1,Final
4,09/11/2023,03:00,Qarabağ FK,Bayer Leverkusen,0-1,Final
4,09/11/2023,03:00,BK Häcken,Molde FK,1-3,Final
5,30/11/2023,03:00,BK Häcken,Bayer Leverkusen,0-2,Final
