matchday,date,time,home_team,away_team,result,status
,05/02/2025,03:00,Monagas,Defensor Sporting,2-0,Final
,06/02/2025,03:00,Club Nacional,Alianza Lima,1-1,Final
,07/02/2025,03:00,Blooming,El Nacional,3-2,Final
,12/02/2025,03:00,Defensor Sporting,Monagas,0-2,Final
,13/02/2025,03:00,Alianza Lima,Club Nacional,3-1,Final
,14/02/2025,03:00,El Nacional,Blooming,4-3,Final
,18/02/2025,03:00,Deportes Iquique,Santa Fe,2-1,Final
,19/02/2025,03:00,Alianza Lima,Boca Juniors,1-0,Final
,19/02/2025,03:00,The Strongest,Bahia - BA,1-1,Final
,19/02/2025,03:00,Boston River,Ñublense,1-0,Final
,20/02/2025,03:00,El Nacional,Barcelona,0-1,Final
,20/02/2025,03:00,Universidad Central,Corinthians SP,1-1,Final
,20/02/2025,03:00,Monagas,Cerro Porteño,0-4,Final
,21/02/2025,03:00,Deportes Tolima,FBC Melgar,0-1,Final
,25/02/2025,03:00,Santa Fe,Deportes Iquique,1-2,Final
,26/02/2025,03:00,Boca Juniors,Alianza Lima,4-5,Final
,26/02/2025,03:00,Bahia - BA,The Strongest,3-0,Final
,26/02/2025,03:00,Ñublense,Boston River,1-1,Final
,27/02/2025,03:00,Barcelona,El Nacional,1-1,Final
,27/02/2025,03:00,Corinthians SP,Universidad Central,3-2,Final
,27/02/2025,03:00,Cerro Porteño,Monagas,3-1,Final
,28/02/2025,03:00,FBC Melgar,Deportes Tolima,1-0,Final
,04/03/2025,03:00,Deportes Iquique,Alianza Lima,1-2,Final
,05/03/2025,03:00,FBC Melgar,Cerro Porteño,0-1,Final
,06/03/2025,03:00,Barcelona,Corinthians SP,3-0,Final
,07/03/2025,03:00,Boston River,Bahia - BA,0-0,Final
,11/03/2025,03:00,Alianza Lima,Deportes Iquique,1-1,Final
,12/03/2025,03:00,Cerro Porteño,FBC Melgar,4-2,Final
,13/03/2025,03:00,Corinthians SP,Barcelona,2-0,Final
,14/03/2025,03:00,Bahia - BA,Boston River,1-0,Final
,02/04/2025,03:00,Carabobo FC,Estudiantes,0-2,Final
,03/04/2025,03:00,Universidad de Chile,Botafogo - RJ,1-0,Final
,09/04/2025,03:00,Botafogo - RJ,Carabobo FC,2-0,Final
,09/04/2025,03:00,Estudiantes,Universidad de Chile,1-2,Final
,23/04/2025,03:00,Carabobo FC,Universidad de Chile,1-1,Final
,24/04/2025,03:00,Estudiantes,Botafogo - RJ,1-0,Final
,07/05/2025,03:00,Carabobo FC,Botafogo - RJ,1-2,Final
,08/05/2025,03:00,Universidad de Chile,Estudiantes,0-3,Final
,14/05/2025,03:00,Universidad de Chile,Carabobo FC,4-0,Final
,15/05/2025,03:00,Botafogo - RJ,Estudiantes,3-2,Final
,28/05/2025,03:00,Botafogo - RJ,Universidad de Chile,1-0,Final
,28/05/2025,03:00,Estudiantes,Carabobo FC,2-0,Final
,02/04/2025,03:00,Barcelona,Independiente del Valle,1-0,Final
,03/04/2025,03:00,Universitario de Deportes,River Plate,0-1,Final
,09/04/2025,03:00,River Plate,Barcelona,0-0,Final
,09/04/2025,03:00,Independiente del Valle,Universitario de Deportes,1-0,Final
,23/04/2025,03:00,Barcelona,Universitario de Deportes,0-1,Final
,24/04/2025,03:00,Independiente del Valle,River Plate,2-2,Final
,09/05/2025,03:00,Barcelona,River Plate,2-3,Final
,09/05/2025,03:00,Universitario de Deportes,Independiente del Valle,1-1,Final
,15/05/2025,03:00,Universitario de Deportes,Barcelona,1-0,Final
,16/05/2025,03:00,River Plate,Independiente del Valle,6-2,Final
,28/05/2025,03:00,River Plate,Universitario de Deportes,1-1,Final
,28/05/2025,03:00,Independiente del Valle,Barcelona,2-1,Final
,04/04/2025,03:00,Central Córdoba SdE,LDU Quito,0-0,Final
,04/04/2025,03:00,Deportivo Táchira,Flamengo RJ,0-1,Final
,10/04/2025,03:00,Flamengo RJ,Central Córdoba SdE,1-2,Final
,10/04/2025,03:00,LDU Quito,Deportivo Táchira,2-0,Final
,23/04/2025,03:00,LDU Quito,Flamengo RJ,0-0,Final
,25/04/2025,03:00,Central Córdoba SdE,Deportivo Táchira,2-1,Final
,08/05/2025,03:00,Deportivo Táchira,LDU Quito,2-3,Final
,08/05/2025,03:00,Central Córdoba SdE,Flamengo RJ,1-1,Final
,14/05/2025,03:00,Deportivo Táchira,Central Córdoba SdE,1-2,Final
,16/05/2025,03:00,Flamengo RJ,LDU Quito,2-0,Final
,29/05/2025,03:00,Flamengo RJ,Deportivo Táchira,1-0,Final
