matchday,date,time,home_team,away_team,result,status
,05/03/2025,03:00,Universitario de Vinto,Nacional Potosí,0-1,Final
,05/03/2025,03:00,Universidad Católica,Palestino,4-5,Final
,05/03/2025,03:00,Sportivo Luqueño,Sportivo Ameliano,2-0,Final
,05/03/2025,03:00,AD Tarma,Cienciano,5-6,Final
,05/03/2025,03:00,Club Aurora,GV San José,0-1,Final
,05/03/2025,03:00,Unión Española,Everton,3-1,Final
,05/03/2025,03:00,Racing,Montevideo Wanderers,4-2,Final
,05/03/2025,03:00,Academia Puerto Cabello,Metropolitanos FC,3-0,Final
,06/03/2025,03:00,Once Caldas,Millonarios,1-0,Final
,06/03/2025,03:00,Mushuc Runa,Orense SC,2-1,Final
,06/03/2025,03:00,Guaraní,2 de Mayo,2-0,Final
,06/03/2025,03:00,Cerro Largo,Danubio,4-3,Final
,07/03/2025,03:00,Atlético Junior,América de Cali,3-4,Final
,07/03/2025,03:00,Atlético Grau,Cusco FC,4-2,Final
,07/03/2025,03:00,Deportivo La Guaira,Caracas FC,0-2,Final
,07/03/2025,03:00,Universidad Católica,Aucas,4-2,Final
,02/04/2025,03:00,Boston River,Guaraní,3-3,Final
,02/04/2025,03:00,Nacional Potosí,Independiente,2-0,Final
,09/04/2025,03:00,Independiente,Boston River,2-1,Final
,11/04/2025,03:00,Guaraní,Nacional Potosí,2-0,Final
,23/04/2025,03:00,Guaraní,Independiente,2-1,Final
,23/04/2025,03:00,Boston River,Nacional Potosí,2-1,Final
,07/05/2025,03:00,Nacional Potosí,Guaraní,2-2,Final
,07/05/2025,03:00,Boston River,Independiente,1-5,Final
,14/05/2025,03:00,Nacional Potosí,Boston River,3-0,Final
,16/05/2025,03:00,Independiente,Guaraní,1-0,Final
,29/05/2025,03:00,Independiente,Nacional Potosí,7-0,Final
,29/05/2025,03:00,Guaraní,Boston River,0-5,Final
,03/04/2025,03:00,Vitória - BA,Universidad Católica,1-1,Final
,04/04/2025,03:00,Cerro Largo,Defensa y Justicia,0-0,Final
,11/04/2025,03:00,Defensa y Justicia,Vitória - BA,0-0,Final
,11/04/2025,03:00,Universidad Católica,Cerro Largo,3-1,Final
,24/04/2025,03:00,Vitória - BA,Cerro Largo,0-1,Final
,25/04/2025,03:00,Universidad Católica,Defensa y Justicia,3-1,Final
,07/05/2025,03:00,Vitória - BA,Defensa y Justicia,1-1,Final
,08/05/2025,03:00,Cerro Largo,Universidad Católica,1-3,Final
,15/05/2025,03:00,Defensa y Justicia,Universidad Católica,1-1,Final
,15/05/2025,03:00,Cerro Largo,Vitória - BA,0-1,Final
,29/05/2025,03:00,Universidad Católica,Vitória - BA,1-0,Final
,29/05/2025,03:00,Defensa y Justicia,Cerro Largo,1-2,Final
