Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
09/08/2024,1,FC Groningen,NAC Breda,4-1
10/08/2024,1,Feyenoord,Willem II,1-1
10/08/2024,1,NEC Nijmegen,FC Twente,1-2
10/08/2024,1,Almere City FC,AZ Alkmaar,0-1
10/08/2024,1,PSV Eindhoven,RKC Waalwijk,5-1
11/08/2024,1,Sparta Rotterdam,Heracles Almelo,0-0
11/08/2024,1,FC Utrecht,PEC Zwolle,1-0
11/08/2024,1,Go Ahead Eagles,Fortuna Sittard,0-2
11/08/2024,1,AFC Ajax,Sc Heerenveen,1-0
16/08/2024,2,Fortuna Sittard,Almere City FC,3-0
17/08/2024,2,Sc Heerenveen,FC Utrecht,1-1
17/08/2024,2,FC Twente,Sparta Rotterdam,1-1
17/08/2024,2,AZ Alkmaar,NEC Nijmegen,1-0
17/08/2024,2,RKC Waalwijk,FC Groningen,1-2
18/08/2024,2,Heracles Almelo,PSV Eindhoven,1-3
18/08/2024,2,PEC Zwolle,Feyenoord,1-5
18/08/2024,2,Willem II,Go Ahead Eagles,2-0
18/08/2024,2,NAC Breda,AFC Ajax,2-1
24/08/2024,3,NEC Nijmegen,PEC Zwolle,1-0
24/08/2024,3,Almere City FC,PSV Eindhoven,1-7
24/08/2024,3,NAC Breda,FC Utrecht,1-2
25/08/2024,3,FC Groningen,AZ Alkmaar,0-0
25/08/2024,3,Heracles Almelo,Willem II,1-1
25/08/2024,3,Sparta Rotterdam,Feyenoord,1-1
25/08/2024,3,Go Ahead Eagles,RKC Waalwijk,2-0
17/09/2024,3,FC Twente,Sc Heerenveen,2-0
18/09/2024,3,AFC Ajax,Fortuna Sittard,5-0
30/08/2024,4,RKC Waalwijk,AZ Alkmaar,0-3
31/08/2024,4,Almere City FC,FC Groningen,1-1
31/08/2024,4,Fortuna Sittard,NEC Nijmegen,0-3
31/08/2024,4,Sc Heerenveen,NAC Breda,4-0
31/08/2024,4,Willem II,Sparta Rotterdam,1-2
01/09/2024,4,FC Utrecht,FC Twente,2-1
01/09/2024,4,PEC Zwolle,Heracles Almelo,3-0
01/09/2024,4,PSV Eindhoven,Go Ahead Eagles,3-0
30/10/2024,4,Feyenoord,AFC Ajax,0-2
14/09/2024,5,FC Twente,PEC Zwolle,1-1
14/09/2024,5,PSV Eindhoven,NEC Nijmegen,2-0
14/09/2024,5,FC Groningen,Feyenoord,2-2
14/09/2024,5,NAC Breda,Fortuna Sittard,1-0
14/09/2024,5,AZ Alkmaar,Sc Heerenveen,9-1
15/09/2024,5,Sparta Rotterdam,Go Ahead Eagles,1-2
15/09/2024,5,Willem II,RKC Waalwijk,3-0
15/09/2024,5,Heracles Almelo,Almere City FC,0-0
04/12/2024,5,AFC Ajax,FC Utrecht,2-2
20/09/2024,6,PEC Zwolle,AZ Alkmaar,1-2
21/09/2024,6,FC Utrecht,Willem II,3-2
21/09/2024,6,RKC Waalwijk,Sparta Rotterdam,1-2
21/09/2024,6,Go Ahead Eagles,AFC Ajax,1-1
21/09/2024,6,NEC Nijmegen,Heracles Almelo,1-2
22/09/2024,6,Sc Heerenveen,FC Groningen,2-1
22/09/2024,6,Almere City FC,FC Twente,0-5
22/09/2024,6,Feyenoord,NAC Breda,2-0
22/09/2024,6,Fortuna Sittard,PSV Eindhoven,1-3
27/09/2024,7,Heracles Almelo,Sc Heerenveen,2-1
28/09/2024,7,Willem II,PSV Eindhoven,0-2
28/09/2024,7,NEC Nijmegen,Feyenoord,1-1
28/09/2024,7,Sparta Rotterdam,Fortuna Sittard,1-1
29/09/2024,7,PEC Zwolle,Almere City FC,1-0
29/09/2024,7,FC Twente,NAC Breda,1-0
29/09/2024,7,FC Groningen,Go Ahead Eagles,0-1
29/09/2024,7,RKC Waalwijk,AFC Ajax,0-2
29/09/2024,7,AZ Alkmaar,FC Utrecht,1-2
04/10/2024,8,Almere City FC,Willem II,0-1
05/10/2024,8,NAC Breda,NEC Nijmegen,1-0
05/10/2024,8,PSV Eindhoven,Sparta Rotterdam,2-1
05/10/2024,8,FC Utrecht,RKC Waalwijk,3-2
06/10/2024,8,Go Ahead Eagles,Heracles Almelo,4-1
06/10/2024,8,Sc Heerenveen,PEC Zwolle,1-1
06/10/2024,8,Feyenoord,FC Twente,2-1
06/10/2024,8,AFC Ajax,FC Groningen,3-1
06/10/2024,8,Fortuna Sittard,AZ Alkmaar,1-0
19/10/2024,9,Sparta Rotterdam,Almere City FC,2-2
19/10/2024,9,AZ Alkmaar,PSV Eindhoven,1-2
19/10/2024,9,NEC Nijmegen,Sc Heerenveen,3-0
19/10/2024,9,RKC Waalwijk,FC Twente,2-2
19/10/2024,9,Go Ahead Eagles,Feyenoord,1-5
20/10/2024,9,Willem II,Fortuna Sittard,0-0
20/10/2024,9,FC Groningen,FC Utrecht,0-1
20/10/2024,9,Heracles Almelo,AFC Ajax,3-4
20/10/2024,9,PEC Zwolle,NAC Breda,1-2
25/10/2024,10,Almere City FC,NEC Nijmegen,1-0
26/10/2024,10,Fortuna Sittard,FC Groningen,1-0
26/10/2024,10,PSV Eindhoven,PEC Zwolle,6-0
26/10/2024,10,NAC Breda,RKC Waalwijk,4-1
26/10/2024,10,Sc Heerenveen,Sparta Rotterdam,2-0
27/10/2024,10,FC Utrecht,Feyenoord,0-2
27/10/2024,10,FC Twente,Heracles Almelo,5-0
27/10/2024,10,AFC Ajax,Willem II,1-0
27/10/2024,10,AZ Alkmaar,Go Ahead Eagles,2-2
02/11/2024,11,Willem II,FC Twente,0-1
02/11/2024,11,Heracles Almelo,NAC Breda,2-0
02/11/2024,11,AFC Ajax,PSV Eindhoven,3-2
02/11/2024,11,Feyenoord,AZ Alkmaar,3-2
02/11/2024,11,Fortuna Sittard,Sc Heerenveen,3-0
03/11/2024,11,Go Ahead Eagles,PEC Zwolle,2-2
03/11/2024,11,NEC Nijmegen,FC Groningen,6-0
03/11/2024,11,Sparta Rotterdam,FC Utrecht,1-4
03/11/2024,11,RKC Waalwijk,Almere City FC,2-0
08/11/2024,12,FC Utrecht,Heracles Almelo,1-0
09/11/2024,12,FC Groningen,Sparta Rotterdam,1-0
09/11/2024,12,PEC Zwolle,Fortuna Sittard,3-1
09/11/2024,12,NAC Breda,PSV Eindhoven,0-3
09/11/2024,12,RKC Waalwijk,NEC Nijmegen,0-3
10/11/2024,12,Almere City FC,Feyenoord,1-4
10/11/2024,12,Sc Heerenveen,Go Ahead Eagles,1-0
10/11/2024,12,FC Twente,AFC Ajax,2-2
10/11/2024,12,AZ Alkmaar,Willem II,1-2
23/11/2024,13,Go Ahead Eagles,Almere City FC,3-0
23/11/2024,13,Feyenoord,Sc Heerenveen,3-0
23/11/2024,13,Heracles Almelo,RKC Waalwijk,2-2
23/11/2024,13,PSV Eindhoven,FC Groningen,5-0
23/11/2024,13,Fortuna Sittard,FC Twente,1-2
24/11/2024,13,NEC Nijmegen,FC Utrecht,1-2
24/11/2024,13,Sparta Rotterdam,AZ Alkmaar,1-2
24/11/2024,13,Willem II,NAC Breda,2-2
24/11/2024,13,AFC Ajax,PEC Zwolle,2-0
29/11/2024,14,Sc Heerenveen,RKC Waalwijk,1-1
30/11/2024,14,NAC Breda,Almere City FC,1-0
30/11/2024,14,FC Groningen,Willem II,2-0
30/11/2024,14,Feyenoord,Fortuna Sittard,1-1
30/11/2024,14,PEC Zwolle,Sparta Rotterdam,1-0
01/12/2024,14,FC Utrecht,PSV Eindhoven,2-5
01/12/2024,14,AZ Alkmaar,Heracles Almelo,1-0
01/12/2024,14,FC Twente,Go Ahead Eagles,3-2
01/12/2024,14,NEC Nijmegen,AFC Ajax,1-2
06/12/2024,15,PSV Eindhoven,FC Twente,6-1
07/12/2024,15,Go Ahead Eagles,NEC Nijmegen,5-0
07/12/2024,15,Sparta Rotterdam,NAC Breda,0-2
07/12/2024,15,RKC Waalwijk,Feyenoord,2-3
07/12/2024,15,Heracles Almelo,Fortuna Sittard,2-2
08/12/2024,15,FC Groningen,PEC Zwolle,0-0
08/12/2024,15,AZ Alkmaar,AFC Ajax,2-1
08/12/2024,15,Willem II,Sc Heerenveen,1-2
