matchday,date,time,home_team,away_team,result,status
,01/11/2024,03:00,Tamworth FC,Huddersfield Town,1-0,Final
,01/11/2024,03:00,Notts County,Alfreton Town,5-1,Final
,02/11/2024,03:00,Rotherham United,Cheltenham Town,1-3,Final
,02/11/2024,03:00,Barrow AFC,Doncaster Rovers,0-1,Final
,02/11/2024,03:00,Worthing FC,Morecambe FC,0-2,Final
,02/11/2024,03:00,Exeter City,Barnet FC,5-3,Final
,02/11/2024,03:00,Carlisle United,Wigan Athletic,0-2,Final
,02/11/2024,03:00,Brackley Town,Braintree Town,5-4,Final
,02/11/2024,03:00,Wycombe Wanderers,York City,3-2,Final
,02/11/2024,03:00,Bradford City,Aldershot Town,3-1,Final
,02/11/2024,03:00,Hednesford Town,Gainsborough Trinity,4-5,Final
,02/11/2024,03:00,Burton Albion,Scarborough Athletic FC,1-0,Final
,02/11/2024,03:00,Tranmere Rovers,Oldham Athletic,1-2,Final
,02/11/2024,03:00,Rochdale AFC,Bromley FC,3-4,Final
,02/11/2024,03:00,Walsall FC,Bolton Wanderers,2-1,Final
,02/11/2024,03:00,Grimsby Town,Wealdstone FC,0-1,Final
,02/11/2024,03:00,Bristol Rovers,Weston-super-Mare AFC,3-1,Final
,02/11/2024,03:00,Solihull Moors,Maidstone United,3-0,Final
,02/11/2024,03:00,Stockport County,Forest Green Rovers,2-1,Final
,02/11/2024,03:00,Reading FC,Fleetwood Town,2-0,Final
,02/11/2024,03:00,Stevenage FC,Guiseley AFC,5-4,Final
,02/11/2024,03:00,Rushall Olympic,Accrington Stanley,0-2,Final
,02/11/2024,03:00,Swindon Town,Colchester United,2-1,Final
,02/11/2024,03:00,Salford City,Shrewsbury Town,2-1,Final
,02/11/2024,03:00,Crewe Alexandra,Dagenham & Redbridge,0-1,Final
,02/11/2024,03:00,Port Vale FC,Barnsley FC,1-3,Final
,02/11/2024,03:00,Chesterfield FC,Horsham FC,3-1,Final
,02/11/2024,03:00,Southend United,Charlton Athletic,3-4,Final
,02/11/2024,03:00,Maidenhead United,Crawley Town,1-2,Final
,02/11/2024,03:00,Woking FC,Cambridge United,0-1,Final
,02/11/2024,03:00,Gillingham FC,Blackpool FC,0-2,Final
,02/11/2024,03:00,Tonbridge Angels,Harborough Town,1-4,Final
,02/11/2024,03:00,Newport County,Peterborough United,2-4,Final
,02/11/2024,03:00,Northampton Town,Kettering Town,1-2,Final
,03/11/2024,03:00,Milton Keynes Dons,AFC Wimbledon,0-2,Final
,03/11/2024,03:00,Sutton United,Birmingham City,0-1,Final
,03/11/2024,03:00,Boreham Wood,Leyton Orient,1-3,Final
,03/11/2024,03:00,Curzon Ashton,Mansfield Town,0-4,Final
,03/11/2024,03:00,Harrogate Town,Wrexham AFC,1-0,Final
,04/11/2024,03:00,Chesham United,Lincoln City,0-4,Final
,29/11/2024,03:00,Harrogate Town,Gainsborough Trinity,1-0,Final
,30/11/2024,03:00,Wealdstone FC,Wycombe Wanderers,0-2,Final
,30/11/2024,03:00,Salford City,Cheltenham Town,2-0,Final
,30/11/2024,03:00,Walsall FC,Charlton Athletic,0-4,Final
,30/11/2024,03:00,Exeter City,Chesterfield FC,2-0,Final
,30/11/2024,03:00,Leyton Orient,Oldham Athletic,2-1,Final
,30/11/2024,03:00,Barnsley FC,Bristol Rovers,3-4,Final
,30/11/2024,03:00,Accrington Stanley,Swindon Town,4-1,Final
,30/11/2024,03:00,Crawley Town,Lincoln City,3-4,Final
,30/11/2024,03:00,Stevenage FC,Mansfield Town,0-1,Final
,30/11/2024,03:00,Peterborough United,Notts County,4-3,Final
,30/11/2024,03:00,Stockport County,Brackley Town,3-1,Final
,30/11/2024,03:00,Morecambe FC,Bradford City,1-0,Final
,30/11/2024,03:00,Cambridge United,Wigan Athletic,1-2,Final
,30/11/2024,03:00,AFC Wimbledon,Dagenham & Redbridge,1-2,Final
,01/12/2024,03:00,Kettering Town,Doncaster Rovers,1-2,Final
