matchday,date,time,home_team,away_team,result,status
1,18/08/2024,03:00,KF Teuta Durrës,KF Bylis Ballsh,2-1,Final
1,18/08/2024,03:00,FC Dinamo City,Egnatia Rrogozhine,0-2,Final
1,19/08/2024,03:00,KF Laçi,KF Tiranë,0-0,Final
1,19/08/2024,03:00,FK Partizani,FK Vllaznia,0-1,Final
1,19/08/2024,03:00,KF Skënderbeu,AF Elbasani,1-1,Final
2,25/08/2024,03:00,Egnatia Rrogozhine,KF Laçi,2-1,Final
2,25/08/2024,03:00,FK Partizani,KF Skënderbeu,2-1,Final
2,25/08/2024,03:00,FK Vllaznia,KF Tiranë,2-2,Final
2,26/08/2024,03:00,KF Bylis Ballsh,FC Dinamo City,1-0,Final
2,26/08/2024,03:00,AF Elbasani,KF Teuta Durrës,3-0,Final
3,31/08/2024,03:00,KF Laçi,KF Bylis Ballsh,0-0,Final
3,31/08/2024,03:00,KF Skënderbeu,FK Vllaznia,1-0,Final
3,31/08/2024,03:00,KF Teuta Durrës,FK Partizani,0-2,Final
3,01/09/2024,03:00,FC Dinamo City,AF Elbasani,2-1,Final
3,01/09/2024,03:00,KF Tiranë,Egnatia Rrogozhine,1-1,Final
4,11/09/2024,03:00,KF Bylis Ballsh,KF Tiranë,2-2,Final
4,11/09/2024,03:00,KF Skënderbeu,KF Teuta Durrës,2-3,Final
4,11/09/2024,03:00,FK Vllaznia,Egnatia Rrogozhine,3-1,Final
4,12/09/2024,03:00,FK Partizani,FC Dinamo City,2-2,Final
4,12/09/2024,03:00,AF Elbasani,KF Laçi,1-0,Final
5,15/09/2024,03:00,Egnatia Rrogozhine,KF Bylis Ballsh,4-0,Final
5,15/09/2024,03:00,KF Teuta Durrës,FK Vllaznia,1-2,Final
5,16/09/2024,03:00,KF Laçi,FK Partizani,1-1,Final
5,16/09/2024,03:00,FC Dinamo City,KF Skënderbeu,2-1,Final
5,16/09/2024,03:00,KF Tiranë,AF Elbasani,1-1,Final
6,21/09/2024,03:00,KF Skënderbeu,KF Laçi,2-1,Final
6,21/09/2024,03:00,FK Partizani,KF Tiranë,0-0,Final
6,22/09/2024,03:00,FK Vllaznia,KF Bylis Ballsh,2-0,Final
6,22/09/2024,03:00,KF Teuta Durrës,FC Dinamo City,1-1,Final
6,22/09/2024,03:00,AF Elbasani,Egnatia Rrogozhine,0-0,Final
7,27/09/2024,03:00,Egnatia Rrogozhine,FK Partizani,0-2,Final
7,28/09/2024,03:00,KF Laçi,KF Teuta Durrës,0-1,Final
7,28/09/2024,03:00,FC Dinamo City,FK Vllaznia,2-1,Final
7,29/09/2024,03:00,KF Bylis Ballsh,AF Elbasani,0-1,Final
7,29/09/2024,03:00,KF Tiranë,KF Skënderbeu,2-1,Final
8,04/10/2024,03:00,FC Dinamo City,KF Laçi,2-1,Final
8,05/10/2024,03:00,FK Partizani,KF Bylis Ballsh,1-0,Final
8,05/10/2024,03:00,KF Skënderbeu,Egnatia Rrogozhine,0-1,Final
8,06/10/2024,03:00,KF Teuta Durrës,KF Tiranë,3-1,Final
8,06/10/2024,03:00,FK Vllaznia,AF Elbasani,0-0,Final
9,19/10/2024,03:00,KF Laçi,FK Vllaznia,3-1,Final
9,19/10/2024,03:00,KF Tiranë,FC Dinamo City,0-0,Final
9,19/10/2024,03:00,Egnatia Rrogozhine,KF Teuta Durrës,0-0,Final
9,20/10/2024,03:00,KF Bylis Ballsh,KF Skënderbeu,0-1,Final
9,20/10/2024,03:00,AF Elbasani,FK Partizani,1-1,Final
10,25/10/2024,03:00,KF Bylis Ballsh,KF Teuta Durrës,4-0,Final
10,25/10/2024,03:00,Egnatia Rrogozhine,FC Dinamo City,1-1,Final
10,26/10/2024,03:00,AF Elbasani,KF Skënderbeu,1-1,Final
10,26/10/2024,03:00,KF Tiranë,KF Laçi,1-1,Final
10,26/10/2024,03:00,FK Vllaznia,FK Partizani,2-2,Final
11,30/10/2024,03:00,KF Laçi,Egnatia Rrogozhine,2-0,Final
11,30/10/2024,03:00,KF Tiranë,FK Vllaznia,3-4,Final
11,30/10/2024,03:00,KF Skënderbeu,FK Partizani,0-2,Final
11,31/10/2024,03:00,FC Dinamo City,KF Bylis Ballsh,1-1,Final
11,31/10/2024,03:00,KF Teuta Durrës,AF Elbasani,0-0,Final
12,03/11/2024,03:00,Egnatia Rrogozhine,KF Tiranë,1-0,Final
12,03/11/2024,03:00,FK Vllaznia,KF Skënderbeu,2-0,Final
12,04/11/2024,03:00,KF Bylis Ballsh,KF Laçi,0-0,Final
12,04/11/2024,03:00,FK Partizani,KF Teuta Durrës,1-1,Final
12,04/11/2024,03:00,AF Elbasani,FC Dinamo City,0-5,Final
13,09/11/2024,03:00,Egnatia Rrogozhine,FK Vllaznia,1-1,Final
13,09/11/2024,03:00,FC Dinamo City,FK Partizani,1-2,Final
13,09/11/2024,03:00,KF Teuta Durrës,KF Skënderbeu,1-1,Final
13,10/11/2024,03:00,KF Laçi,AF Elbasani,1-1,Final
13,10/11/2024,03:00,KF Tiranë,KF Bylis Ballsh,4-0,Final
14,23/11/2024,03:00,FK Vllaznia,KF Teuta Durrës,2-1,Final
14,23/11/2024,03:00,KF Skënderbeu,FC Dinamo City,2-2,Final
14,24/11/2024,03:00,KF Bylis Ballsh,Egnatia Rrogozhine,0-2,Final
14,24/11/2024,03:00,FK Partizani,KF Laçi,1-0,Final
14,24/11/2024,03:00,AF Elbasani,KF Tiranë,1-1,Final
15,29/11/2024,03:00,KF Bylis Ballsh,FK Vllaznia,1-0,Final
15,30/11/2024,03:00,KF Laçi,KF Skënderbeu,1-0,Final
15,30/11/2024,03:00,Egnatia Rrogozhine,AF Elbasani,3-1,Final
15,30/11/2024,03:00,FC Dinamo City,KF Teuta Durrës,2-0,Final
15,01/12/2024,03:00,KF Tiranë,FK Partizani,0-0,Final
16,04/12/2024,03:00,KF Teuta Durrës,KF Laçi,1-1,Final
16,04/12/2024,03:00,AF Elbasani,KF Bylis Ballsh,3-1,Final
16,04/12/2024,03:00,FK Vllaznia,FC Dinamo City,2-3,Final
16,05/12/2024,03:00,KF Skënderbeu,KF Tiranë,0-0,Final
16,05/12/2024,03:00,FK Partizani,Egnatia Rrogozhine,1-1,Final
17,08/12/2024,03:00,Egnatia Rrogozhine,KF Skënderbeu,1-0,Final
17,08/12/2024,03:00,KF Laçi,FC Dinamo City,0-0,Final
17,08/12/2024,03:00,AF Elbasani,FK Vllaznia,1-2,Final
17,09/12/2024,03:00,KF Bylis Ballsh,FK Partizani,2-1,Final
17,09/12/2024,03:00,KF Tiranë,KF Teuta Durrës,0-0,Final
18,14/12/2024,03:00,FK Vllaznia,KF Laçi,2-1,Final
18,14/12/2024,03:00,FC Dinamo City,KF Tiranë,2-1,Final
18,14/12/2024,03:00,FK Partizani,AF Elbasani,2-2,Final
18,15/12/2024,03:00,KF Teuta Durrës,Egnatia Rrogozhine,2-1,Final
18,15/12/2024,03:00,KF Skënderbeu,KF Bylis Ballsh,2-2,Final
19,20/12/2024,03:00,KF Skënderbeu,AF Elbasani,0-2,Final
19,20/12/2024,03:00,FK Partizani,FK Vllaznia,2-0,Final
19,21/12/2024,03:00,KF Laçi,KF Tiranë,3-1,Final
19,21/12/2024,03:00,FC Dinamo City,Egnatia Rrogozhine,2-1,Final
19,22/12/2024,03:00,KF Teuta Durrës,KF Bylis Ballsh,0-0,Final
20,10/01/2025,03:00,Egnatia Rrogozhine,KF Laçi,1-0,Final
20,10/01/2025,03:00,KF Bylis Ballsh,FC Dinamo City,2-1,Final
20,10/01/2025,03:00,FK Vllaznia,KF Tiranë,2-1,Final
20,11/01/2025,03:00,FK Partizani,KF Skënderbeu,1-1,Final
20,11/01/2025,03:00,AF Elbasani,KF Teuta Durrës,3-1,Final
21,18/01/2025,03:00,KF Laçi,KF Bylis Ballsh,0-3,Final
21,18/01/2025,03:00,KF Tiranë,Egnatia Rrogozhine,0-4,Final
21,19/01/2025,03:00,KF Skënderbeu,FK Vllaznia,0-4,Final
21,19/01/2025,03:00,KF Teuta Durrës,FK Partizani,0-2,Final
21,19/01/2025,03:00,FC Dinamo City,AF Elbasani,3-1,Final
22,25/01/2025,03:00,KF Bylis Ballsh,KF Tiranë,0-3,Final
22,25/01/2025,03:00,FK Partizani,FC Dinamo City,1-1,Final
22,25/01/2025,03:00,KF Skënderbeu,KF Teuta Durrës,2-1,Final
22,26/01/2025,03:00,AF Elbasani,KF Laçi,1-2,Final
22,26/01/2025,03:00,FK Vllaznia,Egnatia Rrogozhine,0-2,Final
23,31/01/2025,03:00,Egnatia Rrogozhine,KF Bylis Ballsh,2-1,Final
23,31/01/2025,03:00,KF Teuta Durrës,FK Vllaznia,1-3,Final
23,01/02/2025,03:00,KF Laçi,FK Partizani,0-0,Final
23,01/02/2025,03:00,FC Dinamo City,KF Skënderbeu,1-1,Final
23,01/02/2025,03:00,KF Tiranë,AF Elbasani,1-1,Final
24,09/02/2025,03:00,FK Partizani,KF Tiranë,1-1,Final
24,09/02/2025,03:00,AF Elbasani,Egnatia Rrogozhine,1-2,Final
24,09/02/2025,03:00,FK Vllaznia,KF Bylis Ballsh,3-0,Final
24,10/02/2025,03:00,KF Skënderbeu,KF Laçi,0-2,Final
24,10/02/2025,03:00,KF Teuta Durrës,FC Dinamo City,0-0,Final
25,15/02/2025,03:00,Egnatia Rrogozhine,FK Partizani,2-0,Final
25,15/02/2025,03:00,KF Bylis Ballsh,AF Elbasani,1-1,Final
25,15/02/2025,03:00,FC Dinamo City,FK Vllaznia,0-0,Final
25,16/02/2025,03:00,KF Laçi,KF Teuta Durrës,3-0,Final
25,16/02/2025,03:00,KF Tiranë,KF Skënderbeu,1-0,Final
26,21/02/2025,03:00,FC Dinamo City,KF Laçi,2-0,Final
26,21/02/2025,03:00,FK Partizani,KF Bylis Ballsh,2-3,Final
26,21/02/2025,03:00,FK Vllaznia,AF Elbasani,1-1,Final
26,22/02/2025,03:00,KF Skënderbeu,Egnatia Rrogozhine,1-0,Final
26,22/02/2025,03:00,KF Teuta Durrës,KF Tiranë,2-1,Final
27,01/03/2025,03:00,KF Laçi,FK Vllaznia,2-2,Final
27,01/03/2025,03:00,AF Elbasani,FK Partizani,2-0,Final
27,02/03/2025,03:00,KF Bylis Ballsh,KF Skënderbeu,0-3,Final
27,02/03/2025,03:00,KF Tiranë,FC Dinamo City,1-4,Final
27,02/03/2025,03:00,Egnatia Rrogozhine,KF Teuta Durrës,1-1,Final
28,05/03/2025,03:00,FK Vllaznia,FK Partizani,2-0,Final
28,05/03/2025,03:00,Egnatia Rrogozhine,FC Dinamo City,2-0,Final
28,06/03/2025,03:00,KF Bylis Ballsh,KF Teuta Durrës,1-0,Final
28,06/03/2025,03:00,AF Elbasani,KF Skënderbeu,0-0,Final
28,06/03/2025,03:00,KF Tiranë,KF Laçi,4-1,Final
29,10/03/2025,03:00,KF Skënderbeu,FK Partizani,1-2,Final
29,10/03/2025,03:00,FC Dinamo City,KF Bylis Ballsh,3-1,Final
29,11/03/2025,03:00,KF Laçi,Egnatia Rrogozhine,1-1,Final
29,11/03/2025,03:00,KF Teuta Durrës,AF Elbasani,0-0,Final
29,11/03/2025,03:00,KF Tiranë,FK Vllaznia,0-0,Final
30,15/03/2025,03:00,FK Vllaznia,KF Skënderbeu,1-2,Final
30,15/03/2025,03:00,Egnatia Rrogozhine,KF Tiranë,1-1,Final
