matchday,date,time,home_team,away_team,result,status
1,13/08/2024,13:30,Carlisle,Stoke City,0-2,Final
1,13/08/2024,13:30,Leyton Orient,Newport County,4-1,Final
1,13/08/2024,13:30,Stockport County,Blackburn,1-6,Final
1,13/08/2024,13:45,Huddersfield,Morecambe,3-0,Final
1,13/08/2024,13:45,Watford,Milton Keynes Dons,5-0,Final
2,13/08/2024,13:45,Cardiff,Bristol Rovers,2-0,Final
2,13/08/2024,13:45,Bristol City,Coventry,0-1,Final
2,13/08/2024,13:45,Preston,Sunderland,2-0,Final
2,13/08/2024,13:45,Wigan,Barnsley,1-1,Final
2,13/08/2024,13:45,Bolton,Mansfield Town,1-1,Final
3,13/08/2024,13:45,Derby,Chesterfield,2-1,Final
3,13/08/2024,13:45,Norwich,Stevenage,4-3,Final
3,13/08/2024,13:45,Rotherham,Crewe,2-1,Final
3,13/08/2024,13:45,Swansea,Gillingham,3-1,Final
3,13/08/2024,13:45,Burton Albion,Blackpool,0-4,Final
4,13/08/2024,13:45,Charlton,Birmingham,0-1,Final
4,13/08/2024,13:45,Fleetwood Town,West Brom,2-1,Final
4,13/08/2024,13:45,Northampton,Wycombe,0-2,Final
4,13/08/2024,13:45,Oxford United,Peterborough,2-0,Final
4,13/08/2024,13:45,Walsall,Exeter City,1-1,Final
5,13/08/2024,13:45,Shrewsbury,Notts County,3-3,Final
5,13/08/2024,13:45,Portsmouth,Millwall,0-1,Final
5,13/08/2024,13:45,Colchester,Reading,2-2,Final
5,13/08/2024,13:45,Crawley Town,Swindon Town,4-2,Final
5,13/08/2024,13:45,Grimsby,Bradford,1-1,Final
6,13/08/2024,13:45,Cambridge United,QPR,1-2,Final
6,13/08/2024,13:45,Lincoln,Harrogate Town,1-2,Final
6,13/08/2024,13:45,Tranmere,Accrington ST,3-0,Final
6,13/08/2024,13:45,Barrow,Port Vale,3-2,Final
6,13/08/2024,13:45,Bromley,AFC Wimbledon,1-2,Final
7,13/08/2024,13:45,Salford City,Doncaster,0-2,Final
7,13/08/2024,14:00,Sheffield Utd,Wrexham,4-2,Final
7,14/08/2024,13:45,Hull City,Sheffield Wednesday,1-2,Final
7,14/08/2024,13:45,Plymouth,Cheltenham,3-0,Final
7,14/08/2024,14:00,Leeds,Middlesbrough,0-3,Final
8,27/08/2024,13:15,Middlesbrough,Stoke City,0-5,Final
8,27/08/2024,13:45,Watford,Plymouth,2-0,Final
8,27/08/2024,13:45,Everton,Doncaster,3-0,Final
8,27/08/2024,13:45,Leicester,Tranmere,4-0,Final
8,27/08/2024,13:45,Brighton,Crawley Town,4-0,Final
9,27/08/2024,13:45,Millwall,Leyton Orient,0-1,Final
