matchday,date,time,home_team,away_team,result,status
1,09/08/2024,03:00,Chesterfield FC,Swindon Town,1-1,Final
1,10/08/2024,03:00,Barrow AFC,Crewe Alexandra,1-0,Final
1,10/08/2024,03:00,AFC Wimbledon,Colchester United,4-2,Final
1,10/08/2024,03:00,Cheltenham Town,Newport County,3-2,Final
1,10/08/2024,03:00,Doncaster Rovers,Accrington Stanley,4-1,Final
1,10/08/2024,03:00,Gillingham FC,Carlisle United,4-1,Final
1,10/08/2024,03:00,Fleetwood Town,Grimsby Town,1-0,Final
1,10/08/2024,03:00,Harrogate Town,Bromley FC,0-2,Final
1,10/08/2024,03:00,Milton Keynes Dons,Bradford City,1-2,Final
1,10/08/2024,03:00,Salford City,Port Vale FC,0-2,Final
1,10/08/2024,03:00,Tranmere Rovers,Notts County,0-0,Final
1,10/08/2024,03:00,Walsall FC,Morecambe FC,1-0,Final
2,17/08/2024,03:00,Bromley FC,AFC Wimbledon,2-0,Final
2,17/08/2024,03:00,Carlisle United,Barrow AFC,1-0,Final
2,17/08/2024,03:00,Accrington Stanley,Harrogate Town,3-3,Final
2,17/08/2024,03:00,Bradford City,Salford City,0-0,Final
2,17/08/2024,03:00,Colchester United,Milton Keynes Dons,2-0,Final
2,17/08/2024,03:00,Crewe Alexandra,Chesterfield FC,0-5,Final
2,17/08/2024,03:00,Morecambe FC,Gillingham FC,0-1,Final
2,17/08/2024,03:00,Grimsby Town,Cheltenham Town,3-2,Final
2,17/08/2024,03:00,Newport County,Doncaster Rovers,3-1,Final
2,17/08/2024,03:00,Port Vale FC,Tranmere Rovers,0-0,Final
2,17/08/2024,03:00,Swindon Town,Walsall FC,0-4,Final
2,18/08/2024,03:00,Notts County,Fleetwood Town,2-2,Final
3,22/08/2024,03:00,Notts County,Grimsby Town,4-1,Final
3,24/08/2024,03:00,Crewe Alexandra,Swindon Town,0-0,Final
3,24/08/2024,03:00,Tranmere Rovers,Walsall FC,1-0,Final
3,24/08/2024,03:00,Barrow AFC,Port Vale FC,4-0,Final
3,24/08/2024,03:00,Bradford City,Bromley FC,3-1,Final
3,24/08/2024,03:00,Cheltenham Town,AFC Wimbledon,0-1,Final
3,24/08/2024,03:00,Colchester United,Harrogate Town,0-1,Final
3,24/08/2024,03:00,Doncaster Rovers,Morecambe FC,1-0,Final
3,24/08/2024,03:00,Chesterfield FC,Salford City,1-1,Final
3,24/08/2024,03:00,Fleetwood Town,Gillingham FC,0-0,Final
3,24/08/2024,03:00,Milton Keynes Dons,Carlisle United,3-0,Final
3,24/08/2024,03:00,Newport County,Accrington Stanley,3-1,Final
4,31/08/2024,03:00,Gillingham FC,Chesterfield FC,1-0,Final
4,31/08/2024,03:00,Port Vale FC,Doncaster Rovers,2-3,Final
4,31/08/2024,03:00,Accrington Stanley,Colchester United,1-1,Final
4,31/08/2024,03:00,AFC Wimbledon,Fleetwood Town,1-0,Final
4,31/08/2024,03:00,Bromley FC,Crewe Alexandra,1-2,Final
4,31/08/2024,03:00,Carlisle United,Tranmere Rovers,1-2,Final
4,31/08/2024,03:00,Morecambe FC,Newport County,0-1,Final
4,31/08/2024,03:00,Grimsby Town,Bradford City,2-1,Final
4,31/08/2024,03:00,Harrogate Town,Barrow AFC,0-1,Final
4,31/08/2024,03:00,Swindon Town,Notts County,1-2,Final
4,31/08/2024,03:00,Walsall FC,Cheltenham Town,2-1,Final
4,02/09/2024,03:00,Salford City,Milton Keynes Dons,1-0,Final
5,07/09/2024,03:00,Barrow AFC,Swindon Town,1-1,Final
5,07/09/2024,03:00,Bradford City,Carlisle United,2-1,Final
5,07/09/2024,03:00,Cheltenham Town,Harrogate Town,1-0,Final
5,07/09/2024,03:00,Colchester United,Bromley FC,1-1,Final
5,07/09/2024,03:00,Crewe Alexandra,Morecambe FC,1-0,Final
5,07/09/2024,03:00,Doncaster Rovers,Gillingham FC,1-0,Final
5,07/09/2024,03:00,Chesterfield FC,Grimsby Town,2-1,Final
5,07/09/2024,03:00,Milton Keynes Dons,Walsall FC,1-0,Final
5,07/09/2024,03:00,Newport County,Port Vale FC,1-4,Final
5,07/09/2024,03:00,Notts County,Accrington Stanley,2-0,Final
5,29/10/2024,03:00,Fleetwood Town,Salford City,2-2,Final
5,26/11/2024,03:00,Tranmere Rovers,AFC Wimbledon,0-2,Final
6,12/09/2024,03:00,Harrogate Town,Doncaster Rovers,2-0,Final
6,14/09/2024,03:00,AFC Wimbledon,Milton Keynes Dons,3-0,Final
6,14/09/2024,03:00,Swindon Town,Newport County,4-0,Final
6,14/09/2024,03:00,Accrington Stanley,Crewe Alexandra,0-1,Final
6,14/09/2024,03:00,Bromley FC,Notts County,2-4,Final
6,14/09/2024,03:00,Carlisle United,Fleetwood Town,2-3,Final
6,14/09/2024,03:00,Gillingham FC,Tranmere Rovers,3-0,Final
6,14/09/2024,03:00,Morecambe FC,Colchester United,3-3,Final
6,14/09/2024,03:00,Grimsby Town,Barrow AFC,1-2,Final
6,14/09/2024,03:00,Port Vale FC,Chesterfield FC,1-0,Final
6,14/09/2024,03:00,Salford City,Cheltenham Town,2-1,Final
6,14/09/2024,03:00,Walsall FC,Bradford City,2-1,Final
7,21/09/2024,03:00,Accrington Stanley,Port Vale FC,2-2,Final
7,21/09/2024,03:00,Chesterfield FC,Cheltenham Town,1-1,Final
7,21/09/2024,03:00,Barrow AFC,Newport County,2-0,Final
7,21/09/2024,03:00,Bradford City,AFC Wimbledon,0-0,Final
7,21/09/2024,03:00,Colchester United,Tranmere Rovers,3-0,Final
7,21/09/2024,03:00,Crewe Alexandra,Harrogate Town,3-0,Final
7,21/09/2024,03:00,Grimsby Town,Bromley FC,1-0,Final
7,21/09/2024,03:00,Milton Keynes Dons,Doncaster Rovers,1-1,Final
7,21/09/2024,03:00,Notts County,Gillingham FC,0-1,Final
7,21/09/2024,03:00,Salford City,Walsall FC,0-2,Final
7,21/09/2024,03:00,Swindon Town,Carlisle United,0-2,Final
7,23/09/2024,03:00,Fleetwood Town,Morecambe FC,2-2,Final
8,27/09/2024,03:00,Tranmere Rovers,Salford City,0-0,Final
8,28/09/2024,03:00,Harrogate Town,Bradford City,2-1,Final
8,28/09/2024,03:00,Walsall FC,Colchester United,4-0,Final
8,28/09/2024,03:00,Bromley FC,Milton Keynes Dons,1-1,Final
8,28/09/2024,03:00,Carlisle United,Grimsby Town,2-3,Final
8,28/09/2024,03:00,Cheltenham Town,Fleetwood Town,0-2,Final
8,28/09/2024,03:00,Doncaster Rovers,Chesterfield FC,0-3,Final
8,28/09/2024,03:00,Gillingham FC,Barrow AFC,2-0,Final
8,28/09/2024,03:00,Morecambe FC,Notts County,1-1,Final
8,28/09/2024,03:00,Newport County,Crewe Alexandra,2-1,Final
8,28/09/2024,03:00,Port Vale FC,Swindon Town,2-1,Final
8,19/11/2024,03:00,AFC Wimbledon,Accrington Stanley,2-2,Final
9,01/10/2024,03:00,Bromley FC,Chesterfield FC,2-2,Final
9,01/10/2024,03:00,Carlisle United,Notts County,0-2,Final
9,01/10/2024,03:00,Cheltenham Town,Accrington Stanley,2-1,Final
9,01/10/2024,03:00,Doncaster Rovers,Barrow AFC,1-0,Final
9,01/10/2024,03:00,Gillingham FC,Grimsby Town,0-1,Final
9,01/10/2024,03:00,Morecambe FC,Bradford City,1-1,Final
9,01/10/2024,03:00,Harrogate Town,Milton Keynes Dons,1-5,Final
9,01/10/2024,03:00,Newport County,Salford City,3-1,Final
9,01/10/2024,03:00,Port Vale FC,Colchester United,1-1,Final
9,01/10/2024,03:00,Tranmere Rovers,Swindon Town,1-1,Final
9,01/10/2024,03:00,Walsall FC,Fleetwood Town,2-6,Final
