Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
12/07/2025,1,Llaneros FC,América de Cali,0-0
12/07/2025,1,Once Caldas,Atlético Nacional,1-3
12/07/2025,1,Deportivo Pasto,Deportes Tolima,3-2
12/07/2025,1,Envigado FC,Fortaleza FC,0-1
13/07/2025,1,Atlético Bucaramanga,Boyacá Chicó,1-1
13/07/2025,1,Deportivo Cali,Atlético Junior,0-2
13/07/2025,1,Independiente Medellín,Alianza FC,1-1
14/07/2025,1,Deportivo Pereira,Santa Fe,2-2
14/07/2025,1,Internacional de Bogotá,Águilas Doradas,0-0
21/08/2025,1,Millonarios,Unión Magdalena,1-2
19/07/2025,2,Unión Magdalena,Llaneros FC,0-0
19/07/2025,2,Deportes Tolima,Santa Fe,0-1
19/07/2025,2,Águilas Doradas,Atlético Junior,2-3
19/07/2025,2,Alianza FC,Deportivo Pereira,1-0
20/07/2025,2,Atlético Nacional,Internacional de Bogotá,3-1
20/07/2025,2,Boyacá Chicó,Independiente Medellín,2-0
20/07/2025,2,Envigado FC,Deportivo Cali,0-0
21/07/2025,2,Fortaleza FC,Once Caldas,2-1
11/09/2025,2,Millonarios,Deportivo Pasto,1-0
17/09/2025,2,América de Cali,Atlético Bucaramanga,0-0
22/07/2025,3,Alianza FC,Deportes Tolima,0-1
23/07/2025,3,Santa Fe,Águilas Doradas,0-0
23/07/2025,3,Deportivo Pereira,Atlético Nacional,2-1
23/07/2025,3,Llaneros FC,Boyacá Chicó,2-1
24/07/2025,3,Atlético Junior,Unión Magdalena,4-1
24/07/2025,3,Internacional de Bogotá,Millonarios,1-0
25/07/2025,3,Independiente Medellín,Envigado FC,3-4
25/07/2025,3,Deportivo Cali,Fortaleza FC,1-1
10/09/2025,3,Atlético Bucaramanga,Once Caldas,0-0
25/09/2025,3,Deportivo Pasto,América de Cali,0-2
26/07/2025,4,Deportes Tolima,Deportivo Pereira,1-0
26/07/2025,4,Atlético Nacional,Santa Fe,1-1
26/07/2025,4,Boyacá Chicó,Deportivo Pasto,2-2
27/07/2025,4,Once Caldas,Atlético Junior,2-2
27/07/2025,4,América de Cali,Águilas Doradas,2-1
27/07/2025,4,Envigado FC,Internacional de Bogotá,1-1
28/07/2025,4,Unión Magdalena,Independiente Medellín,0-2
28/07/2025,4,Fortaleza FC,Alianza FC,2-2
29/07/2025,4,Atlético Bucaramanga,Deportivo Cali,2-3
