matchday,date,time,home_team,away_team,result,status
1,19/09/2024,03:00,ES Sétif,MC El Bayadh,1-0,Final
1,20/09/2024,03:00,Olympique Akbou,NC Magra,1-0,Final
1,21/09/2024,03:00,Paradou AC,ASO Chlef,2-0,Final
1,24/09/2024,03:00,MC Oran,JS Saoura,2-0,Final
1,01/10/2024,03:00,JS Kabylie,MC Alger,1-2,Final
1,02/10/2024,03:00,CS Constantine,ES Mostaganem,0-0,Final
1,02/10/2024,03:00,USM Khenchela,CR Bélouizdad,0-0,Final
1,02/10/2024,03:00,USM Alger,US Biskra,2-1,Final
2,27/09/2024,03:00,MC El Bayadh,US Biskra,0-1,Final
2,27/09/2024,03:00,CR Bélouizdad,ES Sétif,0-0,Final
2,27/09/2024,03:00,MC Alger,Paradou AC,1-1,Final
2,27/09/2024,03:00,JS Kabylie,Olympique Akbou,2-1,Final
2,27/09/2024,03:00,ASO Chlef,CS Constantine,0-0,Final
2,28/09/2024,03:00,NC Magra,USM Alger,0-0,Final
2,28/09/2024,03:00,JS Saoura,USM Khenchela,1-1,Final
2,28/09/2024,03:00,ES Mostaganem,MC Oran,2-1,Final
3,04/10/2024,03:00,Olympique Akbou,JS Saoura,2-1,Final
3,04/10/2024,03:00,ES Sétif,NC Magra,0-0,Final
3,04/10/2024,03:00,MC Oran,ASO Chlef,0-0,Final
3,06/10/2024,03:00,Paradou AC,JS Kabylie,0-3,Final
3,06/10/2024,03:00,CS Constantine,MC Alger,1-1,Final
3,06/10/2024,03:00,USM Khenchela,ES Mostaganem,2-0,Final
3,06/10/2024,03:00,US Biskra,CR Bélouizdad,0-0,Final
3,06/10/2024,03:00,USM Alger,MC El Bayadh,1-0,Final
4,11/10/2024,03:00,Paradou AC,Olympique Akbou,1-3,Final
4,11/10/2024,03:00,JS Saoura,ES Sétif,3-2,Final
4,11/10/2024,03:00,MC Alger,MC Oran,1-0,Final
4,12/10/2024,03:00,NC Magra,US Biskra,2-2,Final
4,12/10/2024,03:00,JS Kabylie,CS Constantine,2-3,Final
4,12/10/2024,03:00,CR Bélouizdad,MC El Bayadh,2-3,Final
4,22/10/2024,03:00,ASO Chlef,USM Khenchela,1-1,Final
4,22/10/2024,03:00,ES Mostaganem,USM Alger,0-1,Final
5,18/10/2024,03:00,Olympique Akbou,ASO Chlef,0-0,Final
5,18/10/2024,03:00,USM Khenchela,MC Alger,0-1,Final
5,18/10/2024,03:00,ES Sétif,ES Mostaganem,1-0,Final
5,18/10/2024,03:00,USM Alger,CR Bélouizdad,0-0,Final
5,19/10/2024,03:00,MC El Bayadh,NC Magra,4-0,Final
5,19/10/2024,03:00,CS Constantine,Paradou AC,2-1,Final
5,19/10/2024,03:00,US Biskra,JS Saoura,2-1,Final
5,19/10/2024,03:00,MC Oran,JS Kabylie,2-0,Final
6,24/10/2024,03:00,MC Alger,Olympique Akbou,0-0,Final
6,25/10/2024,03:00,NC Magra,CR Bélouizdad,1-0,Final
6,25/10/2024,03:00,CS Constantine,ES Sétif,2-1,Final
6,25/10/2024,03:00,JS Saoura,MC El Bayadh,1-0,Final
6,25/10/2024,03:00,Paradou AC,MC Oran,2-2,Final
6,26/10/2024,03:00,ASO Chlef,USM Alger,0-0,Final
6,26/10/2024,03:00,JS Kabylie,USM Khenchela,1-0,Final
6,26/10/2024,03:00,ES Mostaganem,US Biskra,1-0,Final
7,02/11/2024,03:00,MC El Bayadh,Paradou AC,1-1,Final
7,02/11/2024,03:00,USM Khenchela,NC Magra,1-0,Final
7,02/11/2024,03:00,MC Oran,CS Constantine,1-0,Final
7,02/11/2024,03:00,ES Sétif,ASO Chlef,1-0,Final
7,03/11/2024,03:00,US Biskra,JS Kabylie,0-1,Final
7,03/11/2024,03:00,Olympique Akbou,ES Mostaganem,1-2,Final
7,17/12/2024,03:00,CR Bélouizdad,JS Saoura,3-0,Final
7,24/01/2025,03:00,USM Alger,MC Alger,0-3,Final
8,07/11/2024,03:00,MC Oran,ES Sétif,1-0,Final
8,08/11/2024,03:00,ASO Chlef,MC El Bayadh,2-0,Final
8,08/11/2024,03:00,Paradou AC,USM Khenchela,4-0,Final
8,08/11/2024,03:00,CS Constantine,Olympique Akbou,2-1,Final
8,09/11/2024,03:00,JS Saoura,NC Magra,1-0,Final
8,09/11/2024,03:00,JS Kabylie,USM Alger,0-0,Final
8,09/11/2024,03:00,MC Alger,US Biskra,0-0,Final
8,09/11/2024,03:00,ES Mostaganem,CR Bélouizdad,0-2,Final
9,15/11/2024,03:00,MC El Bayadh,MC Alger,0-1,Final
9,15/11/2024,03:00,Olympique Akbou,MC Oran,3-1,Final
9,15/11/2024,03:00,USM Khenchela,CS Constantine,1-0,Final
9,16/11/2024,03:00,NC Magra,ES Mostaganem,1-0,Final
9,16/11/2024,03:00,US Biskra,ASO Chlef,1-2,Final
9,16/11/2024,03:00,USM Alger,JS Saoura,2-0,Final
9,17/12/2024,03:00,ES Sétif,Paradou AC,1-2,Final
9,21/01/2025,03:00,CR Bélouizdad,JS Kabylie,1-1,Final
10,20/11/2024,03:00,MC Alger,CR Bélouizdad,1-3,Final
10,21/11/2024,03:00,CS Constantine,USM Alger,1-0,Final
10,22/11/2024,03:00,MC Oran,USM Khenchela,0-0,Final
10,23/11/2024,03:00,Olympique Akbou,ES Sétif,0-1,Final
10,23/11/2024,03:00,ASO Chlef,NC Magra,2-2,Final
10,23/11/2024,03:00,ES Mostaganem,JS Saoura,1-1,Final
10,17/12/2024,03:00,JS Kabylie,MC El Bayadh,3-0,Final
10,01/01/2025,03:00,Paradou AC,US Biskra,2-1,Final
11,30/11/2024,03:00,MC El Bayadh,ES Mostaganem,1-1,Final
11,30/11/2024,03:00,NC Magra,MC Oran,2-1,Final
11,30/11/2024,03:00,USM Khenchela,Olympique Akbou,1-0,Final
11,01/12/2024,03:00,ES Sétif,MC Alger,0-0,Final
11,01/12/2024,03:00,CR Bélouizdad,ASO Chlef,2-0,Final
11,02/12/2024,03:00,JS Saoura,JS Kabylie,1-1,Final
11,02/12/2024,03:00,US Biskra,CS Constantine,1-1,Final
11,28/01/2025,03:00,USM Alger,Paradou AC,1-1,Final
12,07/12/2024,03:00,USM Khenchela,ES Sétif,2-3,Final
12,07/12/2024,03:00,ASO Chlef,ES Mostaganem,2-0,Final
12,08/12/2024,03:00,JS Kabylie,NC Magra,2-1,Final
12,08/12/2024,03:00,MC Oran,US Biskra,1-0,Final
12,25/01/2025,03:00,CS Constantine,MC El Bayadh,0-1,Final
12,25/01/2025,03:00,Paradou AC,CR Bélouizdad,1-2,Final
12,29/01/2025,03:00,MC Alger,JS Saoura,1-0,Final
12,01/02/2025,03:00,Olympique Akbou,USM Alger,0-0,Final
13,13/12/2024,03:00,MC El Bayadh,MC Oran,1-0,Final
13,13/12/2024,03:00,NC Magra,Paradou AC,1-1,Final
