Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
13/07/2025,1,Tigres FC,Real Santander,2-0
13/07/2025,1,Cúcuta Deportivo,Patriotas FC,2-0
14/07/2025,1,Barranquilla FC,Atlético FC,1-2
14/07/2025,1,Boca Juniors de Cali,Leones FC,1-1
15/07/2025,1,Atlético Huila,Deportes Quindío,2-1
15/07/2025,1,Real Cartagena,Internacional de Palmira,0-0
16/07/2025,1,Orsomarso SC,Bogotá FC,1-1
16/07/2025,1,Real Soacha Cundinamarca,Jaguares de Córdoba,0-1
18/07/2025,2,Atlético FC,Tigres FC,1-1
19/07/2025,2,Deportes Quindío,Boca Juniors de Cali,2-2
19/07/2025,2,Real Santander,Barranquilla FC,2-0
20/07/2025,2,Leones FC,Orsomarso SC,0-1
21/07/2025,2,Jaguares de Córdoba,Atlético Huila,3-0
21/07/2025,2,Bogotá FC,Real Cartagena,0-3
22/07/2025,2,Patriotas FC,Real Soacha Cundinamarca,2-1
22/07/2025,2,Internacional de Palmira,Cúcuta Deportivo,0-2
25/07/2025,3,Boca Juniors de Cali,Internacional de Palmira,2-0
26/07/2025,3,Atlético Huila,Tigres FC,1-0
26/07/2025,3,Real Soacha Cundinamarca,Real Santander,2-0
27/07/2025,3,Barranquilla FC,Patriotas FC,3-1
27/07/2025,3,Orsomarso SC,Jaguares de Córdoba,1-0
27/07/2025,3,Bogotá FC,Atlético FC,2-0
13/08/2025,3,Cúcuta Deportivo,Deportes Quindío,2-2
19/08/2025,3,Real Cartagena,Leones FC,4-0
01/08/2025,4,Internacional de Palmira,Deportes Quindío,2-1
02/08/2025,4,Tigres FC,Orsomarso SC,2-0
02/08/2025,4,Cúcuta Deportivo,Atlético Huila,0-0
03/08/2025,4,Patriotas FC,Boca Juniors de Cali,1-0
04/08/2025,4,Atlético FC,Jaguares de Córdoba,0-1
04/08/2025,4,Real Santander,Bogotá FC,4-0
05/08/2025,4,Leones FC,Barranquilla FC,2-2
05/08/2025,4,Real Cartagena,Real Soacha Cundinamarca,0-0
08/08/2025,5,Boca Juniors de Cali,Real Cartagena,2-2
09/08/2025,5,Real Soacha Cundinamarca,Cúcuta Deportivo,1-1
09/08/2025,5,Deportes Quindío,Barranquilla FC,1-1
11/08/2025,5,Bogotá FC,Internacional de Palmira,2-2
11/08/2025,5,Leones FC,Tigres FC,1-1
12/08/2025,5,Jaguares de Córdoba,Real Santander,1-0
12/08/2025,5,Atlético Huila,Atlético FC,3-3
13/08/2025,5,Orsomarso SC,Patriotas FC,2-2
15/08/2025,6,Real Santander,Real Cartagena,2-0
16/08/2025,6,Tigres FC,Jaguares de Córdoba,1-2
17/08/2025,6,Cúcuta Deportivo,Boca Juniors de Cali,1-0
18/08/2025,6,Patriotas FC,Deportes Quindío,2-0
19/08/2025,6,Atlético Huila,Bogotá FC,1-0
19/08/2025,6,Atlético FC,Real Soacha Cundinamarca,2-3
20/08/2025,6,Barranquilla FC,Orsomarso SC,0-2
11/09/2025,6,Internacional de Palmira,Leones FC,1-0
22/08/2025,7,Boca Juniors de Cali,Real Soacha Cundinamarca,0-1
23/08/2025,7,Real Cartagena,Tigres FC,4-0
23/08/2025,7,Deportes Quindío,Atlético FC,2-1
24/08/2025,7,Jaguares de Córdoba,Barranquilla FC,2-1
25/08/2025,7,Orsomarso SC,Atlético Huila,0-1
25/08/2025,7,Leones FC,Real Santander,1-1
26/08/2025,7,Internacional de Palmira,Patriotas FC,1-0
27/08/2025,7,Bogotá FC,Cúcuta Deportivo,2-1
29/08/2025,8,Real Santander,Boca Juniors de Cali,2-2
30/08/2025,8,Real Soacha Cundinamarca,Leones FC,3-0
30/08/2025,8,Atlético FC,Orsomarso SC,1-0
31/08/2025,8,Patriotas FC,Bogotá FC,1-1
31/08/2025,8,Jaguares de Córdoba,Deportes Quindío,2-0
01/09/2025,8,Tigres FC,Cúcuta Deportivo,0-0
02/09/2025,8,Barranquilla FC,Internacional de Palmira,1-4
02/09/2025,8,Atlético Huila,Real Cartagena,0-1
05/09/2025,9,Leones FC,Jaguares de Córdoba,0-1
06/09/2025,9,Bogotá FC,Tigres FC,1-0
07/09/2025,9,Internacional de Palmira,Orsomarso SC,1-1
07/09/2025,9,Cúcuta Deportivo,Real Santander,2-1
08/09/2025,9,Real Cartagena,Barranquilla FC,0-0
08/09/2025,9,Boca Juniors de Cali,Atlético FC,1-2
09/09/2025,9,Real Soacha Cundinamarca,Patriotas FC,0-1
09/09/2025,9,Deportes Quindío,Atlético Huila,1-1
13/09/2025,10,Tigres FC,Real Soacha Cundinamarca,0-2
14/09/2025,10,Atlético FC,Internacional de Palmira,4-2
14/09/2025,10,Jaguares de Córdoba,Bogotá FC,2-0
15/09/2025,10,Orsomarso SC,Real Santander,1-0
15/09/2025,10,Deportes Quindío,Leones FC,2-0
16/09/2025,10,Barranquilla FC,Cúcuta Deportivo,1-2
16/09/2025,10,Patriotas FC,Real Cartagena,3-1
16/09/2025,10,Atlético Huila,Boca Juniors de Cali,0-1
19/09/2025,11,Real Soacha Cundinamarca,Deportes Quindío,3-1
21/09/2025,11,Leones FC,Patriotas FC,0-1
21/09/2025,11,Bogotá FC,Barranquilla FC,1-0
21/09/2025,11,Cúcuta Deportivo,Jaguares de Córdoba,1-2
22/09/2025,11,Real Cartagena,Orsomarso SC,3-1
22/09/2025,11,Real Santander,Atlético FC,4-0
23/09/2025,11,Boca Juniors de Cali,Tigres FC,0-1
