Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
22/08/2024,1,Al Taawoun,Al Fayha,1-0
22/08/2024,1,Al Wehda,Al Riyadh,3-3
22/08/2024,1,Al Nassr,Al Ra’ed,1-1
23/08/2024,1,Damac FC,Al Khaleej,0-1
23/08/2024,1,Al Ahli SFC,Al Orobah,2-0
23/08/2024,1,Al Qadsiah,Al Fateh,3-0
24/08/2024,1,Al Kholood,Al Ittihad,0-1
24/08/2024,1,Al Okhdood,Al Hilal,0-3
24/08/2024,1,Al Shabab,Al Ettifaq,0-1
27/08/2024,2,Al Fateh,Al Ahli SFC,1-0
27/08/2024,2,Al Ra’ed,Al Qadsiah,0-1
27/08/2024,2,Al Fayha,Al Nassr,1-4
28/08/2024,2,Al Ettifaq,Al Okhdood,1-0
28/08/2024,2,Al Hilal,Damac FC,3-2
28/08/2024,2,Al Wehda,Al Orobah,2-1
29/08/2024,2,Al Riyadh,Al Kholood,3-1
29/08/2024,2,Al Khaleej,Al Shabab,0-1
29/08/2024,2,Al Ittihad,Al Taawoun,2-1
13/09/2024,3,Al Taawoun,Al Khaleej,2-0
13/09/2024,3,Damac FC,Al Okhdood,3-1
13/09/2024,3,Al Nassr,Al Ahli SFC,1-1
14/09/2024,3,Al Fateh,Al Ettifaq,1-2
14/09/2024,3,Al Fayha,Al Ra’ed,0-5
14/09/2024,3,Al Riyadh,Al Hilal,0-3
15/09/2024,3,Al Qadsiah,Al Shabab,0-1
15/09/2024,3,Al Kholood,Al Orobah,3-3
15/09/2024,3,Al Ittihad,Al Wehda,7-1
19/09/2024,4,Al Okhdood,Al Qadsiah,0-0
19/09/2024,4,Al Orobah,Al Fateh,1-0
19/09/2024,4,Al Wehda,Al Kholood,0-1
20/09/2024,4,Al Khaleej,Al Fayha,0-0
20/09/2024,4,Al Ahli SFC,Damac FC,4-2
20/09/2024,4,Al Ettifaq,Al Nassr,0-3
21/09/2024,4,Al Shabab,Al Taawoun,1-0
21/09/2024,4,Al Ra’ed,Al Riyadh,1-2
21/09/2024,4,Al Hilal,Al Ittihad,3-1
27/09/2024,5,Al Nassr,Al Wehda,2-0
27/09/2024,5,Al Qadsiah,Al Ahli SFC,1-0
27/09/2024,5,Al Ittihad,Al Khaleej,4-1
28/09/2024,5,Al Fateh,Al Okhdood,2-4
28/09/2024,5,Al Orobah,Damac FC,1-0
28/09/2024,5,Al Kholood,Al Hilal,2-4
29/09/2024,5,Al Fayha,Al Riyadh,2-0
29/09/2024,5,Al Taawoun,Al Ettifaq,1-1
29/09/2024,5,Al Shabab,Al Ra’ed,2-1
03/10/2024,6,Al Ettifaq,Al Ra’ed,0-1
03/10/2024,6,Al Okhdood,Al Ittihad,1-2
03/10/2024,6,Al Wehda,Al Fayha,2-2
04/10/2024,6,Al Khaleej,Al Kholood,1-0
04/10/2024,6,Al Riyadh,Al Qadsiah,2-1
04/10/2024,6,Damac FC,Al Shabab,1-0
05/10/2024,6,Al Nassr,Al Orobah,3-0
05/10/2024,6,Al Taawoun,Al Fateh,2-0
05/10/2024,6,Al Ahli SFC,Al Hilal,1-2
18/10/2024,7,Al Khaleej,Al Ahli SFC,0-3
18/10/2024,7,Al Hilal,Al Fayha,3-0
18/10/2024,7,Al Shabab,Al Nassr,1-2
19/10/2024,7,Al Ra’ed,Al Wehda,2-2
19/10/2024,7,Damac FC,Al Taawoun,2-2
19/10/2024,7,Al Ittihad,Al Qadsiah,3-1
20/10/2024,7,Al Fateh,Al Kholood,1-1
20/10/2024,7,Al Okhdood,Al Riyadh,0-1
20/10/2024,7,Al Ettifaq,Al Orobah,2-3
24/10/2024,8,Al Orobah,Al Shabab,0-3
24/10/2024,8,Al Riyadh,Al Ittihad,0-1
24/10/2024,8,Al Wehda,Al Khaleej,1-3
25/10/2024,8,Al Qadsiah,Damac FC,2-1
25/10/2024,8,Al Kholood,Al Nassr,3-3
25/10/2024,8,Al Ahli SFC,Al Okhdood,1-1
26/10/2024,8,Al Fayha,Al Ettifaq,1-1
26/10/2024,8,Al Ra’ed,Al Fateh,2-1
26/10/2024,8,Al Hilal,Al Taawoun,2-0
31/10/2024,9,Al Shabab,Al Wehda,3-1
31/10/2024,9,Al Okhdood,Al Orobah,4-0
31/10/2024,9,Al Ittihad,Al Ahli SFC,1-0
01/11/2024,9,Al Khaleej,Al Ra’ed,4-0
01/11/2024,9,Damac FC,Al Riyadh,2-2
01/11/2024,9,Al Nassr,Al Hilal,1-1
02/11/2024,9,Al Fateh,Al Fayha,1-1
