Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
05/04/2025,1,Goiás - GO,Amazonas FC - AM,1-0
05/04/2025,1,Paysandu - PA,Athletico Paranaense,1-2
05/04/2025,1,Criciúma - SC,Operário Ferroviário - PR,1-2
05/04/2025,1,Coritiba - PR,Vila Nova - GO,1-0
05/04/2025,1,CR Brasil - AL,Chapecoense,1-0
05/04/2025,1,América - MG,Botafogo - SP,1-0
07/04/2025,1,Ferroviária - SP,Remo - PA,1-1
07/04/2025,1,Volta Redonda - RJ,Cuiabá - MT,0-1
07/04/2025,1,Avaí - SC,Grêmio Novorizontino - SP,1-1
08/04/2025,1,Atlético Goianiense,Athletic - MG,4-2
11/04/2025,2,Athletico Paranaense,Criciúma - SC,2-1
11/04/2025,2,Cuiabá - MT,Avaí - SC,2-2
12/04/2025,2,Chapecoense,Coritiba - PR,1-2
12/04/2025,2,Vila Nova - GO,Paysandu - PA,1-0
13/04/2025,2,Amazonas FC - AM,Ferroviária - SP,0-0
13/04/2025,2,Grêmio Novorizontino - SP,Volta Redonda - RJ,1-0
13/04/2025,2,Operário Ferroviário - PR,Goiás - GO,1-2
13/04/2025,2,Remo - PA,América - MG,2-0
13/04/2025,2,Athletic - MG,CR Brasil - AL,1-2
14/04/2025,2,Botafogo - SP,Atlético Goianiense,1-1
16/04/2025,3,Cuiabá - MT,Athletico Paranaense,2-1
17/04/2025,3,Paysandu - PA,Chapecoense,0-2
17/04/2025,3,Avaí - SC,Operário Ferroviário - PR,1-0
17/04/2025,3,Coritiba - PR,Grêmio Novorizontino - SP,0-0
18/04/2025,3,Goiás - GO,Vila Nova - GO,2-2
18/04/2025,3,Criciúma - SC,Athletic - MG,4-0
18/04/2025,3,CR Brasil - AL,Volta Redonda - RJ,1-0
18/04/2025,3,Botafogo - SP,Remo - PA,2-2
18/04/2025,3,Ferroviária - SP,Atlético Goianiense,2-0
18/04/2025,3,América - MG,Amazonas FC - AM,3-1
19/04/2025,4,Operário Ferroviário - PR,Paysandu - PA,0-0
20/04/2025,4,Vila Nova - GO,Botafogo - SP,2-0
20/04/2025,4,Chapecoense,Athletic - MG,1-0
21/04/2025,4,Athletico Paranaense,CR Brasil - AL,2-0
21/04/2025,4,América - MG,Goiás - GO,1-0
21/04/2025,4,Amazonas FC - AM,Avaí - SC,0-2
22/04/2025,4,Grêmio Novorizontino - SP,Criciúma - SC,1-1
22/04/2025,4,Remo - PA,Coritiba - PR,1-0
23/04/2025,4,Atlético Goianiense,Cuiabá - MT,1-1
23/04/2025,4,Volta Redonda - RJ,Ferroviária - SP,0-0
25/04/2025,5,Grêmio Novorizontino - SP,Athletico Paranaense,2-1
26/04/2025,5,Criciúma - SC,Remo - PA,1-1
26/04/2025,5,Vila Nova - GO,Chapecoense,1-0
26/04/2025,5,Coritiba - PR,Operário Ferroviário - PR,2-0
27/04/2025,5,Avaí - SC,América - MG,3-0
27/04/2025,5,Athletic - MG,Volta Redonda - RJ,2-1
27/04/2025,5,Amazonas FC - AM,Atlético Goianiense,1-1
27/04/2025,5,Paysandu - PA,CR Brasil - AL,1-1
28/04/2025,5,Cuiabá - MT,Ferroviária - SP,1-0
29/04/2025,5,Botafogo - SP,Goiás - GO,0-1
03/05/2025,6,Ferroviária - SP,Coritiba - PR,2-1
03/05/2025,6,Remo - PA,Amazonas FC - AM,1-0
04/05/2025,6,Volta Redonda - RJ,Paysandu - PA,1-0
04/05/2025,6,Atlético Goianiense,Grêmio Novorizontino - SP,1-0
04/05/2025,6,Athletico Paranaense,Botafogo - SP,1-4
04/05/2025,6,Chapecoense,Criciúma - SC,2-1
05/05/2025,6,Operário Ferroviário - PR,América - MG,1-0
