matchday,date,time,home_team,away_team,result,status
1,09/08/2024,03:00,Galatasaray,Hatayspor,2-1,Final
1,10/08/2024,03:00,Kasımpaşa SK,Konyaspor,2-3,Final
1,10/08/2024,03:00,Antalyaspor,Göztepe,0-0,Final
1,10/08/2024,03:00,Fenerbahçe,Adana Demirspor,1-0,Final
1,11/08/2024,03:00,Sivasspor,Trabzonspor,0-0,Final
1,11/08/2024,03:00,Alanyaspor,Eyüpspor,1-1,Final
1,11/08/2024,03:00,Samsunspor,Beşiktaş,0-2,Final
1,12/08/2024,03:00,Çaykur Rizespor,İstanbul Başakşehir,1-1,Final
1,12/08/2024,03:00,Bodrum FK,Gaziantep FK,0-1,Final
2,16/08/2024,03:00,Konyaspor,Galatasaray,1-2,Final
2,17/08/2024,03:00,Kayserispor,Sivasspor,1-2,Final
2,17/08/2024,03:00,Göztepe,Fenerbahçe,2-2,Final
2,17/08/2024,03:00,Adana Demirspor,Çaykur Rizespor,1-2,Final
2,18/08/2024,03:00,İstanbul Başakşehir,Alanyaspor,4-2,Final
2,18/08/2024,03:00,Gaziantep FK,Samsunspor,0-1,Final
2,18/08/2024,03:00,Beşiktaş,Antalyaspor,4-2,Final
2,19/08/2024,03:00,Eyüpspor,Bodrum FK,4-1,Final
2,19/08/2024,03:00,Hatayspor,Kasımpaşa SK,1-1,Final
3,23/08/2024,03:00,Alanyaspor,Göztepe,1-1,Final
3,24/08/2024,03:00,Sivasspor,Eyüpspor,0-1,Final
3,24/08/2024,03:00,Bodrum FK,Konyaspor,3-1,Final
3,25/08/2024,03:00,Kasımpaşa SK,Adana Demirspor,2-2,Final
3,25/08/2024,03:00,Antalyaspor,Hatayspor,3-2,Final
3,25/08/2024,03:00,Çaykur Rizespor,Fenerbahçe,0-5,Final
3,17/09/2024,03:00,Galatasaray,Gaziantep FK,3-1,Final
3,18/09/2024,03:00,Samsunspor,İstanbul Başakşehir,2-0,Final
3,19/09/2024,03:00,Trabzonspor,Kayserispor,2-2,Final
4,30/08/2024,03:00,Fenerbahçe,Alanyaspor,3-0,Final
4,31/08/2024,03:00,Çaykur Rizespor,Kasımpaşa SK,0-1,Final
4,31/08/2024,03:00,Konyaspor,Kayserispor,0-0,Final
4,31/08/2024,03:00,Göztepe,Bodrum FK,2-0,Final
4,31/08/2024,03:00,Adana Demirspor,Galatasaray,1-5,Final
4,01/09/2024,03:00,İstanbul Başakşehir,Antalyaspor,5-2,Final
4,01/09/2024,03:00,Eyüpspor,Trabzonspor,0-0,Final
4,01/09/2024,03:00,Hatayspor,Samsunspor,0-3,Final
4,01/09/2024,03:00,Beşiktaş,Sivasspor,2-0,Final
5,14/09/2024,03:00,Sivasspor,Gaziantep FK,3-2,Final
5,14/09/2024,03:00,Samsunspor,Konyaspor,0-1,Final
5,14/09/2024,03:00,Galatasaray,Çaykur Rizespor,5-0,Final
5,14/09/2024,03:00,Bodrum FK,İstanbul Başakşehir,0-1,Final
5,15/09/2024,03:00,Kasımpaşa SK,Fenerbahçe,0-2,Final
5,15/09/2024,03:00,Kayserispor,Eyüpspor,2-2,Final
5,15/09/2024,03:00,Alanyaspor,Hatayspor,0-0,Final
5,15/09/2024,03:00,Trabzonspor,Beşiktaş,1-1,Final
5,16/09/2024,03:00,Antalyaspor,Adana Demirspor,2-1,Final
6,20/09/2024,03:00,Hatayspor,Bodrum FK,0-1,Final
6,21/09/2024,03:00,Konyaspor,Sivasspor,0-0,Final
6,21/09/2024,03:00,Fenerbahçe,Galatasaray,1-3,Final
6,22/09/2024,03:00,Çaykur Rizespor,Samsunspor,0-1,Final
6,22/09/2024,03:00,Kasımpaşa SK,Antalyaspor,0-0,Final
6,22/09/2024,03:00,Adana Demirspor,Alanyaspor,0-2,Final
6,22/09/2024,03:00,Beşiktaş,Eyüpspor,2-1,Final
6,23/09/2024,03:00,Gaziantep FK,Trabzonspor,0-0,Final
6,23/09/2024,03:00,Göztepe,Kayserispor,3-0,Final
7,27/09/2024,03:00,Sivasspor,İstanbul Başakşehir,1-2,Final
7,28/09/2024,03:00,Samsunspor,Göztepe,4-3,Final
7,28/09/2024,03:00,Alanyaspor,Çaykur Rizespor,1-0,Final
7,28/09/2024,03:00,Galatasaray,Kasımpaşa SK,3-3,Final
7,29/09/2024,03:00,Trabzonspor,Konyaspor,3-2,Final
7,29/09/2024,03:00,Eyüpspor,Gaziantep FK,3-2,Final
