Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
09/08/2024,1,Galatasaray,Hatayspor,2-1
10/08/2024,1,Kasımpaşa SK,Konyaspor,2-3
10/08/2024,1,Antalyaspor,Göztepe,0-0
10/08/2024,1,Fenerbahçe,Adana Demirspor,1-0
11/08/2024,1,Sivasspor,Trabzonspor,0-0
11/08/2024,1,Alanyaspor,Eyüpspor,1-1
11/08/2024,1,Samsunspor,Beşiktaş,0-2
12/08/2024,1,Çaykur Rizespor,İstanbul Başakşehir,1-1
12/08/2024,1,Bodrum FK,Gaziantep FK,0-1
16/08/2024,2,Konyaspor,Galatasaray,1-2
17/08/2024,2,Kayserispor,Sivasspor,1-2
17/08/2024,2,Göztepe,Fenerbahçe,2-2
17/08/2024,2,Adana Demirspor,Çaykur Rizespor,1-2
18/08/2024,2,İstanbul Başakşehir,Alanyaspor,4-2
18/08/2024,2,Gaziantep FK,Samsunspor,0-1
18/08/2024,2,Beşiktaş,Antalyaspor,4-2
19/08/2024,2,Eyüpspor,Bodrum FK,4-1
19/08/2024,2,Hatayspor,Kasımpaşa SK,1-1
23/08/2024,3,Alanyaspor,Göztepe,1-1
24/08/2024,3,Sivasspor,Eyüpspor,0-1
24/08/2024,3,Bodrum FK,Konyaspor,3-1
25/08/2024,3,Kasımpaşa SK,Adana Demirspor,2-2
25/08/2024,3,Antalyaspor,Hatayspor,3-2
25/08/2024,3,Çaykur Rizespor,Fenerbahçe,0-5
17/09/2024,3,Galatasaray,Gaziantep FK,3-1
18/09/2024,3,Samsunspor,İstanbul Başakşehir,2-0
19/09/2024,3,Trabzonspor,Kayserispor,2-2
30/08/2024,4,Fenerbahçe,Alanyaspor,3-0
31/08/2024,4,Çaykur Rizespor,Kasımpaşa SK,0-1
31/08/2024,4,Konyaspor,Kayserispor,0-0
31/08/2024,4,Göztepe,Bodrum FK,2-0
31/08/2024,4,Adana Demirspor,Galatasaray,1-5
01/09/2024,4,İstanbul Başakşehir,Antalyaspor,5-2
01/09/2024,4,Eyüpspor,Trabzonspor,0-0
01/09/2024,4,Hatayspor,Samsunspor,0-3
01/09/2024,4,Beşiktaş,Sivasspor,2-0
14/09/2024,5,Sivasspor,Gaziantep FK,3-2
14/09/2024,5,Samsunspor,Konyaspor,0-1
14/09/2024,5,Galatasaray,Çaykur Rizespor,5-0
14/09/2024,5,Bodrum FK,İstanbul Başakşehir,0-1
15/09/2024,5,Kasımpaşa SK,Fenerbahçe,0-2
15/09/2024,5,Kayserispor,Eyüpspor,2-2
15/09/2024,5,Alanyaspor,Hatayspor,0-0
15/09/2024,5,Trabzonspor,Beşiktaş,1-1
16/09/2024,5,Antalyaspor,Adana Demirspor,2-1
20/09/2024,6,Hatayspor,Bodrum FK,0-1
21/09/2024,6,Konyaspor,Sivasspor,0-0
21/09/2024,6,Fenerbahçe,Galatasaray,1-3
22/09/2024,6,Çaykur Rizespor,Samsunspor,0-1
22/09/2024,6,Kasımpaşa SK,Antalyaspor,0-0
22/09/2024,6,Adana Demirspor,Alanyaspor,0-2
22/09/2024,6,Beşiktaş,Eyüpspor,2-1
23/09/2024,6,Gaziantep FK,Trabzonspor,0-0
23/09/2024,6,Göztepe,Kayserispor,3-0
27/09/2024,7,Sivasspor,İstanbul Başakşehir,1-2
28/09/2024,7,Samsunspor,Göztepe,4-3
28/09/2024,7,Alanyaspor,Çaykur Rizespor,1-0
28/09/2024,7,Galatasaray,Kasımpaşa SK,3-3
29/09/2024,7,Trabzonspor,Konyaspor,3-2
29/09/2024,7,Eyüpspor,Gaziantep FK,3-2
29/09/2024,7,Antalyaspor,Fenerbahçe,0-2
29/09/2024,7,Bodrum FK,Adana Demirspor,3-1
30/09/2024,7,Kayserispor,Beşiktaş,0-3
04/10/2024,8,Çaykur Rizespor,Antalyaspor,2-1
05/10/2024,8,Kasımpaşa SK,Bodrum FK,0-0
05/10/2024,8,Göztepe,Sivasspor,3-2
05/10/2024,8,İstanbul Başakşehir,Kayserispor,1-1
