Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
23/01/2025,1,Tigre,Vélez Sarsfield,3-0
23/01/2025,1,Godoy Cruz,Rosario Central,0-3
24/01/2025,1,Newell's Old Boys,Independiente Rivadavia,0-1
24/01/2025,1,Defensa y Justicia,Banfield,0-1
24/01/2025,1,Lanús,Deportivo Riestra,0-2
24/01/2025,1,Barracas Central,Racing Club,1-3
24/01/2025,1,Independiente,Sarmiento de Junín,2-1
25/01/2025,1,Belgrano de Córdoba,Huracán,1-1
25/01/2025,1,San Martín de San Juan,Atlético Tucumán,0-1
25/01/2025,1,San Lorenzo,Talleres de Córdoba,1-0
25/01/2025,1,Estudiantes,Unión de Santa Fe,3-1
25/01/2025,1,Instituto de Córdoba,Gimnasia de La Plata,3-0
26/01/2025,1,Platense,River Plate,1-1
26/01/2025,1,Boca Juniors,Argentinos Juniors,0-0
27/01/2025,1,Central Córdoba SdE,Aldosivi,1-0
28/01/2025,2,Banfield,Newell's Old Boys,3-0
28/01/2025,2,Deportivo Riestra,San Martín de San Juan,0-0
28/01/2025,2,Rosario Central,Lanús,2-1
28/01/2025,2,Sarmiento de Junín,Godoy Cruz,0-0
29/01/2025,2,Independiente Rivadavia,Barracas Central,0-0
29/01/2025,2,Vélez Sarsfield,Platense,0-1
29/01/2025,2,Talleres de Córdoba,Independiente,2-3
29/01/2025,2,Gimnasia de La Plata,San Lorenzo,0-2
29/01/2025,2,Huracán,Estudiantes,0-0
29/01/2025,2,Unión de Santa Fe,Boca Juniors,1-1
30/01/2025,2,River Plate,Instituto de Córdoba,1-0
30/01/2025,2,Aldosivi,Defensa y Justicia,0-5
30/01/2025,2,Racing Club,Belgrano de Córdoba,4-0
31/01/2025,2,Argentinos Juniors,Tigre,1-0
31/01/2025,2,Central Córdoba SdE,Atlético Tucumán,2-0
01/02/2025,3,Barracas Central,Banfield,1-0
01/02/2025,3,San Martín de San Juan,Rosario Central,0-0
02/02/2025,3,Lanús,Sarmiento de Junín,2-0
02/02/2025,3,San Lorenzo,River Plate,0-0
02/02/2025,3,Boca Juniors,Huracán,2-1
02/02/2025,3,Newell's Old Boys,Aldosivi,1-0
03/02/2025,3,Instituto de Córdoba,Vélez Sarsfield,2-0
03/02/2025,3,Independiente,Gimnasia de La Plata,2-0
03/02/2025,3,Defensa y Justicia,Central Córdoba SdE,2-1
03/02/2025,3,Tigre,Unión de Santa Fe,1-0
03/02/2025,3,Estudiantes,Racing Club,2-0
04/02/2025,3,Belgrano de Córdoba,Independiente Rivadavia,0-3
04/02/2025,3,Argentinos Juniors,Platense,1-0
05/02/2025,3,Atlético Tucumán,Deportivo Riestra,0-3
22/03/2025,3,Godoy Cruz,Talleres de Córdoba,0-0
06/02/2025,4,Aldosivi,Barracas Central,1-3
07/02/2025,4,Sarmiento de Junín,San Martín de San Juan,1-1
07/02/2025,4,Banfield,Belgrano de Córdoba,1-1
08/02/2025,4,Central Córdoba SdE,Newell's Old Boys,2-0
08/02/2025,4,Huracán,Tigre,2-0
08/02/2025,4,Independiente Rivadavia,Estudiantes,2-2
08/02/2025,4,Unión de Santa Fe,Argentinos Juniors,0-1
08/02/2025,4,Vélez Sarsfield,San Lorenzo,0-0
08/02/2025,4,Rosario Central,Atlético Tucumán,3-1
09/02/2025,4,River Plate,Independiente,2-0
09/02/2025,4,Racing Club,Boca Juniors,2-0
09/02/2025,4,Platense,Instituto de Córdoba,1-0
09/02/2025,4,Deportivo Riestra,Defensa y Justicia,1-1
09/02/2025,4,Gimnasia de La Plata,Godoy Cruz,3-0
10/02/2025,4,Talleres de Córdoba,Lanús,0-1
11/02/2025,5,Barracas Central,Central Córdoba SdE,3-3
12/02/2025,5,Boca Juniors,Independiente Rivadavia,2-0
12/02/2025,5,Estudiantes,Banfield,1-0
12/02/2025,5,Tigre,Racing Club,1-0
12/02/2025,5,Belgrano de Córdoba,Aldosivi,2-0
12/02/2025,5,Deportivo Riestra,Rosario Central,0-0
12/02/2025,5,Newell's Old Boys,Defensa y Justicia,0-1
13/02/2025,5,Argentinos Juniors,Huracán,1-1
13/02/2025,5,Independiente,Vélez Sarsfield,3-0
13/02/2025,5,Godoy Cruz,River Plate,0-0
13/02/2025,5,Lanús,Gimnasia de La Plata,0-0
14/02/2025,5,San Lorenzo,Platense,2-1
14/02/2025,5,San Martín de San Juan,Talleres de Córdoba,0-1
14/02/2025,5,Atlético Tucumán,Sarmiento de Junín,5-0
14/02/2025,5,Unión de Santa Fe,Instituto de Córdoba,0-0
15/02/2025,6,Banfield,Boca Juniors,0-1
15/02/2025,6,Defensa y Justicia,Barracas Central,1-1
15/02/2025,6,Aldosivi,Estudiantes,2-2
15/02/2025,6,Central Córdoba SdE,Belgrano de Córdoba,4-0
15/02/2025,6,Independiente Rivadavia,Tigre,1-4
16/02/2025,6,Racing Club,Argentinos Juniors,2-3
16/02/2025,6,Newell's Old Boys,Rosario Central,1-2
16/02/2025,6,River Plate,Lanús,1-0
17/02/2025,6,Huracán,Unión de Santa Fe,1-0
17/02/2025,6,Talleres de Córdoba,Atlético Tucumán,1-1
17/02/2025,6,Sarmiento de Junín,Deportivo Riestra,2-1
17/02/2025,6,Gimnasia de La Plata,San Martín de San Juan,1-0
17/02/2025,6,Platense,Independiente,1-1
18/02/2025,6,Vélez Sarsfield,Godoy Cruz,0-2
18/02/2025,6,Instituto de Córdoba,San Lorenzo,0-1
21/02/2025,7,Deportivo Riestra,Talleres de Córdoba,0-0
21/02/2025,7,Estudiantes,Central Córdoba SdE,3-2
21/02/2025,7,Godoy Cruz,Platense,1-1
22/02/2025,7,Lanús,Vélez Sarsfield,0-0
22/02/2025,7,Independiente,Instituto de Córdoba,2-0
22/02/2025,7,Boca Juniors,Aldosivi,2-1
23/02/2025,7,San Martín de San Juan,River Plate,0-2
23/02/2025,7,Rosario Central,Sarmiento de Junín,1-0
23/02/2025,7,Huracán,San Lorenzo,2-0
24/02/2025,7,Belgrano de Córdoba,Defensa y Justicia,2-0
24/02/2025,7,Atlético Tucumán,Gimnasia de La Plata,0-1
24/02/2025,7,Barracas Central,Newell's Old Boys,2-0
24/02/2025,7,Argentinos Juniors,Independiente Rivadavia,0-0
25/02/2025,7,Tigre,Banfield,1-0
21/03/2025,7,Unión de Santa Fe,Racing Club,0-1
01/03/2025,8,Boca Juniors,Rosario Central,1-0
01/03/2025,8,Central Córdoba SdE,Deportivo Riestra,0-0
01/03/2025,8,San Martín de San Juan,Belgrano de Córdoba,3-1
01/03/2025,8,Aldosivi,Sarmiento de Junín,2-2
01/03/2025,8,River Plate,Estudiantes,0-2
02/03/2025,8,Unión de Santa Fe,Gimnasia de La Plata,1-0
02/03/2025,8,Talleres de Córdoba,Tigre,1-2
02/03/2025,8,Independiente Rivadavia,Lanús,1-1
02/03/2025,8,Argentinos Juniors,Instituto de Córdoba,2-0
02/03/2025,8,Vélez Sarsfield,Huracán,0-2
03/03/2025,8,Barracas Central,Godoy Cruz,1-2
03/03/2025,8,San Lorenzo,Racing Club,3-2
04/03/2025,8,Atlético Tucumán,Newell's Old Boys,1-2
04/03/2025,8,Banfield,Independiente,0-0
05/03/2025,8,Platense,Defensa y Justicia,0-1
07/03/2025,9,Banfield,Argentinos Juniors,1-2
07/03/2025,9,Vélez Sarsfield,San Martín de San Juan,1-0
08/03/2025,9,Central Córdoba SdE,Boca Juniors,0-3
08/03/2025,9,San Lorenzo,Independiente,1-2
08/03/2025,9,Racing Club,Huracán,0-1
09/03/2025,9,Platense,Lanús,0-0
09/03/2025,9,Sarmiento de Junín,Barracas Central,1-1
09/03/2025,9,Defensa y Justicia,Estudiantes,1-0
09/03/2025,9,Aldosivi,Tigre,0-2
09/03/2025,9,River Plate,Atlético Tucumán,1-0
10/03/2025,9,Newell's Old Boys,Belgrano de Córdoba,0-0
10/03/2025,9,Instituto de Córdoba,Godoy Cruz,1-1
10/03/2025,9,Gimnasia de La Plata,Deportivo Riestra,1-1
11/03/2025,9,Independiente Rivadavia,Unión de Santa Fe,2-0
11/03/2025,9,Talleres de Córdoba,Rosario Central,0-0
14/03/2025,10,Argentinos Juniors,Aldosivi,0-2
15/03/2025,10,Godoy Cruz,San Lorenzo,0-0
15/03/2025,10,Deportivo Riestra,River Plate,0-0
15/03/2025,10,Estudiantes,Newell's Old Boys,1-1
15/03/2025,10,Rosario Central,Gimnasia de La Plata,2-1
16/03/2025,10,Huracán,Independiente Rivadavia,2-0
16/03/2025,10,Sarmiento de Junín,Talleres de Córdoba,0-0
16/03/2025,10,Independiente,Racing Club,1-1
16/03/2025,10,Boca Juniors,Defensa y Justicia,4-0
17/03/2025,10,Belgrano de Córdoba,Barracas Central,1-1
17/03/2025,10,Lanús,Instituto de Córdoba,4-1
17/03/2025,10,Unión de Santa Fe,Banfield,3-1
17/03/2025,10,Tigre,Central Córdoba SdE,1-2
18/03/2025,10,San Martín de San Juan,Platense,0-2
18/03/2025,10,Atlético Tucumán,Vélez Sarsfield,1-2
27/03/2025,11,Aldosivi,Unión de Santa Fe,2-1
27/03/2025,11,Barracas Central,Estudiantes,2-1
28/03/2025,11,Independiente Rivadavia,Racing Club,2-1
28/03/2025,11,Defensa y Justicia,Tigre,1-2
28/03/2025,11,Banfield,Huracán,0-0
28/03/2025,11,San Lorenzo,Lanús,1-1
29/03/2025,11,Vélez Sarsfield,Deportivo Riestra,0-1
29/03/2025,11,Platense,Atlético Tucumán,2-1
29/03/2025,11,Instituto de Córdoba,San Martín de San Juan,1-0
29/03/2025,11,Central Córdoba SdE,Argentinos Juniors,1-1
29/03/2025,11,Independiente,Godoy Cruz,4-0
30/03/2025,11,River Plate,Rosario Central,2-2
30/03/2025,11,Belgrano de Córdoba,Talleres de Córdoba,1-1
30/03/2025,11,Gimnasia de La Plata,Sarmiento de Junín,0-0
31/03/2025,11,Newell's Old Boys,Boca Juniors,2-0
05/04/2025,12,Estudiantes,Belgrano de Córdoba,0-1
05/04/2025,12,San Martín de San Juan,San Lorenzo,0-1
05/04/2025,12,Rosario Central,Vélez Sarsfield,2-1
05/04/2025,12,Godoy Cruz,Independiente Rivadavia,1-1
05/04/2025,12,Huracán,Aldosivi,3-3
05/04/2025,12,Talleres de Córdoba,Gimnasia de La Plata,2-0
06/04/2025,12,Sarmiento de Junín,River Plate,1-1
06/04/2025,12,Unión de Santa Fe,Central Córdoba SdE,1-0
06/04/2025,12,Lanús,Independiente,1-1
06/04/2025,12,Boca Juniors,Barracas Central,1-0
07/04/2025,12,Racing Club,Banfield,4-1
07/04/2025,12,Argentinos Juniors,Defensa y Justicia,4-1
07/04/2025,12,Deportivo Riestra,Platense,1-0
08/04/2025,12,Tigre,Newell's Old Boys,0-2
08/04/2025,12,Atlético Tucumán,Instituto de Córdoba,3-2
12/04/2025,13,Banfield,Independiente Rivadavia,1-1
12/04/2025,13,Newell's Old Boys,Argentinos Juniors,0-0
12/04/2025,13,San Lorenzo,Atlético Tucumán,1-0
12/04/2025,13,Barracas Central,Tigre,1-0
13/04/2025,13,Belgrano de Córdoba,Boca Juniors,1-3
13/04/2025,13,Instituto de Córdoba,Deportivo Riestra,3-0
13/04/2025,13,Gimnasia de La Plata,Estudiantes,1-1
13/04/2025,13,Independiente,San Martín de San Juan,2-0
14/04/2025,13,River Plate,Talleres de Córdoba,1-1
14/04/2025,13,Aldosivi,Racing Club,0-2
14/04/2025,13,Central Córdoba SdE,Huracán,1-2
15/04/2025,13,Defensa y Justicia,Unión de Santa Fe,0-0
15/04/2025,13,Vélez Sarsfield,Sarmiento de Junín,0-1
15/04/2025,13,Godoy Cruz,Lanús,0-0
16/04/2025,13,Platense,Rosario Central,0-0
18/04/2025,14,Gimnasia de La Plata,River Plate,0-3
19/04/2025,14,Racing Club,Central Córdoba SdE,1-0
19/04/2025,14,Talleres de Córdoba,Vélez Sarsfield,0-1
19/04/2025,14,Unión de Santa Fe,Newell's Old Boys,1-1
19/04/2025,14,Lanús,Banfield,1-1
19/04/2025,14,Huracán,Defensa y Justicia,1-1
20/04/2025,14,Boca Juniors,Estudiantes,2-0
20/04/2025,14,Deportivo Riestra,San Lorenzo,0-0
20/04/2025,14,San Martín de San Juan,Godoy Cruz,1-0
20/04/2025,14,Sarmiento de Junín,Platense,0-1
21/04/2025,14,Rosario Central,Instituto de Córdoba,3-0
23/04/2025,14,Argentinos Juniors,Barracas Central,3-0
