Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
11/07/2025,1,Aldosivi,Central Córdoba SdE,0-0
12/07/2025,1,Talleres de Córdoba,San Lorenzo,1-2
12/07/2025,1,Rosario Central,Godoy Cruz,1-1
12/07/2025,1,Gimnasia de La Plata,Instituto de Córdoba,0-1
12/07/2025,1,Huracán,Belgrano de Córdoba,0-3
13/07/2025,1,Racing Club,Barracas Central,0-1
13/07/2025,1,Sarmiento de Junín,Independiente,2-2
13/07/2025,1,Atlético Tucumán,San Martín de San Juan,2-1
13/07/2025,1,Independiente Rivadavia,Newell's Old Boys,1-2
13/07/2025,1,Argentinos Juniors,Boca Juniors,0-0
14/07/2025,1,River Plate,Platense,3-1
14/07/2025,1,Deportivo Riestra,Lanús,1-0
15/07/2025,1,Banfield,Defensa y Justicia,0-0
15/07/2025,1,Vélez Sarsfield,Tigre,2-1
15/07/2025,1,Unión de Santa Fe,Estudiantes,1-0
19/07/2025,2,Boca Juniors,Unión de Santa Fe,1-1
19/07/2025,2,Atlético Tucumán,Central Córdoba SdE,1-1
19/07/2025,2,San Lorenzo,Gimnasia de La Plata,0-0
19/07/2025,2,Lanús,Rosario Central,0-1
19/07/2025,2,Platense,Vélez Sarsfield,0-0
19/07/2025,2,Godoy Cruz,Sarmiento de Junín,0-0
20/07/2025,2,Instituto de Córdoba,River Plate,0-4
20/07/2025,2,Barracas Central,Independiente Rivadavia,0-3
20/07/2025,2,Tigre,Argentinos Juniors,2-1
20/07/2025,2,Newell's Old Boys,Banfield,1-2
21/07/2025,2,Belgrano de Córdoba,Racing Club,0-1
21/07/2025,2,Independiente,Talleres de Córdoba,1-2
22/07/2025,2,Estudiantes,Huracán,2-1
22/07/2025,2,San Martín de San Juan,Deportivo Riestra,3-2
22/07/2025,2,Defensa y Justicia,Aldosivi,2-0
26/07/2025,3,Sarmiento de Junín,Lanús,0-2
26/07/2025,3,Independiente Rivadavia,Belgrano de Córdoba,0-0
26/07/2025,3,Unión de Santa Fe,Tigre,0-0
26/07/2025,3,Aldosivi,Newell's Old Boys,0-0
26/07/2025,3,Rosario Central,San Martín de San Juan,0-0
27/07/2025,3,Platense,Argentinos Juniors,0-0
27/07/2025,3,Vélez Sarsfield,Instituto de Córdoba,0-0
27/07/2025,3,Racing Club,Estudiantes,0-1
27/07/2025,3,Gimnasia de La Plata,Independiente,1-0
27/07/2025,3,Talleres de Córdoba,Godoy Cruz,0-0
27/07/2025,3,Huracán,Boca Juniors,1-0
28/07/2025,3,River Plate,San Lorenzo,0-0
28/07/2025,3,Deportivo Riestra,Atlético Tucumán,1-0
28/07/2025,3,Central Córdoba SdE,Defensa y Justicia,2-1
29/07/2025,3,Banfield,Barracas Central,1-3
07/08/2025,4,Godoy Cruz,Gimnasia de La Plata,1-2
08/08/2025,4,San Lorenzo,Vélez Sarsfield,1-0
08/08/2025,4,Estudiantes,Independiente Rivadavia,2-1
09/08/2025,4,Tigre,Huracán,0-1
09/08/2025,4,Newell's Old Boys,Central Córdoba SdE,1-1
09/08/2025,4,Lanús,Talleres de Córdoba,1-0
09/08/2025,4,San Martín de San Juan,Sarmiento de Junín,0-1
09/08/2025,4,Boca Juniors,Racing Club,1-1
09/08/2025,4,Independiente,River Plate,0-0
10/08/2025,4,Atlético Tucumán,Rosario Central,0-0
10/08/2025,4,Belgrano de Córdoba,Banfield,2-1
10/08/2025,4,Barracas Central,Aldosivi,3-1
