Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
09/03/2025,1,Lexington SC,Hartford Athletic,2-0
09/03/2025,1,Miami FC,Detroit City FC,0-2
09/03/2025,1,North Carolina FC,Pittsburgh Riverhounds,1-1
09/03/2025,1,Charleston Battery,Louisville City FC,1-2
09/03/2025,1,Birmingham Legion,Loudoun United,1-3
09/03/2025,1,San Antonio FC,Monterey Bay FC,1-0
09/03/2025,1,El Paso Locomotive,Colorado Springs Switchbacks,2-2
09/03/2025,1,Phoenix Rising,FC Tulsa,0-1
09/03/2025,1,Orange County SC,Oakland Roots,4-2
09/03/2025,1,Sacramento Republic,New Mexico United,2-1
09/03/2025,1,Las Vegas Lights FC,Tampa Bay Rowdies,1-0
15/03/2025,2,Colorado Springs Switchbacks,Detroit City FC,1-2
16/03/2025,2,North Carolina FC,Loudoun United,1-2
16/03/2025,2,Miami FC,Indy Eleven,1-3
16/03/2025,2,Charleston Battery,Rhode Island FC,2-0
16/03/2025,2,FC Tulsa,Tampa Bay Rowdies,1-0
16/03/2025,2,San Antonio FC,Pittsburgh Riverhounds,2-0
16/03/2025,2,El Paso Locomotive,Phoenix Rising,4-4
16/03/2025,2,Monterey Bay FC,Oakland Roots,3-2
16/03/2025,2,Las Vegas Lights FC,New Mexico United,2-3
16/03/2025,2,Orange County SC,Lexington SC,2-2
16/03/2025,2,Birmingham Legion,Louisville City FC,1-1
22/03/2025,3,Detroit City FC,Birmingham Legion,2-2
22/03/2025,3,Louisville City FC,Loudoun United,2-0
22/03/2025,3,New Mexico United,El Paso Locomotive,1-0
23/03/2025,3,Lexington SC,Indy Eleven,1-1
23/03/2025,3,Miami FC,Tampa Bay Rowdies,1-2
23/03/2025,3,Pittsburgh Riverhounds,Hartford Athletic,1-0
23/03/2025,3,FC Tulsa,North Carolina FC,0-1
23/03/2025,3,Oakland Roots,San Antonio FC,1-2
23/03/2025,3,Orange County SC,Monterey Bay FC,0-3
23/03/2025,3,Phoenix Rising,Rhode Island FC,2-2
23/03/2025,3,Sacramento Republic,Colorado Springs Switchbacks,2-2
29/03/2025,4,FC Tulsa,Sacramento Republic,1-0
29/03/2025,4,Hartford Athletic,El Paso Locomotive,1-2
29/03/2025,4,Loudoun United,Rhode Island FC,2-0
29/03/2025,4,Louisville City FC,Detroit City FC,2-0
30/03/2025,4,North Carolina FC,Charleston Battery,2-1
30/03/2025,4,Indy Eleven,Colorado Springs Switchbacks,2-3
30/03/2025,4,Lexington SC,San Antonio FC,2-3
30/03/2025,4,Miami FC,New Mexico United,0-1
30/03/2025,4,Pittsburgh Riverhounds,Birmingham Legion,2-0
30/03/2025,4,Monterey Bay FC,Phoenix Rising,3-1
30/03/2025,4,Oakland Roots,Las Vegas Lights FC,0-0
05/04/2025,5,Detroit City FC,Monterey Bay FC,0-0
05/04/2025,5,Oakland Roots,Rhode Island FC,0-3
05/04/2025,5,Loudoun United,Hartford Athletic,2-0
05/04/2025,5,Charleston Battery,Tampa Bay Rowdies,2-1
06/04/2025,5,Indy Eleven,North Carolina FC,2-2
06/04/2025,5,El Paso Locomotive,Lexington SC,2-1
06/04/2025,5,Sacramento Republic,Louisville City FC,1-1
06/04/2025,5,Las Vegas Lights FC,Orange County SC,1-0
06/04/2025,5,San Antonio FC,Phoenix Rising,1-2
13/04/2025,6,Lexington SC,Las Vegas Lights FC,0-0
13/04/2025,6,Charleston Battery,Pittsburgh Riverhounds,2-1
13/04/2025,6,Tampa Bay Rowdies,Loudoun United,1-2
13/04/2025,6,FC Tulsa,Oakland Roots,1-2
13/04/2025,6,San Antonio FC,Miami FC,1-2
13/04/2025,6,New Mexico United,North Carolina FC,1-0
13/04/2025,6,Monterey Bay FC,Colorado Springs Switchbacks,2-1
13/04/2025,6,Orange County SC,Sacramento Republic,2-1
13/04/2025,6,Phoenix Rising,Detroit City FC,2-3
13/04/2025,6,Birmingham Legion,El Paso Locomotive,3-1
19/04/2025,7,Detroit City FC,Rhode Island FC,2-0
19/04/2025,7,Hartford Athletic,Birmingham Legion,1-0
19/04/2025,7,Oakland Roots,Orange County SC,2-0
19/04/2025,7,Phoenix Rising,Sacramento Republic,2-2
19/04/2025,7,Loudoun United,Pittsburgh Riverhounds,2-1
20/04/2025,7,Indy Eleven,Charleston Battery,1-3
20/04/2025,7,Lexington SC,Monterey Bay FC,0-0
20/04/2025,7,Miami FC,North Carolina FC,2-1
20/04/2025,7,Tampa Bay Rowdies,Louisville City FC,1-2
20/04/2025,7,Colorado Springs Switchbacks,El Paso Locomotive,1-1
20/04/2025,7,Las Vegas Lights FC,FC Tulsa,1-4
24/04/2025,7,San Antonio FC,Colorado Springs Switchbacks,3-2
24/04/2025,7,New Mexico United,Monterey Bay FC,1-0
02/05/2025,8,Louisville City FC,Lexington SC,2-0
03/05/2025,8,Rhode Island FC,San Antonio FC,0-0
03/05/2025,8,Charleston Battery,Hartford Athletic,4-2
04/05/2025,8,Indy Eleven,Detroit City FC,2-2
04/05/2025,8,Pittsburgh Riverhounds,North Carolina FC,0-2
04/05/2025,8,Tampa Bay Rowdies,Birmingham Legion,2-2
04/05/2025,8,Colorado Springs Switchbacks,Phoenix Rising,1-1
04/05/2025,8,El Paso Locomotive,New Mexico United,3-0
04/05/2025,8,Orange County SC,FC Tulsa,2-1
04/05/2025,8,Las Vegas Lights FC,Loudoun United,1-0
05/05/2025,8,Oakland Roots,Sacramento Republic,0-1
05/05/2025,8,Monterey Bay FC,Miami FC,1-1
10/05/2025,9,North Carolina FC,Orange County SC,1-0
10/05/2025,9,Rhode Island FC,Monterey Bay FC,1-1
11/05/2025,9,Loudoun United,Lexington SC,5-1
11/05/2025,9,Hartford Athletic,Detroit City FC,0-0
11/05/2025,9,Louisville City FC,Pittsburgh Riverhounds,0-0
11/05/2025,9,Tampa Bay Rowdies,Charleston Battery,1-3
11/05/2025,9,FC Tulsa,El Paso Locomotive,1-1
11/05/2025,9,San Antonio FC,Oakland Roots,1-2
11/05/2025,9,New Mexico United,Phoenix Rising,1-2
11/05/2025,9,Sacramento Republic,Indy Eleven,1-1
11/05/2025,9,Las Vegas Lights FC,Colorado Springs Switchbacks,0-0
15/05/2025,10,Birmingham Legion,Rhode Island FC,0-1
17/05/2025,10,North Carolina FC,Oakland Roots,4-2
17/05/2025,10,El Paso Locomotive,Indy Eleven,3-1
18/05/2025,10,Hartford Athletic,Louisville City FC,1-1
18/05/2025,10,Charleston Battery,San Antonio FC,4-0
18/05/2025,10,Miami FC,Loudoun United,2-1
18/05/2025,10,Tampa Bay Rowdies,Rhode Island FC,0-3
18/05/2025,10,Colorado Springs Switchbacks,Pittsburgh Riverhounds,1-0
18/05/2025,10,Orange County SC,New Mexico United,0-3
18/05/2025,10,Phoenix Rising,Monterey Bay FC,2-0
18/05/2025,10,Sacramento Republic,Las Vegas Lights FC,5-0
18/05/2025,10,Birmingham Legion,Detroit City FC,1-1
19/05/2025,10,Lexington SC,FC Tulsa,0-2
24/05/2025,11,Detroit City FC,Charleston Battery,1-3
24/05/2025,11,Rhode Island FC,Pittsburgh Riverhounds,0-1
25/05/2025,11,Lexington SC,Tampa Bay Rowdies,1-1
25/05/2025,11,Miami FC,Birmingham Legion,1-2
25/05/2025,11,Orange County SC,Colorado Springs Switchbacks,3-1
25/05/2025,11,Monterey Bay FC,Louisville City FC,0-2
25/05/2025,11,Oakland Roots,New Mexico United,0-3
25/05/2025,11,Las Vegas Lights FC,El Paso Locomotive,1-2
29/05/2025,11,Indy Eleven,Hartford Athletic,4-4
29/05/2025,11,San Antonio FC,FC Tulsa,1-1
29/05/2025,11,Las Vegas Lights FC,Phoenix Rising,0-1
05/06/2025,12,Birmingham Legion,Indy Eleven,0-1
07/06/2025,12,Hartford Athletic,North Carolina FC,0-1
08/06/2025,12,Loudoun United,Charleston Battery,1-1
08/06/2025,12,Pittsburgh Riverhounds,Detroit City FC,2-0
08/06/2025,12,Rhode Island FC,Miami FC,0-1
08/06/2025,12,Louisville City FC,Tampa Bay Rowdies,2-1
08/06/2025,12,New Mexico United,Colorado Springs Switchbacks,1-1
08/06/2025,12,San Antonio FC,Las Vegas Lights FC,3-0
08/06/2025,12,Monterey Bay FC,Lexington SC,2-1
08/06/2025,12,Oakland Roots,El Paso Locomotive,0-0
08/06/2025,12,Phoenix Rising,Orange County SC,3-1
08/06/2025,12,Sacramento Republic,FC Tulsa,0-1
12/06/2025,13,Louisville City FC,Rhode Island FC,2-1
15/06/2025,13,Loudoun United,Detroit City FC,3-2
15/06/2025,13,Hartford Athletic,Charleston Battery,1-2
15/06/2025,13,Indy Eleven,Pittsburgh Riverhounds,1-0
15/06/2025,13,Lexington SC,New Mexico United,2-1
15/06/2025,13,Rhode Island FC,North Carolina FC,2-1
15/06/2025,13,Tampa Bay Rowdies,Miami FC,2-1
15/06/2025,13,Louisville City FC,Birmingham Legion,4-2
15/06/2025,13,FC Tulsa,Phoenix Rising,1-1
15/06/2025,13,Colorado Springs Switchbacks,Oakland Roots,1-0
15/06/2025,13,El Paso Locomotive,Orange County SC,0-3
15/06/2025,13,Las Vegas Lights FC,Monterey Bay FC,2-0
15/06/2025,13,Sacramento Republic,San Antonio FC,0-0
19/06/2025,14,Miami FC,Charleston Battery,1-0
19/06/2025,14,Birmingham Legion,Sacramento Republic,1-0
21/06/2025,14,Lexington SC,Colorado Springs Switchbacks,2-1
21/06/2025,14,Hartford Athletic,Loudoun United,3-0
21/06/2025,14,North Carolina FC,Louisville City FC,2-1
21/06/2025,14,Detroit City FC,Miami FC,2-0
