matchday,date,time,home_team,away_team,result,status
1,09/03/2025,03:00,Lexington SC,Hartford Athletic,2-0,Final
1,09/03/2025,03:00,Miami FC,Detroit City FC,0-2,Final
1,09/03/2025,03:00,North Carolina FC,Pittsburgh Riverhounds,1-1,Final
1,09/03/2025,03:00,Charleston Battery,Louisville City FC,1-2,Final
1,09/03/2025,03:00,Birmingham Legion,Loudoun United,1-3,Final
1,09/03/2025,03:00,San Antonio FC,Monterey Bay FC,1-0,Final
1,09/03/2025,03:00,El Paso Locomotive,Colorado Springs Switchbacks,2-2,Final
1,09/03/2025,03:00,Phoenix Rising,FC Tulsa,0-1,Final
1,09/03/2025,03:00,Orange County SC,Oakland Roots,4-2,Final
1,09/03/2025,03:00,Sacramento Republic,New Mexico United,2-1,Final
1,09/03/2025,03:00,Las Vegas Lights FC,Tampa Bay Rowdies,1-0,Final
2,15/03/2025,03:00,Colorado Springs Switchbacks,Detroit City FC,1-2,Final
2,16/03/2025,03:00,North Carolina FC,Loudoun United,1-2,Final
2,16/03/2025,03:00,Miami FC,Indy Eleven,1-3,Final
2,16/03/2025,03:00,Charleston Battery,Rhode Island FC,2-0,Final
2,16/03/2025,03:00,FC Tulsa,Tampa Bay Rowdies,1-0,Final
2,16/03/2025,03:00,San Antonio FC,Pittsburgh Riverhounds,2-0,Final
2,16/03/2025,03:00,El Paso Locomotive,Phoenix Rising,4-4,Final
2,16/03/2025,03:00,Monterey Bay FC,Oakland Roots,3-2,Final
2,16/03/2025,03:00,Las Vegas Lights FC,New Mexico United,2-3,Final
2,16/03/2025,03:00,Orange County SC,Lexington SC,2-2,Final
2,16/03/2025,03:00,Birmingham Legion,Louisville City FC,1-1,Final
3,22/03/2025,03:00,Detroit City FC,Birmingham Legion,2-2,Final
3,22/03/2025,03:00,Louisville City FC,Loudoun United,2-0,Final
3,22/03/2025,03:00,New Mexico United,El Paso Locomotive,1-0,Final
3,23/03/2025,03:00,Lexington SC,Indy Eleven,1-1,Final
3,23/03/2025,03:00,Miami FC,Tampa Bay Rowdies,1-2,Final
3,23/03/2025,03:00,Pittsburgh Riverhounds,Hartford Athletic,1-0,Final
3,23/03/2025,03:00,FC Tulsa,North Carolina FC,0-1,Final
3,23/03/2025,03:00,Oakland Roots,San Antonio FC,1-2,Final
3,23/03/2025,03:00,Orange County SC,Monterey Bay FC,0-3,Final
3,23/03/2025,03:00,Phoenix Rising,Rhode Island FC,2-2,Final
3,23/03/2025,03:00,Sacramento Republic,Colorado Springs Switchbacks,2-2,Final
4,29/03/2025,03:00,FC Tulsa,Sacramento Republic,1-0,Final
4,29/03/2025,03:00,Hartford Athletic,El Paso Locomotive,1-2,Final
4,29/03/2025,03:00,Loudoun United,Rhode Island FC,2-0,Final
4,29/03/2025,03:00,Louisville City FC,Detroit City FC,2-0,Final
4,30/03/2025,03:00,North Carolina FC,Charleston Battery,2-1,Final
4,30/03/2025,03:00,Indy Eleven,Colorado Springs Switchbacks,2-3,Final
4,30/03/2025,03:00,Lexington SC,San Antonio FC,2-3,Final
4,30/03/2025,03:00,Miami FC,New Mexico United,0-1,Final
4,30/03/2025,03:00,Pittsburgh Riverhounds,Birmingham Legion,2-0,Final
4,30/03/2025,03:00,Monterey Bay FC,Phoenix Rising,3-1,Final
4,30/03/2025,03:00,Oakland Roots,Las Vegas Lights FC,0-0,Final
5,05/04/2025,03:00,Detroit City FC,Monterey Bay FC,0-0,Final
5,05/04/2025,03:00,Oakland Roots,Rhode Island FC,0-3,Final
5,05/04/2025,03:00,Loudoun United,Hartford Athletic,2-0,Final
5,05/04/2025,03:00,Charleston Battery,Tampa Bay Rowdies,2-1,Final
5,06/04/2025,03:00,Indy Eleven,North Carolina FC,2-2,Final
5,06/04/2025,03:00,El Paso Locomotive,Lexington SC,2-1,Final
5,06/04/2025,03:00,Sacramento Republic,Louisville City FC,1-1,Final
5,06/04/2025,03:00,Las Vegas Lights FC,Orange County SC,1-0,Final
5,06/04/2025,03:00,San Antonio FC,Phoenix Rising,1-2,Final
6,13/04/2025,03:00,Lexington SC,Las Vegas Lights FC,0-0,Final
6,13/04/2025,03:00,Charleston Battery,Pittsburgh Riverhounds,2-1,Final
6,13/04/2025,03:00,Tampa Bay Rowdies,Loudoun United,1-2,Final
6,13/04/2025,03:00,FC Tulsa,Oakland Roots,1-2,Final
6,13/04/2025,03:00,San Antonio FC,Miami FC,1-2,Final
6,13/04/2025,03:00,New Mexico United,North Carolina FC,1-0,Final
6,13/04/2025,03:00,Monterey Bay FC,Colorado Springs Switchbacks,2-1,Final
6,13/04/2025,03:00,Orange County SC,Sacramento Republic,2-1,Final
6,13/04/2025,03:00,Phoenix Rising,Detroit City FC,2-3,Final
6,13/04/2025,03:00,Birmingham Legion,El Paso Locomotive,3-1,Final
7,19/04/2025,03:00,Detroit City FC,Rhode Island FC,2-0,Final
7,19/04/2025,03:00,Hartford Athletic,Birmingham Legion,1-0,Final
7,19/04/2025,03:00,Oakland Roots,Orange County SC,2-0,Final
7,19/04/2025,03:00,Phoenix Rising,Sacramento Republic,2-2,Final
