matchday,date,time,home_team,away_team,result,status
1,17/09/2024,03:00,Juventus,PSV Eindhoven,3-1,Final
1,17/09/2024,03:00,BSC Young Boys,Aston Villa,0-3,Final
1,17/09/2024,03:00,Bayern Munich,Dinamo Zagreb,9-2,Final
1,17/09/2024,03:00,Real Madrid,VfB Stuttgart,3-1,Final
1,17/09/2024,03:00,AC Milan,Liverpool FC,1-3,Final
1,17/09/2024,03:00,Sporting CP,Lille OSC,2-0,Final
1,18/09/2024,03:00,Bologna FC,Shajtar Donetsk,0-0,Final
1,18/09/2024,03:00,AC Sparta Praha,Red Bull Salzburgo,3-0,Final
1,18/09/2024,03:00,Manchester City,Inter,0-0,Final
1,18/09/2024,03:00,Paris Saint-Germain,Girona FC,1-0,Final
1,18/09/2024,03:00,Club Brugge KV,Borussia Dortmund,0-3,Final
1,18/09/2024,03:00,Celtic FC,Slovan Bratislava,5-1,Final
1,19/09/2024,03:00,Feyenoord,Bayer Leverkusen,0-4,Final
1,19/09/2024,03:00,Estrella Roja de Belgrado,SL Benfica,1-2,Final
1,19/09/2024,03:00,Atalanta,Arsenal FC,0-0,Final
1,19/09/2024,03:00,Atlético de Madrid,RB Leipzig,2-1,Final
1,19/09/2024,03:00,AS Monaco,FC Barcelona,2-1,Final
1,19/09/2024,03:00,Stade Brestois 29,Sturm Graz,2-1,Final
2,01/10/2024,03:00,Red Bull Salzburgo,Stade Brestois 29,0-4,Final
2,01/10/2024,03:00,VfB Stuttgart,AC Sparta Praha,1-1,Final
2,01/10/2024,03:00,Borussia Dortmund,Celtic FC,7-1,Final
2,01/10/2024,03:00,FC Barcelona,BSC Young Boys,5-0,Final
2,01/10/2024,03:00,Inter,Estrella Roja de Belgrado,4-0,Final
2,01/10/2024,03:00,Bayer Leverkusen,AC Milan,1-0,Final
2,01/10/2024,03:00,Arsenal FC,Paris Saint-Germain,2-0,Final
2,01/10/2024,03:00,PSV Eindhoven,Sporting CP,1-1,Final
2,01/10/2024,03:00,Slovan Bratislava,Manchester City,0-4,Final
2,02/10/2024,03:00,Shajtar Donetsk,Atalanta,0-3,Final
2,02/10/2024,03:00,Girona FC,Feyenoord,2-3,Final
2,02/10/2024,03:00,Liverpool FC,Bologna FC,2-0,Final
2,02/10/2024,03:00,RB Leipzig,Juventus,2-3,Final
2,02/10/2024,03:00,SL Benfica,Atlético de Madrid,4-0,Final
2,02/10/2024,03:00,Dinamo Zagreb,AS Monaco,2-2,Final
2,02/10/2024,03:00,Lille OSC,Real Madrid,1-0,Final
2,02/10/2024,03:00,Aston Villa,Bayern Munich,1-0,Final
2,02/10/2024,03:00,Sturm Graz,Club Brugge KV,0-1,Final
3,22/10/2024,03:00,AC Milan,Club Brugge KV,3-1,Final
3,22/10/2024,03:00,AS Monaco,Estrella Roja de Belgrado,5-1,Final
3,22/10/2024,03:00,Paris Saint-Germain,PSV Eindhoven,1-1,Final
3,22/10/2024,03:00,Real Madrid,Borussia Dortmund,5-2,Final
3,22/10/2024,03:00,Arsenal FC,Shajtar Donetsk,1-0,Final
3,22/10/2024,03:00,Juventus,VfB Stuttgart,0-1,Final
3,22/10/2024,03:00,Aston Villa,Bologna FC,2-0,Final
3,22/10/2024,03:00,Girona FC,Slovan Bratislava,2-0,Final
3,22/10/2024,03:00,Sturm Graz,Sporting CP,0-2,Final
3,23/10/2024,03:00,Atalanta,Celtic FC,0-0,Final
3,23/10/2024,03:00,Stade Brestois 29,Bayer Leverkusen,1-1,Final
3,23/10/2024,03:00,FC Barcelona,Bayern Munich,4-1,Final
3,23/10/2024,03:00,Manchester City,AC Sparta Praha,5-0,Final
3,23/10/2024,03:00,RB Leipzig,Liverpool FC,0-1,Final
3,23/10/2024,03:00,Atlético de Madrid,Lille OSC,1-3,Final
3,23/10/2024,03:00,SL Benfica,Feyenoord,1-3,Final
3,23/10/2024,03:00,Red Bull Salzburgo,Dinamo Zagreb,0-2,Final
3,23/10/2024,03:00,BSC Young Boys,Inter,0-1,Final
4,05/11/2024,03:00,PSV Eindhoven,Girona FC,4-0,Final
4,05/11/2024,03:00,Slovan Bratislava,Dinamo Zagreb,1-4,Final
4,05/11/2024,03:00,Borussia Dortmund,Sturm Graz,1-0,Final
4,05/11/2024,03:00,Liverpool FC,Bayer Leverkusen,4-0,Final
4,05/11/2024,03:00,Real Madrid,AC Milan,1-3,Final
4,05/11/2024,03:00,Celtic FC,RB Leipzig,3-1,Final
4,05/11/2024,03:00,Lille OSC,Juventus,1-1,Final
4,05/11/2024,03:00,Sporting CP,Manchester City,4-1,Final
4,05/11/2024,03:00,Bologna FC,AS Monaco,0-1,Final
4,06/11/2024,03:00,Club Brugge KV,Aston Villa,1-0,Final
4,06/11/2024,03:00,Shajtar Donetsk,BSC Young Boys,2-1,Final
4,06/11/2024,03:00,Inter,Arsenal FC,1-0,Final
4,06/11/2024,03:00,Paris Saint-Germain,Atlético de Madrid,1-2,Final
4,06/11/2024,03:00,Feyenoord,Red Bull Salzburgo,1-3,Final
4,06/11/2024,03:00,Estrella Roja de Belgrado,FC Barcelona,2-5,Final
4,06/11/2024,03:00,AC Sparta Praha,Stade Brestois 29,1-2,Final
4,06/11/2024,03:00,VfB Stuttgart,Atalanta,0-2,Final
4,06/11/2024,03:00,Bayern Munich,SL Benfica,1-0,Final
5,26/11/2024,03:00,Slovan Bratislava,AC Milan,2-3,Final
5,26/11/2024,03:00,AC Sparta Praha,Atlético de Madrid,0-6,Final
5,26/11/2024,03:00,Bayern Munich,Paris Saint-Germain,1-0,Final
5,26/11/2024,03:00,FC Barcelona,Stade Brestois 29,3-0,Final
5,26/11/2024,03:00,Inter,RB Leipzig,1-0,Final
5,26/11/2024,03:00,Manchester City,Feyenoord,3-3,Final
5,26/11/2024,03:00,Bayer Leverkusen,Red Bull Salzburgo,5-0,Final
5,26/11/2024,03:00,Sporting CP,Arsenal FC,1-5,Final
5,26/11/2024,03:00,BSC Young Boys,Atalanta,1-6,Final
5,27/11/2024,03:00,Estrella Roja de Belgrado,VfB Stuttgart,5-1,Final
5,27/11/2024,03:00,Sturm Graz,Girona FC,1-0,Final
5,27/11/2024,03:00,Liverpool FC,Real Madrid,2-0,Final
5,27/11/2024,03:00,Celtic FC,Club Brugge KV,1-1,Final
5,27/11/2024,03:00,Dinamo Zagreb,Borussia Dortmund,0-3,Final
5,27/11/2024,03:00,PSV Eindhoven,Shajtar Donetsk,3-2,Final
5,27/11/2024,03:00,AS Monaco,SL Benfica,2-3,Final
5,27/11/2024,03:00,Aston Villa,Juventus,0-0,Final
5,27/11/2024,03:00,Bologna FC,Lille OSC,1-2,Final
6,10/12/2024,03:00,Dinamo Zagreb,Celtic FC,0-0,Final
6,10/12/2024,03:00,Girona FC,Liverpool FC,0-1,Final
6,10/12/2024,03:00,RB Leipzig,Aston Villa,2-3,Final
6,10/12/2024,03:00,Atalanta,Real Madrid,2-3,Final
6,10/12/2024,03:00,Bayer Leverkusen,Inter,1-0,Final
6,10/12/2024,03:00,Club Brugge KV,Sporting CP,2-1,Final
6,10/12/2024,03:00,Shajtar Donetsk,Bayern Munich,1-5,Final
6,10/12/2024,03:00,Red Bull Salzburgo,Paris Saint-Germain,0-3,Final
6,10/12/2024,03:00,Stade Brestois 29,PSV Eindhoven,1-0,Final
6,11/12/2024,03:00,Atlético de Madrid,Slovan Bratislava,3-1,Final
6,11/12/2024,03:00,Lille OSC,Sturm Graz,3-2,Final
6,11/12/2024,03:00,Borussia Dortmund,FC Barcelona,2-3,Final
6,11/12/2024,03:00,AC Milan,Estrella Roja de Belgrado,2-1,Final
6,11/12/2024,03:00,SL Benfica,Bologna FC,0-0,Final
6,11/12/2024,03:00,Arsenal FC,AS Monaco,3-0,Final
6,11/12/2024,03:00,Juventus,Manchester City,2-0,Final
6,11/12/2024,03:00,Feyenoord,AC Sparta Praha,4-2,Final
6,11/12/2024,03:00,VfB Stuttgart,BSC Young Boys,5-1,Final
7,21/01/2025,03:00,Atalanta,Sturm Graz,5-0,Final
7,21/01/2025,03:00,AS Monaco,Aston Villa,1-0,Final
7,21/01/2025,03:00,Liverpool FC,Lille OSC,2-1,Final
7,21/01/2025,03:00,Atlético de Madrid,Bayer Leverkusen,2-1,Final
7,21/01/2025,03:00,SL Benfica,FC Barcelona,4-5,Final
7,21/01/2025,03:00,Club Brugge KV,Juventus,0-0,Final
7,21/01/2025,03:00,Estrella Roja de Belgrado,PSV Eindhoven,2-3,Final
7,21/01/2025,03:00,Bologna FC,Borussia Dortmund,2-1,Final
7,21/01/2025,03:00,Slovan Bratislava,VfB Stuttgart,1-3,Final
7,22/01/2025,03:00,RB Leipzig,Sporting CP,2-1,Final
7,22/01/2025,03:00,Shajtar Donetsk,Stade Brestois 29,2-0,Final
7,22/01/2025,03:00,Paris Saint-Germain,Manchester City,4-2,Final
7,22/01/2025,03:00,Real Madrid,Red Bull Salzburgo,5-1,Final
7,22/01/2025,03:00,AC Milan,Girona FC,1-0,Final
7,22/01/2025,03:00,Arsenal FC,Dinamo Zagreb,3-0,Final
7,22/01/2025,03:00,Celtic FC,BSC Young Boys,1-0,Final
7,22/01/2025,03:00,Feyenoord,Bayern Munich,3-0,Final
7,22/01/2025,03:00,AC Sparta Praha,Inter,0-1,Final
8,29/01/2025,03:00,Bayern Munich,Slovan Bratislava,3-1,Final
8,29/01/2025,03:00,Borussia Dortmund,Shajtar Donetsk,3-1,Final
8,29/01/2025,03:00,FC Barcelona,Atalanta,2-2,Final
8,29/01/2025,03:00,Inter,AS Monaco,3-0,Final
8,29/01/2025,03:00,Manchester City,Club Brugge KV,3-1,Final
8,29/01/2025,03:00,Bayer Leverkusen,AC Sparta Praha,2-0,Final
8,29/01/2025,03:00,Juventus,SL Benfica,0-2,Final
8,29/01/2025,03:00,Dinamo Zagreb,AC Milan,2-1,Final
8,29/01/2025,03:00,Lille OSC,Feyenoord,6-1,Final
8,29/01/2025,03:00,PSV Eindhoven,Liverpool FC,3-2,Final
8,29/01/2025,03:00,Red Bull Salzburgo,Atlético de Madrid,1-4,Final
8,29/01/2025,03:00,Sporting CP,Bologna FC,1-1,Final
8,29/01/2025,03:00,BSC Young Boys,Estrella Roja de Belgrado,0-1,Final
8,29/01/2025,03:00,Aston Villa,Celtic FC,4-2,Final
8,29/01/2025,03:00,Girona FC,Arsenal FC,1-2,Final
8,29/01/2025,03:00,Stade Brestois 29,Real Madrid,0-3,Final
8,29/01/2025,03:00,Sturm Graz,RB Leipzig,1-0,Final
8,29/01/2025,03:00,VfB Stuttgart,Paris Saint-Germain,1-4,Final
8,11/02/2025,03:00,Stade Brestois 29,Paris Saint-Germain,0-3,Final
8,11/02/2025,03:00,Manchester City,Real Madrid,2-3,Final
8,11/02/2025,03:00,Juventus,PSV Eindhoven,2-1,Final
8,11/02/2025,03:00,Sporting CP,Borussia Dortmund,0-3,Final
8,12/02/2025,03:00,Club Brugge KV,Atalanta,2-1,Final
8,12/02/2025,03:00,AS Monaco,SL Benfica,0-1,Final
8,12/02/2025,03:00,Celtic FC,Bayern Munich,1-2,Final
8,12/02/2025,03:00,Feyenoord,AC Milan,1-0,Final
8,18/02/2025,03:00,AC Milan,Feyenoord,1-1,Final
8,18/02/2025,03:00,Atalanta,Club Brugge KV,1-3,Final
8,18/02/2025,03:00,SL Benfica,AS Monaco,3-3,Final
8,18/02/2025,03:00,Bayern Munich,Celtic FC,1-1,Final
8,19/02/2025,03:00,Borussia Dortmund,Sporting CP,0-0,Final
8,19/02/2025,03:00,PSV Eindhoven,Juventus,3-1,Final
8,19/02/2025,03:00,Paris Saint-Germain,Stade Brestois 29,7-0,Final
8,19/02/2025,03:00,Real Madrid,Manchester City,3-1,Final
8,04/03/2025,03:00,Club Brugge KV,Aston Villa,1-3,Final
8,04/03/2025,03:00,Real Madrid,Atlético de Madrid,2-1,Final
8,04/03/2025,03:00,PSV Eindhoven,Arsenal FC,1-7,Final
8,04/03/2025,03:00,Borussia Dortmund,Lille OSC,1-1,Final
8,05/03/2025,03:00,Feyenoord,Inter,0-2,Final
8,05/03/2025,03:00,Paris Saint-Germain,Liverpool FC,0-1,Final
8,05/03/2025,03:00,Bayern Munich,Bayer Leverkusen,3-0,Final
8,05/03/2025,03:00,SL Benfica,FC Barcelona,0-1,Final
8,11/03/2025,03:00,FC Barcelona,SL Benfica,3-1,Final
8,11/03/2025,03:00,Inter,Feyenoord,2-1,Final
8,11/03/2025,03:00,Bayer Leverkusen,Bayern Munich,0-2,Final
8,11/03/2025,03:00,Liverpool FC,Paris Saint-Germain,1-4,Final
8,12/03/2025,03:00,Lille OSC,Borussia Dortmund,1-2,Final
8,12/03/2025,03:00,Aston Villa,Club Brugge KV,3-0,Final
8,12/03/2025,03:00,Atlético de Madrid,Real Madrid,2-4,Final
8,12/03/2025,03:00,Arsenal FC,PSV Eindhoven,2-2,Final
8,08/04/2025,03:00,Arsenal FC,Real Madrid,3-0,Final
8,08/04/2025,03:00,Bayern Munich,Inter,1-2,Final
8,09/04/2025,03:00,Paris Saint-Germain,Aston Villa,3-1,Final
8,09/04/2025,03:00,FC Barcelona,Borussia Dortmund,4-0,Final
8,15/04/2025,03:00,Borussia Dortmund,FC Barcelona,3-1,Final
8,15/04/2025,03:00,Aston Villa,Paris Saint-Germain,3-2,Final
8,16/04/2025,03:00,Inter,Bayern Munich,2-2,Final
8,16/04/2025,03:00,Real Madrid,Arsenal FC,1-2,Final
8,29/04/2025,03:00,Arsenal FC,Paris Saint-Germain,0-1,Final
8,30/04/2025,03:00,FC Barcelona,Inter,3-3,Final
8,06/05/2025,03:00,Inter,FC Barcelona,4-3,Final
8,07/05/2025,03:00,Paris Saint-Germain,Arsenal FC,2-1,Final
8,31/05/2025,03:00,Paris Saint-Germain,Inter,5-0,Final
