Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
04/02/2026,,The Strongest,Deportivo Táchira,2-1
05/02/2026,,2 de Mayo,Alianza Lima,1-0
06/02/2026,,Juventud de Las Piedras,Universidad Católica,0-1
11/02/2026,,Deportivo Táchira,The Strongest,5-3
12/02/2026,,Alianza Lima,2 de Mayo,1-1
13/02/2026,,Universidad Católica,Juventud de Las Piedras,3-4
17/02/2026,,Carabobo FC,Huachipato,1-0
18/02/2026,,2 de Mayo,Sporting Cristal,2-2
18/02/2026,,Liverpool,Independiente Medellín,1-2
18/02/2026,,O'Higgins,Bahia - BA,1-0
19/02/2026,,Barcelona,Argentinos Juniors,0-1
19/02/2026,,Nacional Potosí,Botafogo - RJ,1-0
19/02/2026,,Juventud de Las Piedras,Guaraní,0-0
20/02/2026,,Deportivo Táchira,Deportes Tolima,0-1
24/02/2026,,Huachipato,Carabobo FC,1-2
25/02/2026,,Sporting Cristal,2 de Mayo,5-4
25/02/2026,,Independiente Medellín,Liverpool,0-0
25/02/2026,,Bahia - BA,O'Higgins,3-4
26/02/2026,,Argentinos Juniors,Barcelona,4-5
26/02/2026,,Botafogo - RJ,Nacional Potosí,2-0
26/02/2026,,Guaraní,Juventud de Las Piedras,1-2
27/02/2026,,Deportes Tolima,Deportivo Táchira,3-0
04/03/2026,,Barcelona,Botafogo - RJ,1-1
04/03/2026,,Carabobo FC,Sporting Cristal,0-1
05/03/2026,,O'Higgins,Deportes Tolima,1-0
06/03/2026,,Juventud de Las Piedras,Independiente Medellín,1-1
11/03/2026,,Botafogo - RJ,Barcelona,0-1
11/03/2026,,Sporting Cristal,Carabobo FC,3-2
12/03/2026,,Deportes Tolima,O'Higgins,2-0
13/03/2026,,Independiente Medellín,Juventud de Las Piedras,2-1
09/04/2026,,Independiente Medellín,Estudiantes,
09/04/2026,,Cusco FC,Flamengo RJ,
15/04/2026,,Estudiantes,Cusco FC,
17/04/2026,,Flamengo RJ,Independiente Medellín,
30/04/2026,,Estudiantes,Flamengo RJ,
01/05/2026,,Independiente Medellín,Cusco FC,
07/05/2026,,Cusco FC,Estudiantes,
08/05/2026,,Independiente Medellín,Flamengo RJ,
21/05/2026,,Flamengo RJ,Estudiantes,
21/05/2026,,Cusco FC,Independiente Medellín,
27/05/2026,,Estudiantes,Independiente Medellín,
27/05/2026,,Flamengo RJ,Cusco FC,
08/04/2026,,Deportes Tolima,Universitario de Deportes,
09/04/2026,,Coquimbo Unido,Nacional,
15/04/2026,,Nacional,Deportes Tolima,
15/04/2026,,Universitario de Deportes,Coquimbo Unido,
29/04/2026,,Deportes Tolima,Coquimbo Unido,
30/04/2026,,Universitario de Deportes,Nacional,
07/05/2026,,Deportes Tolima,Nacional,
08/05/2026,,Coquimbo Unido,Universitario de Deportes,
20/05/2026,,Coquimbo Unido,Deportes Tolima,
21/05/2026,,Nacional,Universitario de Deportes,
27/05/2026,,Universitario de Deportes,Deportes Tolima,
27/05/2026,,Nacional,Coquimbo Unido,
08/04/2026,,Independiente Rivadavia,Bolívar,
08/04/2026,,Deportivo La Guaira,Fluminense RJ,
15/04/2026,,Bolívar,Deportivo La Guaira,
16/04/2026,,Fluminense RJ,Independiente Rivadavia,
01/05/2026,,Bolívar,Fluminense RJ,
01/05/2026,,Independiente Rivadavia,Deportivo La Guaira,
07/05/2026,,Deportivo La Guaira,Bolívar,
07/05/2026,,Independiente Rivadavia,Fluminense RJ,
20/05/2026,,Fluminense RJ,Bolívar,
22/05/2026,,Deportivo La Guaira,Independiente Rivadavia,
28/05/2026,,Bolívar,Independiente Rivadavia,
28/05/2026,,Fluminense RJ,Deportivo La Guaira,
08/04/2026,,Barcelona,Cruzeiro,
08/04/2026,,Universidad Católica,Boca Juniors,
15/04/2026,,Boca Juniors,Barcelona,
16/04/2026,,Cruzeiro,Universidad Católica,
29/04/2026,,Cruzeiro,Boca Juniors,
30/04/2026,,Barcelona,Universidad Católica,
06/05/2026,,Barcelona,Boca Juniors,
07/05/2026,,Universidad Católica,Cruzeiro,
20/05/2026,,Boca Juniors,Cruzeiro,
22/05/2026,,Universidad Católica,Barcelona,
29/05/2026,,Cruzeiro,Barcelona,
29/05/2026,,Boca Juniors,Universidad Católica,
10/04/2026,,Platense,Corinthians SP,
10/04/2026,,Santa Fe,Peñarol,
16/04/2026,,Corinthians SP,Santa Fe,
17/04/2026,,Peñarol,Platense,
30/04/2026,,Platense,Santa Fe,
01/05/2026,,Corinthians SP,Peñarol,
07/05/2026,,Santa Fe,Corinthians SP,
08/05/2026,,Platense,Peñarol,
20/05/2026,,Santa Fe,Platense,
22/05/2026,,Peñarol,Corinthians SP,
