matchday,date,time,home_team,away_team,result,status
1,15/08/2025,10:00,Ratchaburi FC,Kanchanaburi Power FC,1-1,Final
1,16/08/2025,10:00,PT Prachuap FC,BG Pathum United,2-2,Final
1,16/08/2025,10:00,Nakhon Ratchasima,Chonburi FC,0-0,Final
1,16/08/2025,10:00,Lamphun Warriors,Buriram United,2-3,Final
1,16/08/2025,10:00,Muangthong United,Sukhothai FC,1-0,Final
1,17/08/2025,10:00,Uthai Thani FC,Chiangrai United,1-1,Final
1,17/08/2025,10:00,Port FC,Ayutthaya United,3-1,Final
1,17/08/2025,10:00,Bangkok United,Rayong FC,3-2,Final
2,22/08/2025,10:00,Rayong FC,Nakhon Ratchasima,1-2,Final
2,23/08/2025,10:00,Chiangrai United,PT Prachuap FC,2-1,Final
2,23/08/2025,10:00,Ayutthaya United,Muangthong United,2-2,Final
2,23/08/2025,10:00,Chonburi FC,Ratchaburi FC,0-1,Final
2,23/08/2025,10:00,BG Pathum United,Lamphun Warriors,2-1,Final
2,24/08/2025,10:00,Kanchanaburi Power FC,Bangkok United,3-3,Final
2,24/08/2025,10:00,Sukhothai FC,Port FC,1-0,Final
2,24/08/2025,10:00,Buriram United,Uthai Thani FC,5-1,Final
3,29/08/2025,10:00,Uthai Thani FC,Ayutthaya United,1-4,Final
3,30/08/2025,10:00,Nakhon Ratchasima,Ratchaburi FC,0-2,Final
3,30/08/2025,10:00,Lamphun Warriors,Chonburi FC,2-2,Final
3,30/08/2025,10:00,Bangkok United,BG Pathum United,2-1,Final
3,30/08/2025,10:00,Port FC,Rayong FC,1-1,Final
3,31/08/2025,10:00,Chiangrai United,Buriram United,1-2,Final
3,31/08/2025,10:00,PT Prachuap FC,Sukhothai FC,0-0,Final
3,31/08/2025,10:00,Muangthong United,Kanchanaburi Power FC,2-0,Final
4,12/09/2025,10:00,Buriram United,PT Prachuap FC,2-0,Final
4,12/09/2025,10:00,Uthai Thani FC,BG Pathum United,0-1,Final
4,13/09/2025,10:00,Chonburi FC,Bangkok United,0-1,Final
4,13/09/2025,10:00,Sukhothai FC,Lamphun Warriors,1-2,Final
4,13/09/2025,10:00,Ratchaburi FC,Port FC,1-0,Final
4,14/09/2025,10:00,Rayong FC,Muangthong United,2-0,Final
4,14/09/2025,10:00,Ayutthaya United,Chiangrai United,1-1,Final
4,14/09/2025,10:00,Kanchanaburi Power FC,Nakhon Ratchasima,0-0,Final
5,19/09/2025,10:00,Port FC,Chonburi FC,3-0,Final
5,20/09/2025,10:00,Lamphun Warriors,Nakhon Ratchasima,2-2,Final
5,20/09/2025,10:00,Uthai Thani FC,Sukhothai FC,1-1,Final
5,20/09/2025,10:00,PT Prachuap FC,Kanchanaburi Power FC,2-0,Final
5,21/09/2025,10:00,Chiangrai United,BG Pathum United,1-0,Final
5,21/09/2025,10:00,Muangthong United,Ratchaburi FC,1-3,Final
5,21/09/2025,10:00,Rayong FC,Ayutthaya United,2-2,Final
5,21/09/2025,10:00,Bangkok United,Buriram United,1-2,Final
6,26/09/2025,10:00,Sukhothai FC,Chiangrai United,1-1,Final
6,27/09/2025,10:00,Ayutthaya United,Buriram United,1-4,Final
6,27/09/2025,10:00,Rayong FC,Uthai Thani FC,2-1,Final
6,27/09/2025,10:00,Chonburi FC,PT Prachuap FC,1-1,Final
6,27/09/2025,10:00,Kanchanaburi Power FC,Lamphun Warriors,4-0,Final
6,28/09/2025,10:00,Ratchaburi FC,Bangkok United,0-1,Final
6,28/09/2025,10:00,Nakhon Ratchasima,Muangthong United,1-1,Final
6,28/09/2025,10:00,BG Pathum United,Port FC,2-0,Final
7,03/10/2025,10:00,Lamphun Warriors,Muangthong United,2-2,Final
7,04/10/2025,10:00,Chiangrai United,Rayong FC,0-1,Final
7,04/10/2025,10:00,Uthai Thani FC,Chonburi FC,1-1,Final
7,04/10/2025,10:00,Port FC,Kanchanaburi Power FC,8-0,Final
