matchday,date,time,home_team,away_team,result,status
1,23/01/2026,15:30,Real Santander,Real Cartagena,0-1,Final
1,24/01/2026,17:00,Barranquilla,Orsomarso,1-2,Final
1,25/01/2026,16:00,Internacional Palmira,Patriotas,3-1,Final
1,25/01/2026,16:00,Ind. Yumbo,Depor FC,1-1,Final
1,26/01/2026,14:00,Leones FC,Tigres FC,0-0,Final
1,26/01/2026,16:00,Popayan,Quindio,0-1,Final
1,26/01/2026,17:00,Real Soacha,Envigado,0-2,Final
1,26/01/2026,18:00,Union Magdalena,Bogota FC,0-0,Final
2,30/01/2026,15:00,Bogota FC,Internacional Palmira,1-2,Final
2,30/01/2026,15:00,Depor FC,Barranquilla,0-2,Final
2,30/01/2026,17:00,Patriotas,Real Santander,2-0,Final
2,30/01/2026,19:30,Real Cartagena,Real Soacha,1-0,Final
2,31/01/2026,14:00,Envigado,Ind. Yumbo,2-0,Final
2,31/01/2026,20:30,Orsomarso,Union Magdalena,0-1,Final
2,01/02/2026,15:00,Tigres FC,Popayan,2-0,Final
2,01/02/2026,15:00,Quindio,Leones FC,3-0,Final
3,03/02/2026,19:45,Barranquilla,Patriotas,2-0,Final
3,04/02/2026,15:00,Tigres FC,Orsomarso,0-1,Final
3,04/02/2026,15:00,Real Santander,Depor FC,1-1,Final
3,04/02/2026,17:30,Internacional Palmira,Quindio,1-2,Final
3,04/02/2026,18:00,Ind. Yumbo,Real Cartagena,1-1,Final
3,05/02/2026,15:00,Popayan,Real Soacha,1-1,Final
3,05/02/2026,17:30,Leones FC,Bogota FC,1-1,Final
4,08/02/2026,17:30,Real Soacha,Leones FC,2-0,Final
4,09/02/2026,14:00,Envigado,Tigres FC,0-0,Final
4,09/02/2026,15:00,Depor FC,Internacional Palmira,0-1,Final
4,09/02/2026,16:00,Union Magdalena,Popayan,0-2,Final
4,09/02/2026,16:05,Bogota FC,Real Cartagena,0-1,Final
4,09/02/2026,18:10,Orsomarso,Patriotas,0-0,Final
4,09/02/2026,20:15,Quindio,Ind. Yumbo,0-0,Final
5,13/02/2026,17:30,Real Cartagena,Depor FC,4-1,Final
5,14/02/2026,14:00,Patriotas,Bogota FC,0-1,Final
5,14/02/2026,15:00,Real Santander,Real Soacha,2-1,Final
5,14/02/2026,17:00,Leones FC,Union Magdalena,1-3,Final
5,14/02/2026,17:00,Internacional Palmira,Envigado,2-1,Final
5,16/02/2026,15:00,Tigres FC,Ind. Yumbo,1-3,Final
5,16/02/2026,19:30,Quindio,Barranquilla,1-0,Final
5,17/02/2026,20:10,Popayan,Orsomarso,2-2,Final
6,20/02/2026,16:00,Depor FC,Patriotas,1-1,Final
6,21/02/2026,17:00,Real Cartagena,Leones FC,2-3,Final
6,21/02/2026,17:00,Barranquilla,Internacional Palmira,0-4,Final
6,22/02/2026,15:00,Bogota FC,Popayan,2-1,Final
6,22/02/2026,15:00,Real Soacha,Orsomarso,1-0,Final
6,23/02/2026,19:00,Ind. Yumbo,Real Santander,1-1,Final
6,24/02/2026,15:30,Envigado,Quindio,1-2,Final
6,24/02/2026,16:00,Union Magdalena,Tigres FC,3-1,Final
7,26/02/2026,17:00,Popayan,Barranquilla,0-2,Final
7,27/02/2026,15:00,Leones FC,Ind. Yumbo,0-2,Final
7,27/02/2026,15:00,Bogota FC,Depor FC,1-0,Final
7,28/02/2026,14:00,Quindio,Union Magdalena,1-2,Final
7,28/02/2026,16:00,Patriotas,Real Soacha,1-0,Final
7,28/02/2026,17:00,Internacional Palmira,Real Santander,1-0,Final
7,01/03/2026,17:00,Orsomarso,Envigado,0-1,Final
7,02/03/2026,19:00,Tigres FC,Real Cartagena,0-0,Final
8,03/03/2026,15:00,Depor FC,Leones FC,0-0,Final
8,04/03/2026,16:00,Barranquilla,Union Magdalena,1-3,Final
8,04/03/2026,18:00,Ind. Yumbo,Bogota FC,1-1,Final
8,05/03/2026,15:00,Envigado,Popayan,1-0,Final
8,05/03/2026,15:00,Real Santander,Quindio,1-2,Final
8,05/03/2026,16:00,Real Soacha,Internacional Palmira,2-2,Final
8,06/03/2026,15:00,Tigres FC,Patriotas,1-1,Final
8,06/03/2026,18:00,Real Cartagena,Orsomarso,4-0,Final
9,10/03/2026,15:00,Real Santander,Popayan,1-1,Final
9,10/03/2026,19:00,Real Cartagena,Internacional Palmira,2-2,Final
9,11/03/2026,15:00,Bogota FC,Tigres FC,0-1,Final
9,11/03/2026,15:30,Leones FC,Envigado,0-3,Final
9,11/03/2026,17:00,Union Magdalena,Real Soacha,1-1,Final
9,11/03/2026,17:45,Depor FC,Orsomarso,1-1,Final
9,11/03/2026,18:00,Ind. Yumbo,Barranquilla,1-0,Final
9,11/03/2026,20:00,Patriotas,Quindio,0-0,Final
10,14/03/2026,15:30,Popayan,Leones FC,2-1,Final
10,15/03/2026,17:00,Orsomarso,Real Santander,2-0,Final
10,16/03/2026,14:00,Tigres FC,Depor FC,2-1,Final
10,16/03/2026,16:00,Union Magdalena,Patriotas,2-1,Final
10,16/03/2026,16:05,Envigado,Real Cartagena,1-1,Final
10,16/03/2026,17:30,Barranquilla,Bogota FC,1-1,Final
10,16/03/2026,18:15,Internacional Palmira,Ind. Yumbo,1-0,Final
10,16/03/2026,20:20,Quindio,Real Soacha,0-0,Final
11,20/03/2026,15:00,Bogota FC,Quindio,0-2,Final
11,20/03/2026,19:00,Leones FC,Internacional Palmira,1-2,Final
11,21/03/2026,14:00,Patriotas,Popayan,3-3,Final
11,21/03/2026,15:00,Real Santander,Tigres FC,1-1,Final
11,21/03/2026,16:00,Real Soacha,Barranquilla,2-2,Final
11,21/03/2026,17:00,Orsomarso,Ind. Yumbo,2-0,Final
11,22/03/2026,20:30,Real Cartagena,Union Magdalena,2-1,Final
12,25/03/2026,15:00,Envigado,Bogota FC,1-2,Final
12,25/03/2026,17:00,Barranquilla,Leones FC,3-0,Final
12,25/03/2026,18:00,Real Soacha,Depor FC,1-2,Final
12,26/03/2026,16:00,Union Magdalena,Real Santander,2-0,Final
12,26/03/2026,17:00,Internacional Palmira,Tigres FC,2-1,Final
12,26/03/2026,18:00,Ind. Yumbo,Patriotas,2-1,Final
12,26/03/2026,19:00,Quindio,Orsomarso,2-2,Final
12,27/03/2026,15:00,Popayan,Real Cartagena,1-1,Final
13,30/03/2026,15:00,Ind. Yumbo,Union Magdalena,0-2,Final
13,30/03/2026,19:00,Orsomarso,Internacional Palmira,1-2,Final
13,31/03/2026,15:00,Tigres FC,Barranquilla,3-1,Final
13,31/03/2026,15:00,Real Santander,Envigado,1-3,Final
13,31/03/2026,17:45,Depor FC,Popayan,1-1,Final
13,31/03/2026,19:00,Real Cartagena,Quindio,2-1,Final
13,01/04/2026,15:00,Bogota FC,Real Soacha,2-2,Final
13,01/04/2026,16:00,Patriotas,Leones FC,1-0,Final
11,06/04/2026,18:00,Depor FC,Envigado,,
14,07/04/2026,15:00,Popayan,Ind. Yumbo,,
4,07/04/2026,19:30,Barranquilla,Real Santander,,
3,09/04/2026,16:00,Union Magdalena,Envigado,,
14,11/04/2026,14:00,Real Soacha,Tigres FC,,
14,12/04/2026,15:00,Bogota FC,Orsomarso,,
14,12/04/2026,17:00,Leones FC,Real Santander,,
14,12/04/2026,17:00,Quindio,Depor FC,,
14,13/04/2026,16:00,Union Magdalena,Internacional Palmira,,
14,13/04/2026,18:05,Patriotas,Real Cartagena,,
14,13/04/2026,20:10,Barranquilla,Envigado,,
15,18/04/2026,15:30,Envigado,Patriotas,,
15,18/04/2026,15:30,Tigres FC,Quindio,,
15,18/04/2026,15:30,Real Cartagena,Barranquilla,,
15,18/04/2026,15:30,Real Santander,Bogota FC,,
15,18/04/2026,15:30,Depor FC,Union Magdalena,,
15,18/04/2026,15:30,Orsomarso,Leones FC,,
15,18/04/2026,15:30,Internacional Palmira,Popayan,,
15,18/04/2026,15:30,Ind. Yumbo,Real Soacha,,
