Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
07/03/2026,1,Lexington SC,Louisville City FC,1-2
08/03/2026,1,Charleston Battery,Pittsburgh Riverhounds,2-1
08/03/2026,1,Sporting JAX,Hartford Athletic,0-3
08/03/2026,1,Birmingham Legion,Tampa Bay Rowdies,0-1
08/03/2026,1,San Antonio FC,Phoenix Rising,2-1
08/03/2026,1,El Paso Locomotive,Colorado Springs Switchbacks,2-2
08/03/2026,1,Monterey Bay FC,Oakland Roots,0-1
08/03/2026,1,Sacramento Republic,FC Tulsa,2-0
08/03/2026,1,Brooklyn FC,Indy Eleven,1-0
15/10/2026,1,Rhode Island FC,Loudoun United,
11/03/2026,2,Birmingham Legion,Hartford Athletic,0-0
14/03/2026,2,Loudoun United,Pittsburgh Riverhounds,2-3
14/03/2026,2,Detroit City FC,Brooklyn FC,3-0
14/03/2026,2,Louisville City FC,Miami FC,4-1
14/03/2026,2,Rhode Island FC,Sporting JAX,1-1
14/03/2026,2,Colorado Springs Switchbacks,Las Vegas Lights FC,3-2
15/03/2026,2,Lexington SC,Sacramento Republic,0-0
15/03/2026,2,FC Tulsa,San Antonio FC,0-0
15/03/2026,2,Oakland Roots,New Mexico United,2-1
15/03/2026,2,Phoenix Rising,Orange County SC,1-1
15/03/2026,2,Monterey Bay FC,El Paso Locomotive,0-3
21/03/2026,3,Loudoun United,Miami FC,0-0
21/03/2026,3,Louisville City FC,Rhode Island FC,4-2
22/03/2026,3,Indy Eleven,Detroit City FC,2-1
22/03/2026,3,Brooklyn FC,Hartford Athletic,1-2
22/03/2026,3,Charleston Battery,Birmingham Legion,3-2
22/03/2026,3,Tampa Bay Rowdies,Pittsburgh Riverhounds,3-0
22/03/2026,3,FC Tulsa,Las Vegas Lights FC,3-2
22/03/2026,3,San Antonio FC,New Mexico United,1-0
22/03/2026,3,Orange County SC,En vivo,0-0
22/03/2026,3,Phoenix Rising,En vivo,0-2
22/03/2026,3,Sacramento Republic,En vivo,0-0
26/03/2026,4,Lexington SC,Brooklyn FC,
26/03/2026,4,Sporting JAX,Miami FC,
28/03/2026,4,New Mexico United,Colorado Springs Switchbacks,
28/03/2026,4,Detroit City FC,Charleston Battery,
28/03/2026,4,Hartford Athletic,Indy Eleven,
29/03/2026,4,Miami FC,Rhode Island FC,
29/03/2026,4,Pittsburgh Riverhounds,Sporting JAX,
29/03/2026,4,Brooklyn FC,Louisville City FC,
29/03/2026,4,Tampa Bay Rowdies,Loudoun United,
29/03/2026,4,FC Tulsa,Phoenix Rising,
