matchday,date,time,home_team,away_team,result,status
1,07/03/2026,03:00,Lexington SC,Louisville City FC,1-2,Final
1,08/03/2026,03:00,Charleston Battery,Pittsburgh Riverhounds,2-1,Final
1,08/03/2026,03:00,Sporting JAX,Hartford Athletic,0-3,Final
1,08/03/2026,03:00,Birmingham Legion,Tampa Bay Rowdies,0-1,Final
1,08/03/2026,03:00,San Antonio FC,Phoenix Rising,2-1,Final
1,08/03/2026,03:00,El Paso Locomotive,Colorado Springs Switchbacks,2-2,Final
1,08/03/2026,03:00,Monterey Bay FC,Oakland Roots,0-1,Final
1,08/03/2026,03:00,Sacramento Republic,FC Tulsa,2-0,Final
1,08/03/2026,03:00,Brooklyn FC,Indy Eleven,1-0,Final
2,11/03/2026,03:00,Birmingham Legion,Hartford Athletic,0-0,Final
2,14/03/2026,03:00,Loudoun United,Pittsburgh Riverhounds,2-3,Final
2,14/03/2026,03:00,Detroit City FC,Brooklyn FC,3-0,Final
2,14/03/2026,03:00,Louisville City FC,Miami FC,4-1,Final
2,14/03/2026,03:00,Rhode Island FC,Sporting JAX,1-1,Final
2,14/03/2026,03:00,Colorado Springs Switchbacks,Las Vegas Lights FC,3-2,Final
2,15/03/2026,03:00,Lexington SC,Sacramento Republic,0-0,Final
2,15/03/2026,03:00,FC Tulsa,San Antonio FC,0-0,Final
2,15/03/2026,03:00,Oakland Roots,New Mexico United,2-1,Final
2,15/03/2026,03:00,Phoenix Rising,Orange County SC,1-1,Final
2,15/03/2026,03:00,Monterey Bay FC,El Paso Locomotive,0-3,Final
3,21/03/2026,03:00,Loudoun United,Miami FC,0-0,Final
3,21/03/2026,03:00,Louisville City FC,Rhode Island FC,4-2,Final
3,22/03/2026,03:00,Indy Eleven,Detroit City FC,2-1,Final
3,22/03/2026,03:00,Brooklyn FC,Hartford Athletic,1-2,Final
3,22/03/2026,03:00,Charleston Battery,Birmingham Legion,3-2,Final
3,22/03/2026,03:00,Tampa Bay Rowdies,Pittsburgh Riverhounds,3-0,Final
3,22/03/2026,03:00,FC Tulsa,Las Vegas Lights FC,3-2,Final
3,22/03/2026,03:00,San Antonio FC,New Mexico United,1-0,Final
