matchday,date,time,home_team,away_team,result,status
1,08/09/2026,11:45,Club Brugge KV,Aston Villa,,
1,08/09/2026,11:45,AEK Athen,LASK,,
1,08/09/2026,14:00,Real Madrid,Inter,,
1,08/09/2026,14:00,FC Porto,Manchester City,,
1,08/09/2026,14:00,Borussia Dortmund,Villarreal CF,,
1,08/09/2026,14:00,Lille OSC,Real Betis,,
1,09/09/2026,11:45,FC Barcelona,Feyenoord,,
1,09/09/2026,11:45,VfB Stuttgart,Viking FK,,
1,09/09/2026,14:00,Liverpool FC,Atlético de Madrid,,
1,09/09/2026,14:00,Paris Saint-Germain,Slovan Bratislava,,
1,09/09/2026,14:00,SSC Napoli,Arsenal FC,,
1,09/09/2026,14:00,Sporting CP,Galatasaray,,
1,10/09/2026,11:45,Fenerbahçe,AS Roma,,
1,10/09/2026,11:45,PSV Eindhoven,Shajtar Donetsk,,
1,10/09/2026,14:00,Bayern Munich,FK Bodø/Glimt,,
1,10/09/2026,14:00,Manchester United,Sabah FK,,
1,10/09/2026,14:00,Como 1907,RB Leipzig,,
1,10/09/2026,14:00,Slavia Praha,RC Lens,,
2,13/10/2026,11:45,RC Lens,Sporting CP,,
2,13/10/2026,11:45,Sabah FK,Slavia Praha,,
2,13/10/2026,14:00,Inter,Club Brugge KV,,
2,13/10/2026,14:00,Galatasaray,FC Barcelona,,
2,13/10/2026,14:00,Atlético de Madrid,Manchester United,,
2,13/10/2026,14:00,Arsenal FC,Lille OSC,,
2,13/10/2026,14:00,Viking FK,Bayern Munich,,
2,13/10/2026,14:00,RB Leipzig,PSV Eindhoven,,
2,13/10/2026,14:00,Villarreal CF,SSC Napoli,,
2,14/10/2026,11:45,LASK,Liverpool FC,,
2,14/10/2026,11:45,Feyenoord,Como 1907,,
2,14/10/2026,14:00,AS Roma,Real Madrid,,
2,14/10/2026,14:00,Manchester City,Paris Saint-Germain,,
2,14/10/2026,14:00,FK Bodø/Glimt,Borussia Dortmund,,
2,14/10/2026,14:00,Aston Villa,Fenerbahçe,,
2,14/10/2026,14:00,Real Betis,FC Porto,,
2,14/10/2026,14:00,Shajtar Donetsk,AEK Athen,,
2,14/10/2026,14:00,Slovan Bratislava,VfB Stuttgart,,
3,20/10/2026,11:45,Sabah FK,Borussia Dortmund,,
3,20/10/2026,11:45,Fenerbahçe,Slavia Praha,,
3,20/10/2026,14:00,Manchester City,AEK Athen,,
3,20/10/2026,14:00,VfB Stuttgart,Atlético de Madrid,,
3,20/10/2026,14:00,Liverpool FC,Villarreal CF,,
3,20/10/2026,14:00,AS Roma,Slovan Bratislava,,
3,20/10/2026,14:00,FC Porto,PSV Eindhoven,,
3,20/10/2026,14:00,SSC Napoli,FK Bodø/Glimt,,
3,20/10/2026,14:00,Paris Saint-Germain,FC Barcelona,,
3,21/10/2026,11:45,Como 1907,Manchester United,,
