matchday,date,time,home_team,away_team,result,status
1,07/07/2026,03:00,Sabah FK,The New Saints,2-0,Final
1,07/07/2026,03:00,Lincoln Red Imps,Inter Club d’Escaldes,3-1,Final
1,07/07/2026,03:00,FC Ararat-Armenia,Riga FC,2-0,Final
1,07/07/2026,03:00,Kauno Žalgiris,KF Drita,1-1,Final
1,07/07/2026,03:00,Vardar Skopje,Kuopion PS,0-2,Final
1,07/07/2026,03:00,Floriana FC,Shamrock Rovers,2-0,Final
1,07/07/2026,03:00,SP Tre Fiori,Larne FC,0-1,Final
1,07/07/2026,03:00,Borac Banja Luka,Levski Sofia,1-1,Final
1,07/07/2026,03:00,KÍ Klaksvík,FC Atert Bissen,2-1,Final
1,07/07/2026,03:00,Víkingur Reykjavík,Győri ETO FC,1-0,Final
1,08/07/2026,03:00,FK Kairat,FK Sutjeska,2-1,Final
1,08/07/2026,03:00,FC Flora,FC Iberia 1999,2-3,Final
1,08/07/2026,03:00,FK Maxline Vitebsk,CS Universitatea Craiova,1-4,Final
1,08/07/2026,03:00,CS Petrocub,Egnatia Rrogozhine,1-1,Final
2,14/07/2026,10:00,Kuopion PS,Vardar Skopje,,
2,14/07/2026,11:00,FC Iberia 1999,FC Flora,,
2,14/07/2026,11:00,Inter Club d’Escaldes,Lincoln Red Imps,,
2,14/07/2026,12:00,Riga FC,FC Ararat-Armenia,,
2,14/07/2026,12:00,Győri ETO FC,Víkingur Reykjavík,,
2,14/07/2026,12:30,The New Saints,Sabah FK,,
2,14/07/2026,12:30,Levski Sofia,Borac Banja Luka,,
2,14/07/2026,13:00,KF Drita,Kauno Žalgiris,,
2,14/07/2026,14:00,Shamrock Rovers,Floriana FC,,
2,14/07/2026,14:00,Larne FC,SP Tre Fiori,,
2,15/07/2026,12:30,CS Universitatea Craiova,FK Maxline Vitebsk,,
2,15/07/2026,13:15,FC Atert Bissen,KÍ Klaksvík,,
2,15/07/2026,14:00,Egnatia Rrogozhine,CS Petrocub,,
2,15/07/2026,14:00,FK Sutjeska,FK Kairat,,
3,21/07/2026,03:00,Mjällby AIF,Lincoln Red Imps / IC d'Escaldes,,
3,21/07/2026,03:00,Tre Fiori / Larne,Estrella Roja de Belgrado,,
3,21/07/2026,03:00,Sabah / The New Saints,Vardar / Kuopion PS,,
3,21/07/2026,03:00,Klaksvík / Atert Bissen,Kauno Žalgiris / Drita,,
3,21/07/2026,03:00,Aarhus GF,Lech Poznań,,
3,21/07/2026,03:00,Ararat-Armenia / Riga FC,Floriana / Shamrock,,
3,21/07/2026,03:00,Borac / Levski Sofia,ML Vitebsk / Uni. Craiova,,
3,21/07/2026,03:00,Omonia Nikosia,Kairat / Sutjeska,,
3,21/07/2026,03:00,FC Thun Berner Oberland,Dinamo Zagreb,,
3,21/07/2026,03:00,Víkingur Reykjavík / Győr,Hapoel Be'er Sheva,,
3,21/07/2026,03:00,Flora / Iberia 1999,Slovan Bratislava,,
3,21/07/2026,03:00,Petrocub / Egnatia,NK Celje,,
3,21/07/2026,03:00,Fenerbahçe,Górnik Zabrze,,
3,21/07/2026,03:00,Sturm Graz,Heart of Midlothian,,
4,28/07/2026,03:00,Lincoln Red Imps / IC d'Escaldes,Mjällby AIF,,
4,28/07/2026,03:00,Estrella Roja de Belgrado,Tre Fiori / Larne,,
4,28/07/2026,03:00,Vardar / Kuopion PS,Sabah / The New Saints,,
4,28/07/2026,03:00,Kauno Žalgiris / Drita,Klaksvík / Atert Bissen,,
4,28/07/2026,03:00,Lech Poznań,Aarhus GF,,
4,28/07/2026,03:00,Floriana / Shamrock,Ararat-Armenia / Riga FC,,
4,28/07/2026,03:00,ML Vitebsk / Uni. Craiova,Borac / Levski Sofia,,
4,28/07/2026,03:00,Kairat / Sutjeska,Omonia Nikosia,,
4,28/07/2026,03:00,Dinamo Zagreb,FC Thun Berner Oberland,,
4,28/07/2026,03:00,Hapoel Be'er Sheva,Víkingur Reykjavík / Győr,,
4,28/07/2026,03:00,Slovan Bratislava,Flora / Iberia 1999,,
4,28/07/2026,03:00,NK Celje,Petrocub / Egnatia,,
4,28/07/2026,03:00,Górnik Zabrze,Fenerbahçe,,
4,28/07/2026,03:00,Heart of Midlothian,Sturm Graz,,
