matchday,date,time,home_team,away_team,result,status
1,15/10/2026,11:45,Hajduk Split,AFC Ajax,,
1,15/10/2026,11:45,CSKA Sofia,AS Monaco,,
1,15/10/2026,11:45,Egnatia Rrogozhine,FC Midtjylland,,
1,15/10/2026,11:45,FC Lugano,Estrella Roja de Belgrado,,
1,15/10/2026,11:45,KAA Gent,Aarhus GF,,
1,15/10/2026,11:45,Panathinaikos,Borac Banja Luka,,
1,15/10/2026,11:45,Riga FC,FK Kairat,,
1,15/10/2026,11:45,Kuopion PS,Trabzonspor,,
1,15/10/2026,11:45,CS Universitatea Craiova,Getafe CF,,
1,15/10/2026,11:45,Mjällby AIF,Inter Club d’Escaldes,,
1,15/10/2026,14:00,Atalanta,Pafos FC,,
1,15/10/2026,14:00,FC København,Sporting Braga,,
1,15/10/2026,14:00,SC Friburgo,FK Jablonec,,
1,15/10/2026,14:00,Brighton & Hove Albion,Kauno Žalgiris,,
1,15/10/2026,14:00,Sint-Truidense VV,FC Iberia 1999,,
1,15/10/2026,14:00,SK Brann,Lincoln Red Imps,,
1,15/10/2026,14:00,Heart of Midlothian,FC Nordsjælland,,
1,15/10/2026,14:00,FC Twente,FC Thun Berner Oberland,,
2,22/10/2026,09:30,FK Kairat,Panathinaikos,,
2,22/10/2026,11:45,Estrella Roja de Belgrado,FC København,,
2,22/10/2026,11:45,Pafos FC,Riga FC,,
2,22/10/2026,11:45,FK Jablonec,Brighton & Hove Albion,,
2,22/10/2026,11:45,Kauno Žalgiris,SK Brann,,
2,22/10/2026,11:45,Trabzonspor,Heart of Midlothian,,
2,22/10/2026,11:45,Inter Club d’Escaldes,CS Universitatea Craiova,,
2,22/10/2026,11:45,FC Nordsjælland,CSKA Sofia,,
2,22/10/2026,11:45,FC Iberia 1999,Mjällby AIF,,
2,22/10/2026,11:45,Getafe CF,FC Lugano,,
2,22/10/2026,14:00,AFC Ajax,Atalanta,,
2,22/10/2026,14:00,Sporting Braga,KAA Gent,,
2,22/10/2026,14:00,AS Monaco,SC Friburgo,,
2,22/10/2026,14:00,FC Midtjylland,Sint-Truidense VV,,
2,22/10/2026,14:00,FC Thun Berner Oberland,Hajduk Split,,
2,22/10/2026,14:00,Aarhus GF,Egnatia Rrogozhine,,
2,22/10/2026,14:00,Borac Banja Luka,Kuopion PS,,
2,22/10/2026,14:00,Lincoln Red Imps,FC Twente,,
3,05/11/2026,11:45,Atalanta,FK Kairat,,
3,05/11/2026,11:45,Aarhus GF,Sporting Braga,,
3,05/11/2026,11:45,FC Midtjylland,AFC Ajax,,
3,05/11/2026,11:45,Trabzonspor,SC Friburgo,,
3,05/11/2026,11:45,Estrella Roja de Belgrado,Inter Club d’Escaldes,,
3,05/11/2026,11:45,Kuopion PS,KAA Gent,,
3,05/11/2026,11:45,FC Thun Berner Oberland,Heart of Midlothian,,
3,05/11/2026,11:45,Lincoln Red Imps,Hajduk Split,,
3,05/11/2026,11:45,Mjällby AIF,Borac Banja Luka,,
3,05/11/2026,14:00,AS Monaco,FC Nordsjælland,,
3,05/11/2026,14:00,FC København,FC Iberia 1999,,
3,05/11/2026,14:00,Panathinaikos,CSKA Sofia,,
3,05/11/2026,14:00,FC Twente,Pafos FC,,
3,05/11/2026,14:00,Getafe CF,Brighton & Hove Albion,,
3,05/11/2026,14:00,Sint-Truidense VV,SK Brann,,
3,05/11/2026,14:00,CS Universitatea Craiova,Egnatia Rrogozhine,,
3,05/11/2026,14:00,FC Lugano,Kauno Žalgiris,,
3,05/11/2026,14:00,Riga FC,FK Jablonec,,
4,26/11/2026,09:30,FK Kairat,Mjällby AIF,,
4,26/11/2026,11:45,AFC Ajax,FC Thun Berner Oberland,,
4,26/11/2026,11:45,Heart of Midlothian,AS Monaco,,
4,26/11/2026,11:45,Pafos FC,FC Midtjylland,,
4,26/11/2026,11:45,Brighton & Hove Albion,CS Universitatea Craiova,,
4,26/11/2026,11:45,SK Brann,Aarhus GF,,
4,26/11/2026,11:45,Kauno Žalgiris,Riga FC,,
4,26/11/2026,11:45,FK Jablonec,FC Lugano,,
4,26/11/2026,11:45,FC Iberia 1999,Getafe CF,,
4,26/11/2026,11:45,Egnatia Rrogozhine,Lincoln Red Imps,,
4,26/11/2026,14:00,Borac Banja Luka,Atalanta,,
4,26/11/2026,14:00,Sporting Braga,Kuopion PS,,
4,26/11/2026,14:00,SC Friburgo,FC Twente,,
4,26/11/2026,14:00,Inter Club d’Escaldes,FC København,,
4,26/11/2026,14:00,KAA Gent,Estrella Roja de Belgrado,,
4,26/11/2026,14:00,FC Nordsjælland,Panathinaikos,,
4,26/11/2026,14:00,Hajduk Split,Sint-Truidense VV,,
4,26/11/2026,14:00,CSKA Sofia,Trabzonspor,,
5,10/12/2026,09:30,FK Kairat,CS Universitatea Craiova,,
5,10/12/2026,11:45,Riga FC,Atalanta,,
5,10/12/2026,11:45,SK Brann,Sporting Braga,,
5,10/12/2026,11:45,SC Friburgo,Panathinaikos,,
5,10/12/2026,11:45,FC København,FC Lugano,,
5,10/12/2026,11:45,Lincoln Red Imps,FC Midtjylland,,
5,10/12/2026,11:45,FC Iberia 1999,Estrella Roja de Belgrado,,
5,10/12/2026,11:45,Trabzonspor,FK Jablonec,,
5,10/12/2026,11:45,Getafe CF,Inter Club d’Escaldes,,
5,10/12/2026,11:45,Kuopion PS,CSKA Sofia,,
5,10/12/2026,14:00,Sint-Truidense VV,AFC Ajax,,
5,10/12/2026,14:00,Brighton & Hove Albion,AS Monaco,,
5,10/12/2026,14:00,FC Thun Berner Oberland,KAA Gent,,
5,10/12/2026,14:00,Mjällby AIF,Pafos FC,,
5,10/12/2026,14:00,Heart of Midlothian,Borac Banja Luka,,
5,10/12/2026,14:00,Hajduk Split,FC Nordsjælland,,
5,10/12/2026,14:00,Aarhus GF,FC Twente,,
5,10/12/2026,14:00,Egnatia Rrogozhine,Kauno Žalgiris,,
6,17/12/2026,14:00,Atalanta,Mjällby AIF,,
6,17/12/2026,14:00,Sporting Braga,Egnatia Rrogozhine,,
6,17/12/2026,14:00,AFC Ajax,Getafe CF,,
6,17/12/2026,14:00,Kauno Žalgiris,SC Friburgo,,
6,17/12/2026,14:00,AS Monaco,Lincoln Red Imps,,
6,17/12/2026,14:00,CS Universitatea Craiova,FC København,,
6,17/12/2026,14:00,FC Midtjylland,Hajduk Split,,
6,17/12/2026,14:00,Estrella Roja de Belgrado,Trabzonspor,,
6,17/12/2026,14:00,KAA Gent,SK Brann,,
6,17/12/2026,14:00,Pafos FC,Heart of Midlothian,,
6,17/12/2026,14:00,FC Lugano,Sint-Truidense VV,,
6,17/12/2026,14:00,FC Twente,FK Kairat,,
6,17/12/2026,14:00,Borac Banja Luka,Riga FC,,
6,17/12/2026,14:00,FK Jablonec,FC Iberia 1999,,
6,17/12/2026,14:00,FC Nordsjælland,Kuopion PS,,
6,17/12/2026,14:00,Inter Club d’Escaldes,Aarhus GF,,
6,17/12/2026,14:00,CSKA Sofia,FC Thun Berner Oberland,,
6,17/12/2026,14:00,Panathinaikos,Brighton & Hove Albion,,
