matchday,date,time,home_team,away_team,result,status
1,08/07/2025,11:00,St Joseph S Fc,Cliftonville FC,2-2,Final
1,08/07/2025,12:30,Floriana,Haverfordwest County AFC,2-1,Final
1,10/07/2025,09:00,Atlètic Club d'Escaldes,F91 Dudelange,2-0,Final
1,10/07/2025,10:00,Magpies,Paide,2-3,Final
1,10/07/2025,11:00,Torpedo Kutaisi,Ordabasy,4-3,Final
1,10/07/2025,11:00,SJK,KI Klaksvik,1-2,Final
1,10/07/2025,11:00,Kauno Žalgiris,Penybont,3-0,Final
1,10/07/2025,11:30,Racing FC Union Luxembourg,Dila,1-2,Final
1,10/07/2025,11:30,FC Urartu,Neman,1-2,Final
1,10/07/2025,11:45,Kalju Nomme,Partizani,1-1,Final
1,10/07/2025,13:00,Torpedo Zhodino,FK Rabotnicki,3-0,Final
1,10/07/2025,13:00,Birkirkara,Petrocub,1-0,Final
1,10/07/2025,13:00,Vllaznia Shkodër,BFC Daugavpils,0-1,Final
1,10/07/2025,13:00,Dečić,Sileks,2-0,Final
1,10/07/2025,13:15,Malisheva,Vikingur Reykjavik,0-1,Final
1,10/07/2025,13:30,Vardar Skopje,La Fiorita,3-0,Final
1,10/07/2025,13:30,Zeljeznicar Sarajevo,Koper,1-1,Final
1,10/07/2025,13:30,Sutjeska,Dinamo Brest,1-2,Final
1,10/07/2025,13:45,NSI Runavik,HJK Helsinki,4-0,Final
1,10/07/2025,13:45,St Patrick's Athl.,Hegelmann Litauen,1-0,Final
1,10/07/2025,14:00,Tre Fiori,Pyunik Yerevan,1-0,Final
1,10/07/2025,14:00,Borac Banja Luka,FC Santa Coloma,1-4,Final
1,10/07/2025,14:00,Larne,Auda,0-0,Final
1,10/07/2025,15:00,Valur Reykjavik,Flora Tallinn,3-0,Final
1,16/07/2025,11:00,Auda,Larne,2-2,Final
1,17/07/2025,10:00,BFC Daugavpils,Vllaznia Shkodër,2-4,Final
1,17/07/2025,11:00,FC Santa Coloma,Borac Banja Luka,0-2,Final
1,17/07/2025,11:00,HJK Helsinki,NSI Runavik,5-0,Final
1,17/07/2025,11:00,FK Rabotnicki,Torpedo Zhodino,0-1,Final
1,17/07/2025,11:00,Flora Tallinn,Valur Reykjavik,1-2,Final
1,17/07/2025,11:00,Ordabasy,Torpedo Kutaisi,1-1,Final
1,17/07/2025,11:00,Pyunik Yerevan,Tre Fiori,5-0,Final
1,17/07/2025,11:00,Dila,Racing FC Union Luxembourg,1-0,Final
1,17/07/2025,11:00,Hegelmann Litauen,St Patrick's Athl.,0-2,Final
1,17/07/2025,11:30,Paide,Magpies,4-1,Final
1,17/07/2025,12:00,F91 Dudelange,Atlètic Club d'Escaldes,2-3,Final
1,17/07/2025,12:00,Penybont,Kauno Žalgiris,1-1,Final
1,17/07/2025,12:00,Haverfordwest County AFC,Floriana,2-3,Final
1,17/07/2025,12:00,Petrocub,Birkirkara,3-0,Final
1,17/07/2025,12:00,Sileks,Dečić,2-1,Final
1,17/07/2025,12:30,Koper,Zeljeznicar Sarajevo,3-1,Final
1,17/07/2025,13:00,Neman,FC Urartu,4-0,Final
1,17/07/2025,13:00,Partizani,Kalju Nomme,0-1,Final
1,17/07/2025,13:30,Dinamo Brest,Sutjeska,0-2,Final
1,17/07/2025,13:45,Vikingur Reykjavik,Malisheva,8-0,Final
1,17/07/2025,13:45,KI Klaksvik,SJK,2-0,Final
1,17/07/2025,13:45,Cliftonville FC,St Joseph S Fc,2-3,Final
1,17/07/2025,14:00,La Fiorita,Vardar Skopje,2-2,Final
2,22/07/2025,13:30,Ballkani,Floriana,4-2,Final
2,23/07/2025,10:30,Zira,HNK Hajduk Split,1-1,Final
2,23/07/2025,11:30,FC Levadia Tallinn,Saburtalo,1-0,Final
2,23/07/2025,12:00,Silkeborg,KA Akureyri,1-1,Final
2,23/07/2025,13:00,The New Saints,FC Differdange 03,0-1,Final
2,23/07/2025,13:00,Olimpija Ljubljana,Inter Club d'Escaldes,4-2,Final
2,23/07/2025,14:00,Buducnost Podgorica,Milsami Orhei,0-0,Final
2,24/07/2025,09:00,FC Astana,Zimbru,1-1,Final
2,24/07/2025,09:00,Atlètic Club d'Escaldes,Dinamo Tirana,1-2,Final
2,24/07/2025,10:30,Paide,AIK Stockholm,0-2,Final
2,24/07/2025,11:00,Rosenborg,Banga,5-0,Final
2,24/07/2025,11:00,FK Zalgiris Vilnius,Linfield,0-0,Final
2,24/07/2025,11:00,St Joseph S Fc,Shamrock Rovers,0-4,Final
2,24/07/2025,11:00,Pyunik Yerevan,Gyori ETO FC,2-1,Final
2,24/07/2025,11:00,Ilves,AZ Alkmaar,4-3,Final
2,24/07/2025,11:00,Arda Kardzhali,HJK Helsinki,0-0,Final
2,24/07/2025,11:00,Aris,Puskas Academy,3-2,Final
2,24/07/2025,11:00,Ararat-Armenia,Universitatea Cluj,0-0,Final
2,24/07/2025,11:00,Kauno Žalgiris,Valur Reykjavik,1-1,Final
2,24/07/2025,11:00,Hibernians,Spartak Trnava,1-2,Final
2,24/07/2025,11:00,Aktobe,Sparta Praha,2-1,Final
2,24/07/2025,11:00,Araz,Aris Thessalonikis,2-1,Final
2,24/07/2025,12:00,Hammarby FF,Charleroi,0-0,Final
2,24/07/2025,12:00,Viking,Koper,7-0,Final
2,24/07/2025,12:00,Cherno More Varna,Başakşehir,0-1,Final
2,24/07/2025,12:00,Petrocub,Sabah FA,0-2,Final
2,24/07/2025,12:00,Novi Pazar,Jagiellonia,1-2,Final
2,24/07/2025,12:00,Omonia Nicosia,Torpedo Kutaisi,1-0,Final
2,24/07/2025,12:00,Oleksandria,FK Partizan,0-2,Final
2,24/07/2025,12:00,Polessya,FC Santa Coloma,1-2,Final
2,24/07/2025,12:00,Riga,Dila,2-1,Final
2,24/07/2025,12:30,FC Vaduz,Dungannon Swifts,0-1,Final
2,24/07/2025,13:00,Torpedo Zhodino,Maccabi Haifa,1-1,Final
2,24/07/2025,13:00,AEK Athens FC,Hapoel Beer Sheva,1-0,Final
2,24/07/2025,13:00,NK Varazdin,Santa Clara,2-1,Final
2,24/07/2025,13:00,Paks,Maribor,1-0,Final
2,24/07/2025,13:00,Radnicki 1923,KI Klaksvik,0-0,Final
2,24/07/2025,13:00,FK Košice,Neman,2-3,Final
2,24/07/2025,13:30,Vardar Skopje,Lausanne,2-1,Final
2,24/07/2025,13:30,Austria Vienna,Spaeri,2-0,Final
2,24/07/2025,13:30,Sutjeska,Beitar Jerusalem,1-2,Final
2,24/07/2025,13:30,Vllaznia Shkodër,Vikingur Reykjavik,2-1,Final
2,24/07/2025,13:45,Dinamo Minsk,Egnatia Rrogozhinë,0-2,Final
2,24/07/2025,13:45,Dundee Utd,UNA Strassen,1-0,Final
2,24/07/2025,13:45,St Patrick's Athl.,Kalju Nomme,1-0,Final
2,24/07/2025,13:45,HB Torshavn,Brondby,1-1,Final
2,24/07/2025,14:00,FK Sarajevo,Universitatea Craiova,2-1,Final
2,24/07/2025,14:00,Raków Częstochowa,Žilina,3-0,Final
2,24/07/2025,14:00,Dečić,Rapid Vienna,0-2,Final
2,24/07/2025,14:00,Larne,Prishtina,0-0,Final
2,29/07/2025,11:00,Saburtalo,FC Levadia Tallinn,2-2,Final
2,29/07/2025,13:00,FC Differdange 03,The New Saints,1-0,Final
2,29/07/2025,13:30,Inter Club d'Escaldes,Olimpija Ljubljana,1-1,Final
2,31/07/2025,10:30,Spartak Trnava,Hibernians,5-1,Final
2,31/07/2025,11:00,FC Santa Coloma,Polessya,1-4,Final
2,31/07/2025,11:00,HJK Helsinki,Arda Kardzhali,2-2,Final
2,31/07/2025,11:00,Gyori ETO FC,Pyunik Yerevan,3-1,Final
2,31/07/2025,11:00,Dila,Riga,3-3,Final
2,31/07/2025,11:00,Banga,Rosenborg,0-2,Final
2,31/07/2025,11:00,Sabah FA,Petrocub,4-1,Final
2,31/07/2025,11:00,Spaeri,Austria Vienna,0-5,Final
2,31/07/2025,11:45,AZ Alkmaar,Ilves,5-0,Final
2,31/07/2025,11:45,Kalju Nomme,St Patrick's Athl.,2-2,Final
2,31/07/2025,12:00,AIK Stockholm,Paide,6-0,Final
2,31/07/2025,12:00,Torpedo Kutaisi,Omonia Nicosia,0-4,Final
2,31/07/2025,12:00,Milsami Orhei,Buducnost Podgorica,2-1,Final
2,31/07/2025,12:00,UNA Strassen,Dundee Utd,0-1,Final
2,31/07/2025,12:00,Universitatea Cluj,Ararat-Armenia,1-2,Final
2,31/07/2025,12:00,Zimbru,FC Astana,0-2,Final
2,31/07/2025,12:30,Brondby,HB Torshavn,1-0,Final
2,31/07/2025,12:30,Universitatea Craiova,FK Sarajevo,4-0,Final
2,31/07/2025,12:30,Beitar Jerusalem,Sutjeska,5-2,Final
2,31/07/2025,12:45,Başakşehir,Cherno More Varna,4-0,Final
2,31/07/2025,13:00,Santa Clara,NK Varazdin,2-0,Final
2,31/07/2025,13:00,KA Akureyri,Silkeborg,2-3,Final
2,31/07/2025,13:00,Neman,FK Košice,1-1,Final
2,31/07/2025,13:00,Maribor,Paks,1-1,Final
2,31/07/2025,13:00,Hapoel Beer Sheva,AEK Athens FC,0-0,Final
2,31/07/2025,13:00,Sparta Praha,Aktobe,4-0,Final
2,31/07/2025,13:00,Prishtina,Larne,1-1,Final
2,31/07/2025,13:00,Charleroi,Hammarby FF,1-2,Final
2,31/07/2025,13:00,Puskas Academy,Aris,0-2,Final
2,31/07/2025,13:00,Maccabi Haifa,Torpedo Zhodino,3-0,Final
2,31/07/2025,13:00,Koper,Viking,3-5,Final
2,31/07/2025,13:15,Jagiellonia,Novi Pazar,3-1,Final
2,31/07/2025,13:15,Lausanne,Vardar Skopje,5-0,Final
2,31/07/2025,13:15,Aris Thessalonikis,Araz,2-2,Final
2,31/07/2025,13:30,Valur Reykjavik,Kauno Žalgiris,1-2,Final
2,31/07/2025,13:30,Rapid Vienna,Dečić,4-2,Final
2,31/07/2025,13:30,Žilina,Raków Częstochowa,1-3,Final
2,31/07/2025,13:45,Vikingur Reykjavik,Vllaznia Shkodër,4-2,Final
2,31/07/2025,13:45,Linfield,FK Zalgiris Vilnius,2-0,Final
2,31/07/2025,13:45,KI Klaksvik,Radnicki 1923,1-0,Final
2,31/07/2025,13:45,Dinamo Tirana,Atlètic Club d'Escaldes,1-1,Final
2,31/07/2025,13:45,Floriana,Ballkani,1-1,Final
2,31/07/2025,13:45,Dungannon Swifts,FC Vaduz,0-3,Final
2,31/07/2025,14:00,FK Partizan,Oleksandria,4-0,Final
2,31/07/2025,14:00,HNK Hajduk Split,Zira,2-1,Final
2,31/07/2025,14:00,Shamrock Rovers,St Joseph S Fc,0-0,Final
2,31/07/2025,14:00,Egnatia Rrogozhinë,Dinamo Minsk,1-0,Final
3,05/08/2025,13:45,KI Klaksvik,Neman,2-0,Final
3,07/08/2025,11:00,Rosenborg,Hammarby FF,0-0,Final
3,07/08/2025,11:00,Milsami Orhei,Virtus,3-2,Final
3,07/08/2025,11:00,Aris,AEK Athens FC,2-2,Final
3,07/08/2025,11:00,Kauno Žalgiris,Arda Kardzhali,0-1,Final
3,07/08/2025,11:00,Araz,Omonia Nicosia,0-4,Final
3,07/08/2025,11:30,Baník Ostrava,Austria Vienna,4-3,Final
3,07/08/2025,12:00,AIK Stockholm,Gyori ETO FC,2-1,Final
3,07/08/2025,12:00,Viking,Başakşehir,1-3,Final
3,07/08/2025,12:00,Silkeborg,Jagiellonia,0-1,Final
3,07/08/2025,12:00,Riga,Beitar Jerusalem,3-0,Final
