matchday,date,time,home_team,away_team,result,status
1,10/07/2025,11:00,Sabah FA,Celje,2-3,Final
1,10/07/2025,11:30,AEK Larnaca,FK Partizan,1-0,Final
1,10/07/2025,12:00,Sheriff Tiraspol,Prishtina,4-0,Final
1,10/07/2025,12:00,Paks,CFR 1907 Cluj,0-0,Final
1,10/07/2025,12:30,Levski Sofia,Hapoel Beer Sheva,0-0,Final
1,10/07/2025,13:00,Shakhtar Donetsk,Ilves,6-0,Final
1,10/07/2025,13:15,Spartak Trnava,BK Hacken,0-1,Final
1,10/07/2025,14:00,Legia Warszawa,Aktobe,1-0,Final
1,17/07/2025,11:00,Ilves,Shakhtar Donetsk,0-0,Final
1,17/07/2025,11:00,Aktobe,Legia Warszawa,0-1,Final
1,17/07/2025,12:00,BK Hacken,Spartak Trnava,2-2,Final
1,17/07/2025,12:30,CFR 1907 Cluj,Paks,3-0,Final
1,17/07/2025,13:00,Hapoel Beer Sheva,Levski Sofia,0-0,Final
1,17/07/2025,13:00,Prishtina,Sheriff Tiraspol,2-1,Final
1,17/07/2025,13:00,Celje,Sabah FA,3-3,Final
1,17/07/2025,14:00,FK Partizan,AEK Larnaca,1-0,Final
2,24/07/2025,12:00,Sheriff Tiraspol,Utrecht,1-3,Final
2,24/07/2025,12:00,Baník Ostrava,Legia Warszawa,2-2,Final
2,24/07/2025,12:30,Midtjylland,Hibernian,1-1,Final
2,24/07/2025,12:30,Levski Sofia,SC Braga,0-0,Final
2,24/07/2025,13:00,Beşiktaş,Shakhtar Donetsk,2-4,Final
2,24/07/2025,13:00,Anderlecht,BK Hacken,1-0,Final
2,24/07/2025,13:00,Celje,AEK Larnaca,1-1,Final
2,24/07/2025,13:30,FC Lugano,CFR 1907 Cluj,0-0,Final
2,31/07/2025,11:30,AEK Larnaca,Celje,2-1,Final
2,31/07/2025,12:00,BK Hacken,Anderlecht,2-1,Final
2,31/07/2025,12:30,CFR 1907 Cluj,FC Lugano,1-0,Final
2,31/07/2025,13:00,Utrecht,Sheriff Tiraspol,4-1,Final
2,31/07/2025,13:00,Shakhtar Donetsk,Beşiktaş,2-0,Final
2,31/07/2025,14:00,SC Braga,Levski Sofia,1-0,Final
2,31/07/2025,14:00,Hibernian,Midtjylland,1-2,Final
2,31/07/2025,14:00,Legia Warszawa,Baník Ostrava,2-1,Final
3,05/08/2025,12:00,Hamrun Spartans,Maccabi Tel Aviv,1-2,Final
3,06/08/2025,12:00,Rīgas FS,KuPS,1-2,Final
3,06/08/2025,13:45,HNK Rijeka,Shelbourne,1-2,Final
3,07/08/2025,11:00,Lincoln Red Imps FC,FC Noah,1-1,Final
3,07/08/2025,11:00,Fredrikstad,Midtjylland,1-3,Final
3,07/08/2025,11:30,AEK Larnaca,Legia Warszawa,4-1,Final
3,07/08/2025,11:30,CFR 1907 Cluj,SC Braga,1-2,Final
3,07/08/2025,12:00,BK Hacken,Brann,0-2,Final
3,07/08/2025,12:30,PAOK,Wolfsberger AC,0-0,Final
3,07/08/2025,13:00,Zrinjski,Breidablik,1-1,Final
3,07/08/2025,13:00,Panathinaikos,Shakhtar Donetsk,0-0,Final
3,07/08/2025,13:30,FCSB,Drita,3-2,Final
3,07/08/2025,13:30,Servette FC,Utrecht,1-3,Final
3,12/08/2025,13:45,Shelbourne,HNK Rijeka,1-3,Final
3,14/08/2025,10:00,KuPS,Rīgas FS,1-0,Final
3,14/08/2025,11:00,Midtjylland,Fredrikstad,2-0,Final
3,14/08/2025,12:00,Brann,BK Hacken,0-1,Final
3,14/08/2025,12:00,Wolfsberger AC,PAOK,0-1,Final
3,14/08/2025,12:00,FC Noah,Lincoln Red Imps FC,0-0,Final
3,14/08/2025,12:30,Breidablik,Zrinjski,1-2,Final
3,14/08/2025,13:00,Utrecht,Servette FC,2-1,Final
3,14/08/2025,13:00,Shakhtar Donetsk,Panathinaikos,0-0,Final
3,14/08/2025,13:00,Maccabi Tel Aviv,Hamrun Spartans,3-1,Final
3,14/08/2025,13:00,Drita,FCSB,1-3,Final
3,14/08/2025,13:30,SC Braga,CFR 1907 Cluj,2-0,Final
