matchday,date,time,home_team,away_team,result,status
1,09/07/2026,03:00,Qarabağ FK,IF Vestri,3-0,Final
1,09/07/2026,03:00,Dynamo Kyiv,Universitatea Cluj,0-0,Final
1,09/07/2026,03:00,FC Sheriff,NK Aluminij,0-0,Final
1,09/07/2026,03:00,Hajduk Split,MŠK Žilina,2-0,Final
1,09/07/2026,03:00,CSKA Sofia,Derry City,3-2,Final
1,09/07/2026,03:00,Vojvodina,Ferencvárosi TC,1-2,Final
1,16/07/2026,03:00,Universitatea Cluj,Dynamo Kyiv,2-4,Final
1,16/07/2026,03:00,Derry City,CSKA Sofia,1-2,Final
1,16/07/2026,03:00,NK Aluminij,FC Sheriff,0-1,Final
1,16/07/2026,03:00,Ferencvárosi TC,Vojvodina,3-0,Final
1,16/07/2026,03:00,MŠK Žilina,Hajduk Split,2-1,Final
1,16/07/2026,03:00,IF Vestri,Qarabağ FK,0-3,Final
2,23/07/2026,11:00,Qarabağ FK,CSKA Sofia,,
2,23/07/2026,12:00,Hammarby IF,RSC Anderlecht,,
2,23/07/2026,12:00,Tromsø IL,FC Hradec Králové,,
2,23/07/2026,12:00,FC Sheriff,Maccabi Tel Aviv,,
2,23/07/2026,12:00,Dynamo Kyiv,PAOK Saloniki,,
2,23/07/2026,13:00,FC Twente,Ferencvárosi TC,,
2,23/07/2026,13:00,Beşiktaş,FC Midtjylland,,
2,23/07/2026,13:00,FC St. Gallen,SL Benfica,,
2,23/07/2026,14:00,Hajduk Split,Pafos FC,,
2,30/07/2026,11:00,Maccabi Tel Aviv,FC Sheriff,,
2,30/07/2026,12:00,FC Hradec Králové,Tromsø IL,,
2,30/07/2026,12:00,FC Midtjylland,Beşiktaş,,
2,30/07/2026,12:00,Pafos FC,Hajduk Split,,
2,30/07/2026,12:45,PAOK Saloniki,Dynamo Kyiv,,
2,30/07/2026,13:00,CSKA Sofia,Qarabağ FK,,
2,30/07/2026,13:30,RSC Anderlecht,Hammarby IF,,
2,30/07/2026,13:30,Ferencvárosi TC,FC Twente,,
2,30/07/2026,14:00,SL Benfica,FC St. Gallen,,
3,06/08/2026,03:00,Jagiellonia Białystok,Rangers FC,,
3,06/08/2026,03:00,Larne / Crvena Zvezda,Iberia 1999 / Bratislava,,
3,06/08/2026,03:00,Mjällby / Lincoln Red Imps,Om. Nikosia / Kairat Almaty,,
3,06/08/2026,03:00,Sabah / Kuopion,Levski Sofia / Univ. Craiova,,
3,06/08/2026,03:00,Ararat-Armenia / Shamrock,Egnatia / Celje,,
3,06/08/2026,03:00,Aarhus / Lech Poznań,Klaksvík / Kauno Žalgiris,,
3,06/08/2026,03:00,Thun / Dinamo Zagreb,Vík. Reykjavík / H. Beer-Sheva,,
3,06/08/2026,03:00,Tromsø / Hradec Králové,Beşiktaş / Midtjylland,,
3,06/08/2026,03:00,Dynamo Kyiv / PAOK,Hammarby / Anderlecht,,
3,06/08/2026,03:00,Hajduk Split / Pafos,Red Bull Salzburgo,,
3,06/08/2026,03:00,St. Gallen / Benfica,Sturm Graz / Heart of Midlothian,,
3,06/08/2026,03:00,Sheriff / Mac. Tel-Aviv,Qarabağ / CSKA Sofia,,
3,06/08/2026,03:00,Twente / Ferencvárosi,Fenerbahçe / Górnik Zabrze,,
4,13/08/2026,03:00,Rangers FC,Jagiellonia Białystok,,
4,13/08/2026,03:00,Iberia 1999 / Bratislava,Larne / Crvena Zvezda,,
4,13/08/2026,03:00,Om. Nikosia / Kairat Almaty,Mjällby / Lincoln Red Imps,,
4,13/08/2026,03:00,Levski Sofia / Univ. Craiova,Sabah / Kuopion,,
4,13/08/2026,03:00,Egnatia / Celje,Ararat-Armenia / Shamrock,,
4,13/08/2026,03:00,Klaksvík / Kauno Žalgiris,Aarhus / Lech Poznań,,
4,13/08/2026,03:00,Vík. Reykjavík / H. Beer-Sheva,Thun / Dinamo Zagreb,,
4,13/08/2026,03:00,Beşiktaş / Midtjylland,Tromsø / Hradec Králové,,
4,13/08/2026,03:00,Hammarby / Anderlecht,Dynamo Kyiv / PAOK,,
4,13/08/2026,03:00,Red Bull Salzburgo,Hajduk Split / Pafos,,
4,13/08/2026,03:00,Sturm Graz / Heart of Midlothian,St. Gallen / Benfica,,
4,13/08/2026,03:00,Qarabağ / CSKA Sofia,Sheriff / Mac. Tel-Aviv,,
4,13/08/2026,03:00,Fenerbahçe / Górnik Zabrze,Twente / Ferencvárosi,,
