matchday,date,time,home_team,away_team,result,status
1,04/04/2026,10:00,Inter Turku,Vaasan PS,0-0,Final
1,04/04/2026,10:00,HJK Helsinki,SJK Seinäjoki,3-0,Final
1,04/04/2026,10:00,Ilves Tampere,Kuopion PS,1-3,Final
1,04/04/2026,10:00,FF Jaro,FC Lahti,0-1,Final
1,04/04/2026,10:00,IFK Mariehamn,TPS Turku,1-1,Final
1,04/04/2026,10:00,IF Gnistan,AC Oulu,1-5,Final
2,10/04/2026,10:00,TPS Turku,FC Lahti,2-1,Final
2,10/04/2026,10:00,SJK Seinäjoki,IFK Mariehamn,3-0,Final
2,10/04/2026,10:00,Vaasan PS,FF Jaro,0-0,Final
2,11/04/2026,10:00,Kuopion PS,IF Gnistan,1-0,Final
2,11/04/2026,10:00,HJK Helsinki,AC Oulu,0-1,Final
2,11/04/2026,10:00,Inter Turku,Ilves Tampere,2-1,Final
3,18/04/2026,10:00,IF Gnistan,HJK Helsinki,0-3,Final
3,18/04/2026,10:00,FF Jaro,Kuopion PS,1-1,Final
3,18/04/2026,10:00,AC Oulu,Vaasan PS,1-0,Final
3,18/04/2026,10:00,FC Lahti,Inter Turku,0-2,Final
3,18/04/2026,10:00,TPS Turku,SJK Seinäjoki,2-0,Final
3,18/04/2026,10:00,IFK Mariehamn,Ilves Tampere,2-2,Final
4,24/04/2026,10:00,TPS Turku,IF Gnistan,1-1,Final
4,24/04/2026,10:00,Vaasan PS,Ilves Tampere,3-2,Final
4,24/04/2026,10:00,SJK Seinäjoki,FF Jaro,1-1,Final
4,25/04/2026,10:00,FC Lahti,AC Oulu,2-1,Final
4,25/04/2026,10:00,Inter Turku,IFK Mariehamn,1-0,Final
4,26/04/2026,10:00,Kuopion PS,HJK Helsinki,1-1,Final
5,02/05/2026,10:00,SJK Seinäjoki,Ilves Tampere,1-1,Final
5,02/05/2026,10:00,FF Jaro,TPS Turku,2-2,Final
5,02/05/2026,10:00,IFK Mariehamn,Vaasan PS,0-1,Final
5,02/05/2026,10:00,AC Oulu,Kuopion PS,2-0,Final
5,04/05/2026,11:00,HJK Helsinki,FC Lahti,,
5,05/05/2026,11:00,IF Gnistan,Inter Turku,,
6,08/05/2026,10:00,Ilves Tampere,AC Oulu,,
6,08/05/2026,10:00,TPS Turku,HJK Helsinki,,
6,08/05/2026,12:00,Kuopion PS,SJK Seinäjoki,,
6,09/05/2026,07:00,Inter Turku,FF Jaro,,
6,09/05/2026,09:00,Vaasan PS,IF Gnistan,,
6,10/05/2026,07:00,FC Lahti,IFK Mariehamn,,
7,16/05/2026,06:00,HJK Helsinki,Ilves Tampere,,
7,16/05/2026,09:00,IFK Mariehamn,Kuopion PS,,
7,16/05/2026,09:00,SJK Seinäjoki,Inter Turku,,
7,16/05/2026,11:00,AC Oulu,TPS Turku,,
7,16/05/2026,11:00,IF Gnistan,FF Jaro,,
